,nodes,edges,vocs
0,21.0,66.0,1.0
13,27.0,77.0,1.0
37,27.0,77.0,1.0
22,27.0,87.0,1.0
68,28.0,89.0,1.0
38,28.0,95.0,1.0
75,29.0,93.0,1.0
12,30.0,99.0,1.0
26,32.0,138.0,1.0
76,35.0,124.0,1.0
19,35.0,130.0,1.0
50,36.0,133.0,1.0
36,37.0,149.0,1.0
44,41.0,150.0,1.0
5,46.0,178.0,1.0
41,49.0,208.0,1.0
47,52.0,191.0,1.0
45,56.0,259.0,1.0
55,56.0,222.0,1.0
90,65.0,260.0,2.0
11,67.0,282.0,1.0
62,69.0,316.0,1.0
165,70.0,322.0,2.0
260,72.0,303.0,3.0
46,76.0,352.0,1.0
102,76.0,341.0,2.0
58,84.0,384.0,1.0
3,86.0,427.0,1.0
25,88.0,404.0,1.0
69,89.0,475.0,1.0
212,90.0,416.0,3.0
175,94.0,454.0,2.0
304,94.0,406.0,4.0
65,100.0,453.0,1.0
79,101.0,470.0,2.0
10,101.0,492.0,1.0
23,104.0,526.0,1.0
49,105.0,524.0,1.0
7,106.0,506.0,1.0
180,109.0,520.0,3.0
59,110.0,557.0,1.0
128,110.0,525.0,2.0
42,110.0,514.0,1.0
96,110.0,514.0,2.0
399,111.0,512.0,5.0
288,113.0,537.0,4.0
473,115.0,549.0,5.0
52,116.0,521.0,1.0
27,116.0,545.0,1.0
199,116.0,559.0,3.0
141,117.0,511.0,2.0
18,117.0,511.0,1.0
118,118.0,580.0,2.0
112,119.0,602.0,2.0
88,119.0,536.0,2.0
431,120.0,568.0,5.0
106,121.0,553.0,2.0
94,123.0,571.0,2.0
17,123.0,592.0,1.0
187,124.0,597.0,4.0
227,124.0,579.0,3.0
35,125.0,623.0,1.0
329,127.0,655.0,4.0
43,129.0,662.0,1.0
225,130.0,629.0,3.0
153,131.0,649.0,2.0
85,131.0,648.0,2.0
192,132.0,617.0,3.0
226,132.0,615.0,4.0
182,133.0,634.0,3.0
367,135.0,669.0,4.0
273,136.0,687.0,3.0
166,137.0,650.0,2.0
206,137.0,661.0,3.0
57,138.0,693.0,1.0
291,140.0,714.0,4.0
151,141.0,657.0,2.0
138,148.0,788.0,2.0
139,148.0,741.0,2.0
1,148.0,741.0,1.0
123,149.0,694.0,2.0
314,150.0,712.0,4.0
251,152.0,740.0,3.0
124,153.0,697.0,2.0
