,transivity,density,nodes
360,0.0121719693165,0.00355232630833,1470.0
390,0.0122856177439,0.00355869144564,1486.0
574,0.01219300185,0.00364165334759,1453.0
629,0.013024554468,0.00368808160646,1377.0
481,0.0132592721559,0.00393611814138,1367.0
635,0.0140223524105,0.00400786104323,1292.0
587,0.0146315367126,0.00406140251501,1261.0
471,0.0150282258614,0.00412676277779,1210.0
673,0.01374334145,0.00414178408838,1290.0
506,0.0150140250773,0.00424539494647,1215.0
459,0.0149683568935,0.00424721139268,1216.0
618,0.01539163996,0.00428616609882,1180.0
350,0.0147551582617,0.00428737862002,1224.0
564,0.0154274448306,0.00430143455404,1161.0
617,0.0139711818717,0.00432155901336,1265.0
628,0.0148018277783,0.00434962039547,1186.0
639,0.0161379278648,0.00440045518786,1144.0
631,0.0163624242662,0.00446566230563,1128.0
382,0.0177506064381,0.00448001852941,1060.0
600,0.0170907935062,0.00449868476132,1078.0
381,0.0166614664587,0.00451975973244,1090.0
501,0.0172234931106,0.00455515474527,1053.0
656,0.0159967948346,0.00455937036015,1104.0
412,0.0161366007349,0.00457701495119,1097.0
612,0.0151314542586,0.00460088907321,1179.0
482,0.0158924246672,0.00463760234448,1122.0
598,0.0159852464588,0.00468316010659,1115.0
519,0.0167361588899,0.00468626643325,1080.0
623,0.0157856507953,0.00468799059665,1115.0
410,0.0169541038697,0.00479329630754,1062.0
283,0.016385218961,0.00480396990382,1087.0
472,0.0176366665492,0.00480644397605,1024.0
647,0.0168633736083,0.00480928109946,1070.0
619,0.0177298956537,0.00483570509497,1021.0
277,0.0161105188405,0.00497649937196,1063.0
480,0.0182817842711,0.00501503507516,999.0
550,0.0163083594047,0.00503674704337,1084.0
276,0.0159048823048,0.00508529845879,1080.0
660,0.0182951832608,0.00510410967721,966.0
514,0.0190966368499,0.00514561257347,934.0
611,0.0166568155237,0.00515903425556,1066.0
483,0.0163865391236,0.00519000126023,1062.0
614,0.0184879746474,0.0051942623975,964.0
407,0.0189678440662,0.0051986768217,949.0
632,0.0197509940682,0.00534389889698,908.0
365,0.0171854162997,0.00540599755177,998.0
653,0.0191499547848,0.00543195687273,937.0
439,0.0182911991348,0.00544371180092,956.0
520,0.01834876591,0.00554436604376,949.0
652,0.018885894699,0.00554648888272,930.0
236,0.0175718968718,0.00554941294161,975.0
450,0.0193591786547,0.00555137552204,917.0
644,0.019574658134,0.00556257316773,907.0
213,0.0195896295478,0.00563678982029,868.0
331,0.0184675498123,0.00564135401677,934.0
417,0.0175500709863,0.00564517648241,978.0
569,0.017866156536,0.00571128203478,966.0
208,0.0191658607809,0.00571622375942,922.0
121,0.0179692523528,0.00573061735852,946.0
624,0.0199059396095,0.00573553752889,884.0
670,0.0204219996345,0.0057560372521,889.0
563,0.0207175949139,0.00582886580553,858.0
310,0.0180158256086,0.00583460399035,947.0
621,0.0209548463202,0.00586821017554,859.0
674,0.0211186719834,0.00589062774749,847.0
313,0.0209671420602,0.00590528167709,838.0
457,0.020195126883,0.00593442073849,854.0
523,0.0201801686388,0.00594390448602,860.0
599,0.0206500614626,0.00595887817157,848.0
532,0.0204284831422,0.00601823348649,863.0
659,0.0216025528203,0.00602814708207,824.0
630,0.0190247365952,0.00603813247876,904.0
518,0.0210962962963,0.00615534675409,833.0
581,0.0220245394268,0.00615757977721,815.0
529,0.0221656769257,0.00616769809924,819.0
626,0.0210829990148,0.00618592881832,824.0
573,0.0219649998942,0.00619539364927,814.0
662,0.0215005554143,0.00621164030572,822.0
344,0.0204781005046,0.00622282708233,843.0
447,0.0202883989633,0.00626239760365,837.0
446,0.021110426115,0.00629008531921,825.0
371,0.0221257963495,0.00629110666285,807.0
442,0.0224760082998,0.00629447181171,784.0
454,0.0225307662901,0.00632749747794,792.0
469,0.0237126531348,0.00633627809569,737.0
651,0.0221758299512,0.006362640801,800.0
408,0.0216755679332,0.00640957446809,800.0
438,0.0231464904294,0.00643099031824,744.0
467,0.0228090588951,0.00644741973222,785.0
379,0.0225952813067,0.00645265602493,783.0
595,0.0217712754235,0.00650428961393,785.0
373,0.0226935782773,0.00652229560231,766.0
646,0.0222200352877,0.00655480234006,788.0
594,0.022593235039,0.00655595979972,782.0
347,0.0197421029403,0.0066012303864,851.0
424,0.0223593513632,0.00661648478209,779.0
622,0.022564725813,0.00662585560626,768.0
577,0.0226127747541,0.00664171509242,781.0
508,0.0222406321693,0.00666483004154,753.0
525,0.0225203539823,0.00667608912537,776.0
605,0.0218983610985,0.00671622234184,752.0
562,0.023301606582,0.00679611650485,721.0
540,0.0230430601749,0.00679716028101,735.0
466,0.022606034986,0.00682196846554,769.0
422,0.0232847328007,0.00683710608078,751.0
229,0.023604495532,0.00684260472336,722.0
337,0.0228821890873,0.00684818783601,740.0
433,0.0240713199539,0.00685093314434,748.0
375,0.0220179646502,0.00687123205599,767.0
228,0.0235852004625,0.00689986648865,750.0
582,0.0238024631057,0.00691696262473,730.0
316,0.0229615632998,0.0069473020816,735.0
215,0.02262660564,0.00695294547173,748.0
545,0.0232727983179,0.00695958607847,714.0
279,0.0232010835404,0.00696151285604,746.0
320,0.0249326230022,0.00696625698907,679.0
526,0.0232803022535,0.00697984859013,740.0
437,0.0246281198598,0.00709125328388,720.0
404,0.024917922384,0.00710780905461,710.0
537,0.0245054374049,0.00710995832437,709.0
515,0.0250272623221,0.00713760702437,710.0
666,0.0231964289969,0.00714996484569,722.0
183,0.0238158501418,0.00715892154496,723.0
191,0.0255881755505,0.00716684832173,671.0
403,0.0249214942647,0.00716934990829,701.0
267,0.0246959903126,0.00718050222033,712.0
397,0.0251946749518,0.00719839114299,695.0
498,0.0254049014078,0.00720388452558,673.0
209,0.0243517566916,0.00723863867944,701.0
524,0.0259265650854,0.00725623972212,683.0
83,0.0231453085454,0.00725817392484,729.0
633,0.0250043981074,0.00728220011396,699.0
301,0.0243867167986,0.00728387492336,700.0
193,0.02425086737,0.0073022685469,700.0
441,0.0253629054018,0.00730769396394,682.0
601,0.0243651722559,0.00731728761402,675.0
663,0.0251563388289,0.00731850367745,684.0
21,0.0233098566372,0.00735475419941,721.0
372,0.0213942356759,0.00735753476749,768.0
294,0.0240436508274,0.00735862740463,707.0
484,0.0240674868649,0.00739777367567,708.0
479,0.0254087682199,0.00740667296723,689.0
585,0.0251293386356,0.00742420316144,681.0
510,0.0253378868647,0.00742981171817,684.0
333,0.0257073335734,0.00747161055708,670.0
306,0.0256293816905,0.00749615152935,670.0
507,0.0255499351871,0.00752421726536,674.0
87,0.0269708595962,0.00753633544071,622.0
