,PAN,Carb. Acid,Ester,Ether,Per. Acid,Hydro peroxide,Nitrate,Aldehyde,Ketone,Alcohol,Criegee,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,nogroups
1503,0.14366769641500882,0.1279277271558749,0.24990910124042157,0.42626149148707515,0.03332544397665335,0.02396372677271367,0.10688961982084913,0.2655955961874119,0.3120532209263582,0.2613330060433509,0.12423648444257776,-0.08573265388637627,-0.15975396368480027,,
1504,0.19232748462631674,0.10238620508613935,0.21101714439808206,0.4124477516562985,0.036060710015994424,0.02440830697570905,0.1458731346812529,0.2527126245736446,0.28218877892475924,0.251004164878883,0.13032346055139063,-0.09085540518443025,-0.1590178106483895,,
1505,0.02900500444373044,0.16816979439193072,0.12042621303901778,0.4935881689152028,-0.020902964714505343,-0.14002477293449195,0.1024759715241578,0.3191387151383984,0.3615192126838504,0.2493481608165599,0.11866772472872464,-0.0731202796854261,-0.16844808409609638,,
1506,0.08798537868705752,0.1027048674917614,0.10503810287110805,0.33866555850553404,0.04766622735637145,-0.06848300113932096,0.15006905876937868,0.3165983745502671,0.30946352482327505,0.27395872887081335,0.16523138637209853,-0.08027828002537651,-0.1653079500837282,,
1507,0.15174108787153073,0.13211374018256497,0.2608826986618012,0.43577102112619814,-0.01823309638482717,-0.07836261936316866,0.1646405603096208,0.26303623885169924,0.2759674250196462,0.2635705901190712,0.14099469128896805,-0.08803946023552586,-0.1598715688362794,,
1508,0.11814893433758028,0.09835105376750883,0.20802874439713495,0.4364107815463164,-0.018321440949794453,-0.03931015806404036,0.16812186792338557,0.26927271466097563,0.26523745595725395,0.26113964992463023,0.15608287986856537,-0.08453071738813307,-0.15595823162397382,,
1509,0.18345342203930415,0.15270472395111587,0.2904800607446984,0.3918464918585458,-0.016823804048745856,-0.02420399125156595,0.19477003677220758,0.2638804219226259,0.28423208642985326,0.2658258270604861,0.14277085756371855,-0.09775256400318297,-0.1623097493966755,,
1510,0.1774641136436719,0.08963484747551537,0.17725739678351757,0.4459258364980236,0.0357849956165976,0.05049763904987943,0.27236520886365456,0.24444874704516292,0.30432969537842086,0.265565965080059,0.1439358106919561,-0.06676444342100826,-0.1487951923084495,,
1511,0.11674412131344254,0.1027024277240413,0.21190051157623238,0.45160172413760896,-0.008278344301871993,-0.10916383733259538,0.18099718700655065,0.24542175375251263,0.31049150043726237,0.2836144808149982,0.14373626943340595,-0.0730693099688675,-0.16034918054341016,,
1512,0.08524665830896963,0.08599644218714574,0.20152694830449314,0.39041924322503424,-0.018558790513091037,-0.0718292088536392,0.15392461782754416,0.27957955250536914,0.31036527303593353,0.25264699786735045,0.1598185886346283,-0.07189789360741355,-0.15484040242182562,,
1513,0.054364577398715315,0.18979172227219396,0.25917628672227394,0.4483405877702814,-0.014073408808903013,-0.06759330785348379,0.07007193673395641,0.31242587932819843,0.2965223709454969,0.2698232923418993,0.14849018533010364,-0.09035387763757172,-0.168555784642097,,
1514,0.17389482649514118,0.10033797726096806,0.1830160542064097,0.3759743783603528,0.03649253115702566,-0.0020171270931052115,0.1285471850862783,0.25750061388360324,0.2944976397982165,0.25152085240443406,0.13559839294812703,-0.07859948191836633,-0.16808166613663925,,
1515,0.18801801632596524,0.10176293642189492,0.21598612534235062,0.3924118347840619,0.04189956651281082,0.004894263087227912,0.21014364025160256,0.265176897337387,0.29028568050591197,0.2825059083157319,0.13668443957429405,-0.07973829214413324,-0.15997582798388407,,
1516,0.13090517205792668,0.10287739744983825,0.08901898157642715,0.3864734370981484,0.020749592130134813,-0.018020952965084942,0.22798209663355826,0.30789297044328523,0.30908012644728006,0.24990372099434355,0.14493545907936292,-0.0704123947529111,-0.1500364713643189,,
1517,0.14745643068637238,0.09643890989567518,0.12012313480204788,0.4847507148600491,0.03345590576588541,0.027334384293994037,0.24757139538806064,0.2779606594712207,0.3182313749682353,0.2516468663979555,0.14209510904601633,-0.07181066981343033,-0.14732462637681032,,
1518,0.11990896468339797,0.10188825103869444,0.21000973166477585,0.45647829338529083,0.04770319279459231,-0.03513804280132065,0.16777947889620223,0.2675395784404465,0.31170373277365776,0.24968420871496738,0.14398231913592793,-0.09458194142264337,-0.1586642032327941,,
1519,0.10928320608198265,0.10696618931471358,0.20510085060193947,0.4556082553321904,0.05159312575141279,-0.020650313624030334,0.1429612567943965,0.23946887461344857,0.31387839516221144,0.23814070126112416,0.15915141725798024,-0.08150560742048797,-0.16569961514911014,,
1520,0.17461097862528166,0.17752663930514057,0.22034880219925573,0.4049805798073621,0.024766656255080708,-0.050971392900957264,0.13660406685907067,0.32117594402667415,0.31406000636142545,0.2444196230009703,0.12324939241771915,-0.08760641226006917,-0.1599231975122176,,
1521,0.07717154311307567,0.1377093796308323,0.1505966132671132,0.3996544408188743,0.052331026475236006,-0.07679359971744436,0.10419719732371839,0.3151207388635271,0.31145708803955574,0.27582203448428827,0.16912025908178732,-0.07066703793351711,-0.17086025087529932,,
1522,0.1856584333454595,0.19238231613145798,0.23306769906951133,0.40035080111667876,0.025908590746881895,-0.04718955738914717,0.10838502201892188,0.31763323858948966,0.3025365807084514,0.2519553292025602,0.08997708220940781,-0.09641941782572622,-0.16324004076484583,,
1523,0.025158191422704503,0.054091071789858565,0.13564171225503785,0.5119517208328119,-0.017874029601032702,-0.1018073786550723,0.14819483666528352,0.2196466632453895,0.32282733020971893,0.2912163102993568,0.15703949735405429,-0.06898373683902236,-0.16540612111073494,,
1524,0.1385113318065155,0.15016641953388263,0.19180009969979933,0.36356319897717915,-0.014598146237648983,-0.03468692741262459,0.16893006069900296,0.31198087951296655,0.29145157660786475,0.28125270113303197,0.16339486469348233,-0.07928259837249182,-0.16133596345771706,,
1525,0.12500978873814822,0.10348218896164973,0.2373971814455254,0.44442008406671213,0.05599754857316868,-0.05572200658569956,0.13450896246559566,0.23422482150992113,0.3031646957054518,0.2631460921114513,0.1497115715096512,-0.0859692882293767,-0.16253505280815148,,
1526,0.13051585604423407,0.14356265290124187,0.16913895978036053,0.3609201644267225,-0.019771642198092586,-0.06848405554809152,0.07364547502429725,0.3326506971676333,0.3349346661637127,0.24149499689917886,0.10778926446286886,-0.08247754139782013,-0.17158537690620662,,
