,nodes,edges,vocs
0,21.0,66.0,1.0
37,27.0,77.0,1.0
13,27.0,77.0,1.0
22,27.0,87.0,1.0
68,28.0,89.0,1.0
38,28.0,95.0,1.0
75,29.0,93.0,1.0
12,30.0,99.0,1.0
26,32.0,138.0,1.0
76,35.0,124.0,1.0
19,35.0,130.0,1.0
50,36.0,133.0,1.0
36,37.0,149.0,1.0
44,41.0,150.0,1.0
5,46.0,178.0,1.0
41,49.0,208.0,1.0
47,52.0,191.0,1.0
55,56.0,222.0,1.0
45,56.0,259.0,1.0
90,65.0,260.0,2.0
11,67.0,282.0,1.0
62,69.0,316.0,1.0
165,70.0,322.0,2.0
260,72.0,303.0,3.0
46,76.0,352.0,1.0
102,76.0,341.0,2.0
58,84.0,384.0,1.0
3,86.0,427.0,1.0
25,88.0,404.0,1.0
69,89.0,475.0,1.0
212,90.0,416.0,3.0
304,94.0,406.0,4.0
175,94.0,454.0,2.0
65,100.0,453.0,1.0
10,101.0,492.0,1.0
79,101.0,470.0,2.0
23,104.0,526.0,1.0
49,105.0,524.0,1.0
7,106.0,506.0,1.0
180,109.0,520.0,3.0
59,110.0,557.0,1.0
96,110.0,514.0,2.0
42,110.0,514.0,1.0
128,110.0,525.0,2.0
399,111.0,512.0,5.0
288,113.0,537.0,4.0
473,115.0,549.0,5.0
27,116.0,545.0,1.0
199,116.0,559.0,3.0
52,116.0,521.0,1.0
141,117.0,511.0,2.0
18,117.0,511.0,1.0
118,118.0,580.0,2.0
88,119.0,536.0,2.0
112,119.0,602.0,2.0
431,120.0,568.0,5.0
106,121.0,553.0,2.0
17,123.0,592.0,1.0
94,123.0,571.0,2.0
187,124.0,597.0,4.0
227,124.0,579.0,3.0
35,125.0,623.0,1.0
329,127.0,655.0,4.0
43,129.0,662.0,1.0
225,130.0,629.0,3.0
85,131.0,648.0,2.0
153,131.0,649.0,2.0
192,132.0,617.0,3.0
226,132.0,615.0,4.0
182,133.0,634.0,3.0
367,135.0,669.0,4.0
273,136.0,687.0,3.0
206,137.0,661.0,3.0
166,137.0,650.0,2.0
57,138.0,693.0,1.0
291,140.0,714.0,4.0
151,141.0,657.0,2.0
1,148.0,741.0,1.0
139,148.0,741.0,2.0
138,148.0,788.0,2.0
123,149.0,694.0,2.0
314,150.0,712.0,4.0
251,152.0,740.0,3.0
124,153.0,697.0,2.0
170,153.0,725.0,2.0
356,154.0,763.0,4.0
160,154.0,709.0,2.0
144,155.0,746.0,2.0
174,156.0,752.0,2.0
539,157.0,790.0,6.0
70,157.0,797.0,1.0
60,157.0,764.0,1.0
198,162.0,854.0,3.0
126,163.0,816.0,2.0
147,163.0,823.0,2.0
351,164.0,814.0,4.0
53,164.0,816.0,1.0
460,167.0,801.0,5.0
14,168.0,862.0,1.0
570,170.0,842.0,6.0
297,172.0,859.0,4.0
287,172.0,826.0,4.0
202,173.0,902.0,3.0
161,174.0,877.0,2.0
6,174.0,858.0,1.0
157,175.0,902.0,2.0
72,179.0,911.0,1.0
290,181.0,907.0,4.0
230,184.0,906.0,3.0
428,184.0,892.0,5.0
250,184.0,906.0,3.0
346,186.0,922.0,4.0
64,186.0,968.0,1.0
95,186.0,916.0,2.0
434,189.0,929.0,5.0
67,191.0,979.0,1.0
61,192.0,969.0,1.0
219,192.0,967.0,3.0
92,192.0,966.0,2.0
359,192.0,967.0,4.0
63,193.0,957.0,1.0
232,193.0,971.0,3.0
352,193.0,917.0,4.0
81,197.0,1005.0,2.0
252,197.0,971.0,3.0
20,200.0,1011.0,1.0
107,200.0,1012.0,2.0
137,202.0,1026.0,2.0
163,204.0,1034.0,2.0
263,207.0,1030.0,3.0
114,207.0,1014.0,2.0
247,211.0,1059.0,3.0
385,211.0,1073.0,5.0
254,214.0,1027.0,3.0
259,221.0,1080.0,3.0
133,224.0,1127.0,2.0
476,226.0,1099.0,6.0
269,226.0,1139.0,3.0
332,226.0,1114.0,4.0
610,227.0,1099.0,7.0
200,227.0,1154.0,3.0
237,228.0,1105.0,3.0
374,228.0,1165.0,4.0
755,228.0,1145.0,8.0
142,229.0,1097.0,2.0
111,229.0,1120.0,2.0
255,229.0,1108.0,3.0
93,230.0,1133.0,2.0
387,233.0,1141.0,5.0
56,233.0,1196.0,1.0
317,234.0,1199.0,4.0
672,236.0,1216.0,7.0
383,237.0,1136.0,5.0
335,238.0,1271.0,4.0
136,238.0,1213.0,2.0
155,239.0,1301.0,2.0
552,241.0,1225.0,6.0
296,242.0,1179.0,4.0
34,244.0,1210.0,1.0
150,244.0,1185.0,2.0
243,246.0,1203.0,3.0
271,246.0,1208.0,3.0
369,249.0,1220.0,4.0
339,252.0,1348.0,4.0
505,252.0,1276.0,6.0
533,253.0,1282.0,6.0
448,254.0,1264.0,5.0
177,255.0,1230.0,3.0
261,260.0,1250.0,3.0
606,260.0,1330.0,7.0
419,263.0,1203.0,5.0
28,263.0,1288.0,1.0
575,263.0,1372.0,6.0
216,264.0,1326.0,3.0
217,264.0,1365.0,3.0
33,264.0,1365.0,1.0
231,264.0,1326.0,3.0
132,264.0,1291.0,2.0
571,266.0,1336.0,6.0
117,268.0,1354.0,2.0
358,269.0,1326.0,4.0
108,269.0,1298.0,2.0
376,269.0,1342.0,5.0
701,272.0,1381.0,8.0
759,273.0,1379.0,8.0
303,273.0,1349.0,4.0
143,277.0,1403.0,2.0
97,277.0,1347.0,2.0
29,277.0,1403.0,1.0
462,277.0,1401.0,5.0
440,277.0,1345.0,5.0
207,281.0,1408.0,3.0
465,284.0,1388.0,5.0
323,284.0,1418.0,4.0
284,284.0,1348.0,4.0
613,286.0,1441.0,7.0
158,286.0,1471.0,2.0
322,287.0,1477.0,4.0
9,290.0,1484.0,1.0
30,290.0,1469.0,1.0
16,291.0,1459.0,1.0
327,292.0,1454.0,4.0
671,293.0,1398.0,8.0
355,293.0,1401.0,4.0
122,294.0,1488.0,2.0
134,297.0,1494.0,2.0
172,297.0,1539.0,2.0
220,298.0,1581.0,3.0
413,299.0,1500.0,5.0
54,301.0,1512.0,1.0
825,302.0,1452.0,9.0
418,303.0,1504.0,5.0
531,304.0,1576.0,6.0
421,305.0,1507.0,5.0
149,307.0,1513.0,2.0
282,307.0,1577.0,4.0
547,308.0,1479.0,6.0
48,310.0,1590.0,1.0
211,311.0,1595.0,4.0
411,311.0,1619.0,5.0
109,313.0,1602.0,2.0
74,313.0,1482.0,1.0
100,314.0,1580.0,2.0
292,315.0,1561.0,4.0
164,315.0,1636.0,2.0
196,317.0,1552.0,3.0
493,318.0,1573.0,6.0
728,319.0,1586.0,9.0
401,319.0,1621.0,5.0
268,320.0,1607.0,3.0
71,321.0,1623.0,1.0
162,321.0,1623.0,2.0
188,321.0,1617.0,3.0
104,321.0,1623.0,2.0
195,323.0,1671.0,3.0
129,324.0,1587.0,2.0
204,324.0,1666.0,3.0
78,325.0,1657.0,2.0
453,325.0,1714.0,5.0
24,326.0,1671.0,1.0
203,327.0,1696.0,3.0
586,330.0,1675.0,7.0
636,333.0,1671.0,7.0
82,333.0,1689.0,2.0
218,334.0,1714.0,3.0
125,335.0,1681.0,2.0
73,337.0,1707.0,1.0
159,338.0,1781.0,2.0
634,338.0,1718.0,7.0
522,339.0,1722.0,6.0
105,340.0,1710.0,2.0
435,340.0,1699.0,5.0
156,343.0,1733.0,2.0
184,344.0,1753.0,3.0
152,345.0,1757.0,2.0
201,345.0,1655.0,3.0
148,345.0,1728.0,2.0
222,345.0,1742.0,4.0
597,346.0,1747.0,7.0
548,346.0,1760.0,6.0
386,347.0,1717.0,5.0
565,347.0,1764.0,6.0
658,347.0,1757.0,7.0
249,349.0,1786.0,3.0
256,349.0,1780.0,3.0
730,351.0,1781.0,8.0
445,352.0,1772.0,5.0
