,indegree,outdegree,edges
34,2.8519,2.8519,77.0
12,2.8519,2.8519,77.0
0,3.1429,3.1429,66.0
68,3.2069,3.2069,93.0
20,3.2222,3.2222,87.0
11,3.3,3.3,99.0
35,3.3929,3.3929,95.0
69,3.5429,3.5429,124.0
40,3.6585,3.6585,150.0
42,3.6731,3.6731,191.0
45,3.6944,3.6944,133.0
17,3.7143,3.7143,130.0
4,3.8696,3.8696,178.0
50,3.9643,3.9643,222.0
33,4.027,4.027,149.0
10,4.209,4.209,282.0
38,4.2449,4.2449,208.0
24,4.3125,4.3125,138.0
47,4.4914,4.4914,521.0
60,4.53,4.53,453.0
53,4.5714,4.5714,384.0
57,4.5797,4.5797,316.0
23,4.5909,4.5909,404.0
41,4.6316,4.6316,352.0
29,4.6811,4.6811,2804.0
25,4.6983,4.6983,545.0
67,4.7348,4.7348,1482.0
6,4.7736,4.7736,506.0
36,4.7743,4.7743,1967.0
16,4.813,4.813,592.0
55,4.8662,4.8662,764.0
9,4.8713,4.8713,492.0
26,4.8973,4.8973,1288.0
5,4.931,4.931,858.0
58,4.9585,4.9585,957.0
31,4.959,4.959,1210.0
48,4.9756,4.9756,816.0
32,4.984,4.984,623.0
44,4.9905,4.9905,524.0
1,5.0068,5.0068,741.0
15,5.0137,5.0137,1459.0
52,5.0217,5.0217,693.0
49,5.0233,5.0233,1512.0
61,5.0239,5.0239,1894.0
3,5.0312,5.0312,2098.0
37,5.034,5.034,1777.0
56,5.0469,5.0469,969.0
18,5.055,5.055,1011.0
21,5.0577,5.0577,526.0
54,5.0636,5.0636,557.0
27,5.065,5.065,1403.0
66,5.0653,5.0653,1707.0
28,5.0655,5.0655,1469.0
64,5.0764,5.0764,797.0
65,5.0894,5.0894,911.0
14,5.0901,5.0901,2204.0
7,5.098,5.098,2080.0
8,5.1172,5.1172,1484.0
62,5.1257,5.1257,979.0
22,5.1258,5.1258,1671.0
43,5.129,5.129,1590.0
13,5.131,5.131,862.0
39,5.1318,5.1318,662.0
51,5.133,5.133,1196.0
30,5.1705,5.1705,1365.0
2,5.1898,5.1898,1941.0
59,5.2043,5.2043,968.0
46,5.2349,5.2349,2340.0
19,5.2954,5.2954,3818.0
63,5.3371,5.3371,475.0
