,nodes,edges,vocs
242,521.0,2616.0,3.0
282,525.0,2596.0,4.0
316,527.0,2683.0,4.0
406,530.0,2644.0,5.0
381,542.0,2734.0,5.0
158,543.0,2766.0,2.0
411,544.0,2718.0,5.0
222,544.0,2748.0,3.0
437,546.0,2806.0,5.0
397,554.0,2897.0,5.0
413,562.0,2829.0,5.0
228,562.0,2763.0,3.0
423,563.0,2849.0,5.0
269,564.0,2824.0,4.0
130,564.0,2900.0,2.0
200,570.0,2963.0,3.0
301,576.0,2833.0,4.0
429,577.0,2846.0,5.0
292,587.0,2953.0,4.0
226,590.0,3068.0,3.0
29,599.0,2804.0,1.0
288,600.0,3053.0,4.0
453,602.0,3039.0,6.0
359,607.0,3048.0,5.0
155,610.0,3534.0,2.0
80,622.0,2911.0,2.0
254,623.0,3036.0,3.0
265,630.0,3222.0,4.0
375,637.0,3259.0,6.0
373,637.0,3229.0,5.0
432,640.0,3235.0,5.0
101,641.0,3690.0,2.0
286,643.0,3301.0,4.0
387,645.0,3259.0,5.0
383,649.0,3345.0,5.0
358,659.0,3357.0,5.0
442,665.0,3369.0,5.0
289,670.0,3360.0,4.0
315,670.0,3349.0,4.0
177,671.0,3222.0,3.0
303,679.0,3207.0,4.0
95,679.0,3486.0,2.0
421,682.0,3394.0,5.0
378,695.0,3472.0,5.0
285,700.0,3564.0,4.0
179,700.0,3573.0,3.0
384,701.0,3518.0,5.0
195,701.0,3552.0,3.0
278,707.0,3673.0,4.0
385,710.0,3578.0,5.0
251,712.0,3635.0,3.0
418,720.0,3671.0,5.0
19,721.0,3818.0,1.0
213,722.0,3562.0,3.0
169,723.0,3737.0,3.0
76,729.0,3852.0,2.0
283,731.0,4104.0,4.0
299,735.0,3748.0,4.0
447,737.0,3437.0,6.0
318,740.0,3745.0,4.0
376,742.0,4176.0,5.0
263,746.0,3869.0,4.0
201,748.0,3885.0,3.0
414,748.0,3828.0,5.0
212,750.0,3876.0,3.0
403,751.0,3851.0,5.0
354,766.0,3822.0,4.0
356,767.0,4037.0,4.0
353,768.0,4334.0,4.0
444,769.0,4029.0,5.0
405,779.0,4010.0,5.0
360,783.0,3951.0,5.0
422,784.0,3864.0,5.0
445,785.0,3968.0,5.0
433,792.0,3964.0,5.0
389,800.0,4097.0,5.0
352,807.0,4092.0,4.0
426,825.0,4276.0,5.0
427,837.0,4382.0,5.0
296,838.0,4142.0,4.0
325,843.0,4417.0,4.0
328,851.0,4775.0,4.0
436,854.0,4323.0,5.0
199,868.0,4242.0,3.0
430,917.0,4663.0,5.0
194,922.0,4854.0,3.0
313,934.0,4916.0,4.0
111,946.0,5123.0,2.0
293,947.0,5227.0,4.0
388,949.0,4677.0,5.0
419,956.0,4970.0,5.0
220,975.0,5270.0,3.0
398,978.0,5394.0,5.0
346,998.0,5379.0,4.0
450,1024.0,5035.0,5.0
363,1060.0,5029.0,5.0
391,1062.0,5401.0,5.0
261,1063.0,5618.0,4.0
260,1080.0,5926.0,4.0
267,1087.0,5671.0,4.0
362,1090.0,5365.0,5.0
393,1097.0,5503.0,5.0
449,1210.0,6037.0,5.0
438,1216.0,6275.0,5.0
331,1224.0,6418.0,4.0
341,1470.0,7671.0,4.0
371,1486.0,7853.0,5.0
