,x,y,rate,kmeans,labels
RN31O2-->RN30AO2,115.84123992919922,-101.04840850830078,(2.50D-13*RO2),1,4
RN13O2-->CARB11A+HO2,114.24224853515625,-99.58960723876953,(2.50D-13*RO2*0.602),1,14
HOCH2CH2O2-->HOCH2CHO+HO2,117.6790542602539,-102.72527313232422,(2.00D-12*RO2*0.224),1,2
MACO3-->CO+HCHO+CH3O2+HO2,126.10577392578125,-110.4145736694336,(1.00D-11*RO2*0.65),1,0
RI15O2-->CH3COCH3+CH3CHO+HO2,118.94712829589844,-103.88227081298828,(6.70D-13*RO2),1,2
RI16O2-->CH3COCH3+C2H5O2,118.94712829589844,-103.88227081298828,(6.70D-13*RO2),1,2
DHPR12O2-->RN8OOH+CARB3+OH,119.34423828125,-104.24458312988281,(7.60D-13*RO2),1,2
DHPR12O2-->DHPCARB9+CO+OH,143.396728515625,-130.37875366210938,(K14ISOM1),1,11
RN30AO2-->CARB28+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN15AO2-->CARB13+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN33O2-->CARB17+CARB14+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
IC3H7O2-->CH3COCH3+HO2,108.45755004882812,-94.31254577636719,(4.00D-14*0.6*RO2),1,0
RN33AO2-->CARB31+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RA16O2-->UDCARB8+CARB6+HO2,116.01289367675781,-101.20503997802734,(8.80D-13*RO2*0.3),1,4
RN35O2-->RN34O2,121.26889038085938,-106.00080108642578,(1.40D-12*RO2),1,9
RA19BO2-->UDCARB14+CARB3+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
MPAN-->MACO3+NO2,120.01205444335938,-109.0433120727539,(1.60D+16*EXP(-13500/TEMP)),1,3
RTX28O2-->TXCARB24+HCHO+HO2,122.39254760742188,-107.02613830566406,(2.00D-12*RO2),1,12
NRU12O2-->NOA+CARB3+HO2,117.89646911621094,-102.92359161376953,(9.60D-13*RO2*0.5),1,2
RE6O2-->CH3OCHO+HO2,122.39254760742188,-107.02613830566406,(2.00D-12*RO2),1,12
PHAN-->HOCH2CO3+NO2,120.76854705810547,-109.73355865478516,(KBPAN),1,3
RN11O2-->CH3CO3+CH3CHO,121.26889038085938,-106.00080108642578,(1.40D-12*RO2),1,9
RA19AO2-->UDCARB14+CARB3+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RTN23O2-->RTN14O2+CH3COCH3,104.4369125366211,-90.64537811279297,(6.70D-15*RO2),1,5
RU14O2-->HPUCARB12+HO2,125.69208526611328,-114.2627182006836,(K16ISOM*0.5),1,11
NRU14O2-->NUCARB12+HO2,121.0354232788086,-105.78775787353516,(1.30D-12*RO2),1,9
RU14O2-->UCARB10+HCHO+OH,122.58319854736328,-111.38924407958984,(1.24D11*EXP(-9750/TEMP)),1,3
RTX22O2-->CH3COCH3+RN13O2,115.84123992919922,-101.04840850830078,(2.50D-13*RO2),1,4
RN36AO2-->CARB34+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RA28O2-->UDCARB20+CARB6+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RE12O2-->ECARB7+CH3O2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RU10AO2-->CO+CARB7+HO2,116.99006652832031,-102.09661865234375,(3.60D-13*RO2),1,15
RTN28O2-->TNCARB26+HO2,116.2540512084961,-101.42504119873047,(2.85D-13*RO2),1,4
RN13AO2-->RN12O2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
