,x,y,rate,kmeans,labels
CARB7-->HCHO+CH3CO3+HO2,-21.834381103515625,-64.8177719116211,(J(22)),2,1
RA28NO3-->UDCARB20+CARB6+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
HOCH2CHO-->CO+HCHO+2HO2,-22.95063018798828,-68.1298599243164,(J(15)),2,1
NO3-->O+NO2,-30.965389251708984,-91.8635482788086,(J(6)),2,2
RA25OOH-->UDCARB17+CARB6+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RTN28OOH-->TNCARB26+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN25NO3-->RN24O2+NO2,-21.466426849365234,-63.72970962524414,(J(53)),2,1
RN37OOH-->RN36AO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
MIBKAOH-->RI12O2+CH3CO3,-22.24091911315918,-66.02391052246094,(J(22)*1.75),2,1
CYHEXONE-->CO+PENT1ENE,-21.3308162689209,-63.32383728027344,(J(22)*0.5),2,1
IPRCHO-->IC3H7O2+CO+HO2,-23.898744583129883,-70.93801879882812,(J(17)),2,1
UCARB12-->2CO+CARB7+2HO2,-20.845842361450195,-61.8903694152832,(J(18)*0.5),2,1
RN32OOH-->RN31O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB31-->CARB14+RN17O2+HO2,-22.864696502685547,-67.87457275390625,(J(22)*4.13),2,1
RN36OOH-->2CARB17+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RI16OOH-->CH3COCH3+C2H5O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN18OOH-->2C2H5CHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN17OOH-->RN16O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB11-->C2H5O2+CH3CO3,-22.597761154174805,-67.08260345458984,(J(22)*2.86),2,1
NUCARB12-->2CO+CARB7+NO2+HO2,-24.31280517578125,-72.1646957397461,(J(56)*8),2,1
NRN15OOH-->C2H5CHO+CH3CHO+NO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
C2H5NO3-->CH3CHO+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(52)),2,1
RN13OOH-->C2H5O2+CH3CHO+OH,-21.87262725830078,-64.93675994873047,(J(41)*0.398),2,1
CARB33-->2RN17O2,-26.055667877197266,-77.3402099609375,(J(35)),2,1
CH3COCH3-->CH3O2+CH3CO3,-20.34787368774414,-60.423709869384766,(J(21)),2,1
CARB34-->CARB17+RN17O2+HO2,-23.24278450012207,-68.9963150024414,(J(22)*6.95),2,1
DHPR12OOH-->RN8OOH+CARB3+2OH,-23.3399658203125,-69.2902603149414,(J(41)*3),2,1
CARB18-->RN11O2+RN8O2,-26.055667877197266,-77.3402099609375,(J(35)),2,1
RN16NO3-->RN15O2+NO2,-21.466426849365234,-63.72970962524414,(J(53)),2,1
DHPCARB9-->RN8OOH+CO+HO2+OH,-22.95063018798828,-68.1298599243164,(J(15)),2,1
CARB9-->2CH3CO3,-26.055667877197266,-77.3402099609375,(J(35)),2,1
RN35OOH-->RN34O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN20OOH-->RN19O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB26-->RN11O2+RN16O2,-21.834381103515625,-64.8177719116211,(J(22)),2,1
RN28NO3-->RN27O2+NO2,-21.466426849365234,-63.72970962524414,(J(53)),2,1
UCARB10-->HCHO+CH3CO3+HO2,-21.852922439575195,-64.87825775146484,(J(18)*2),2,1
RTN10OOH-->CO+RN8O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
UDCARB17-->ANHY+RN10O2+HO2,-24.973609924316406,-74.13871002197266,(J(4)*0.02*0.45),2,1
RTX28OOH-->TXCARB24+HCHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB17-->RN8O2+RN10O2,-22.04155731201172,-65.43242645263672,(J(22)*1.33),2,1
C3H7CHO-->CO+RN10O2+HO2,-22.95063018798828,-68.1298599243164,(J(15)),2,1
HONO-->OH+NO,-27.05917739868164,-80.32807922363281,(J(7)),2,1
RN10OOH-->C2H5CHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RTN26OOH-->RTN25O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB25-->CARB11+RN14O2+HO2,-22.71480941772461,-67.42985534667969,(J(22)*3.36),2,1
RN33OOH-->CARB17+CARB14+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
HCHO-->H2+CO,-24.272340774536133,-72.05604553222656,(J(12)),2,1
UDCARB11-->RN10O2+HO2,-25.119384765625,-74.57122039794922,(J(4)*0.02*0.55),2,1
UDCARB11-->ANHY+CH3O2+HO2,-24.973609924316406,-74.13871002197266,(J(4)*0.02*0.45),2,1
UDCARB20-->ANHY+RN13O2+HO2,-24.973609924316406,-74.13871002197266,(J(4)*0.02*0.45),2,1
UDCARB17-->RN16O2+HO2,-25.119384765625,-74.57122039794922,(J(4)*0.02*0.55),2,1
CARB32-->RN19O2+RN14O2,-21.834381103515625,-64.8177719116211,(J(22)),2,1
C2H5CO3H-->C2H5O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RI13NO3-->CH3COCH3+CH3O2+NO2,-20.838199615478516,-61.86650466918945,(J(55)),2,1
HEX2ONE-->CH3CO3+RN13O2,-21.834381103515625,-64.8177719116211,(J(22)),2,1
RTN25OOH-->RTN24O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB3-->CO+HCHO,-23.480735778808594,-69.70525360107422,(J(32)),2,1
CARB22-->CARB11+RN11O2+HO2,-22.273395538330078,-66.1202621459961,(J(22)*1.83),2,1
RN28OOH-->RN27AO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
HEX3ONE-->C2H5CO3+RN10O2,-21.834381103515625,-64.8177719116211,(J(22)),2,1
RC18OOH-->CYHEXONE+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RN13OOH-->CARB11A+HO2+OH,-22.17323875427246,-65.8286361694336,(J(41)*0.602),2,1
RA19NO3-->UDCARB11+CARB6+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
O3-->O1D,-22.88445281982422,-67.9510726928711,(J(1)),2,1
CARB3-->2CO+2HO2,-25.17999267578125,-74.74910736083984,(J(33)),2,1
NRU12OOH-->NOA+CARB3+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
DHPR12OOH-->DHPCARB9+CO+HO2+OH,-23.898744583129883,-70.93801879882812,(J(17)),2,1
RTN24OOH-->RTN23O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
NRI12OOH-->CH3COCH3+HCHO+NO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
NRN18OOH-->2C2H5CHO+NO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RTX22O2+NO3-->CH3COCH3+RN13O2+NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
PECOH+OH-->RN15O2,64.22598266601562,-58.113441467285156,(1.22D-11*0.564),3,1
RN8O2+NO3-->HCHO+CH3CO3+NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
RI16OOH+OH-->CH3COCH3+CH3CHO+OH,66.05431365966797,-59.784812927246094,(1.23D-11),3,1
PBENZ+OH-->RA22AO2,61.80666732788086,-55.90128707885742,(5.80D-12*0.55),3,1
M23C4+OH-->RN19AO2,57.082176208496094,-51.57942581176758,(1.24D-17*TEMP**2*EXP(494/TEMP)*0.123),3,1
TOLUENE+OH-->RA16O2,62.971893310546875,-56.966827392578125,(1.8D-12*EXP(340/TEMP)*0.82),3,1
RN15OOH+OH-->CARB13+OH,69.55513000488281,-62.98430252075195,(3.74D-11),3,1
RN31O2+NO-->RN30AO2+NO2,63.38561248779297,-57.34514617919922,(KRO2NO*0.583),3,1
M3PE+OH-->RN19BO2,63.46324157714844,-57.416107177734375,(5.40D-12),3,1
NRN12OOH+OH-->2CH3CHO+NO2+OH,64.34676361083984,-58.22388458251953,(7.15D-12),3,1
RTN26O2+HO2-->RTN26OOH,64.62291717529297,-58.47633361816406,(KAPHO2*0.56),3,1
RA22AO2+NO-->RA22NO3,59.25706481933594,-53.569339752197266,(KRO2NO*0.157),3,1
NRI12O2+HO2-->NRI12OOH,66.52137756347656,-60.21176528930664,(KRO2HO2*0.625),3,1
RE12O2+NO-->RE12NO3,57.13583755493164,-51.62853240966797,(KRO2NO*0.080),3,1
RE18O2+NO-->ECARB13+CH3O2+NO2,64.40116882324219,-58.27360534667969,(KRO2NO*0.805),3,1
C5H8+O3-->H2O2+UCARB10+HCHO,19.790254592895508,-17.30544090270996,(1.03D-14*EXP(-1995/TEMP)*0.385),3,0
M2HEX+OH-->RN22O2,64.2164535522461,-58.10472869873047,(6.86D-12),3,1
CH3CHO+NO3-->HNO3+CH3CO3,39.59567642211914,-35.549137115478516,(1.4D-12*EXP(-1860/TEMP)),3,2
CHEX2ENE+OH-->RN18O2,71.04328155517578,-64.34406280517578,(6.00D-11),3,1
RN36NO3+OH-->CARB34+NO2,67.2177734375,-60.84822082519531,(1.78D-11),3,1
2HO2-->H2O2,63.855892181396484,-57.775123596191406,(2.20E-13*KMT06*EXP(600/TEMP)+1.90E-33*M*KMT06*EXP(980/TEMP)),3,1
RN9OOH+OH-->CARB7+OH,68.28706359863281,-61.82549285888672,(2.50D-11),3,1
RA19AO2+NO-->UDCARB14+CARB3+NO2+HO2,64.61649322509766,-58.470462799072266,(KRO2NO*0.862),3,1
MEK+OH-->RN11O2,58.48197555541992,-52.86025619506836,(1.5D-12*EXP(-90/TEMP)),3,1
CH3OCH3+NO3-->RE6O2+HNO3,32.2242431640625,-28.768653869628906,(2.60D-16),3,0
RA19AO2+HO2-->RA19OOH,67.52247619628906,-61.12673568725586,(KRO2HO2*0.859),3,1
RA16BOOH+OH-->RA16BO2,62.99937438964844,-56.991973876953125,(4.66D-12),3,1
NRU12O2+HO2-->NRU12OOH,66.90498352050781,-60.56237030029297,(KRO2HO2*0.706),3,1
NOA+OH-->CARB6+NO2,56.89657211303711,-51.40958786010742,(6.70D-13),3,1
MO2EOL+OH-->CH3OCHO+CH3O2,66.02909851074219,-59.76179122924805,(4.10D-12*EXP(325/TEMP)),3,1
O3+NO-->NO2,45.39217758178711,-40.870323181152344,(1.40E-12*EXP(-1310/TEMP)),3,3
C2H4+O3-->CO+HCHO+HO2+OH,9.812151908874512,-8.271458625793457,(9.1D-15*EXP(-2580/TEMP)*0.13),3,0
C2H6+OH-->C2H5O2,53.67654037475586,-48.462093353271484,(6.9D-12*EXP(-1000/TEMP)),3,1
NBUTACET+OH-->RN16O2,63.173423767089844,-57.15111541748047,(2.48D-18*TEMP**2*EXP(926/TEMP)),3,1
RN10NO3+OH-->C2H5CHO+NO2,57.16638946533203,-51.656497955322266,(7.30D-13),3,1
UCARB10+O3-->CO+HCHO+CH3CO3+OH,15.475199699401855,-13.342219352722168,(1.20D-15*EXP(-1710/TEMP)*0.32),3,0
RN18AO2+NO-->CARB16+NO2+HO2,64.9091567993164,-58.738037109375,(KRO2NO*0.946),3,1
RA28O2+NO3-->UDCARB20+CARB6+NO2+HO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
RA16O2+NO-->UDCARB11+CARB3+NO2+HO2,63.590946197509766,-57.532867431640625,(KRO2NO*0.889*0.7),3,1
RI11O2+HO2-->RI11OOH,66.52137756347656,-60.21176528930664,(KRO2HO2*0.625),3,1
SBUTACET+OH-->RN16O2,63.63566970825195,-57.57377243041992,(6.66D-13*EXP(640/TEMP)),3,1
UCARB10+OH-->RU10AO2,62.19226837158203,-56.253936767578125,(3.84D-12*EXP(533/TEMP)*0.157),3,1
RN34AO2+HO2-->RN34OOH,67.77923583984375,-61.361392974853516,(KRO2HO2*0.932),3,1
TNCARB10+NO3-->RTN10O2+HNO3,44.94950485229492,-40.464256286621094,(KNO3AL*5.5),3,3
TPENT2ENE+O3-->CH3CO2H+C2H5CHO,27.032672882080078,-23.984272003173828,(1.60D-16*0.31),3,4
RI13O2+NO3-->IPRCHO+NO2+HO2,55.18384552001953,-49.84202194213867,(KRO2NO3*0.169),3,1
EOX2EOL+NO3-->ECARB7+HNO3+CH3O2,39.680450439453125,-35.62701416015625,(2.80D-15),3,2
RA16BO2+NO-->RAROH14+NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
RN32O2+NO-->RN31O2+NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
RN29O2+NO-->RN28O2+NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
RN21O2+NO-->CARB11+C2H5CHO+NO2+HO2,64.61283111572266,-58.46711730957031,(KRO2NO*0.861),3,1
C5H8+O3-->CO+UCARB10+HO2+OH,16.269014358520508,-14.068609237670898,(1.03D-14*EXP(-1995/TEMP)*0.125),3,5
RN34OOH+OH-->CARB32+OH,70.7173843383789,-64.0462875366211,(5.41D-11),3,1
TPENT2ENE+OH-->RN15O2,71.38600158691406,-64.65718078613281,(6.69D-11),3,1
HOCH2CO3H+OH-->HOCH2CO3,63.89297866821289,-57.80900573730469,(6.19D-12),3,1
RU10OOH+OH-->CO+CARB7+OH,69.6382064819336,-63.060203552246094,(3.84D-11),3,1
RN14O2+HO2-->RN14OOH,66.90498352050781,-60.56237030029297,(KRO2HO2*0.706),3,1
RN37OOH+OH-->CARB35+OH,70.7978286743164,-64.11978149414062,(5.55D-11),3,1
RN27O2+NO-->CARB14+CARB11+NO2+HO2,64.3972396850586,-58.27001953125,(KRO2NO*0.804),3,1
RN21AO2+HO2-->RN21OOH,67.3761978149414,-60.99304962158203,(KRO2HO2*0.820),3,1
CARB35+OH-->RN35O2,67.072998046875,-60.715938568115234,(1.70D-11),3,1
RN9NO3+OH-->CARB7+NO2,59.0060920715332,-53.33972930908203,(1.31D-12),3,1
CARB19+OH-->RN19AO2,64.72775268554688,-58.572166442871094,(8.07D-12),3,1
RI15O2+NO3-->CH3COCH3+CH3CHO+NO2+HO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
RTX22O2+NO-->RTX22NO3,61.294673919677734,-55.433082580566406,(KRO2NO*0.300),3,1
CARB15+OH-->RN15O2,63.09910202026367,-57.08314514160156,(4.81D-12),3,1
RN34AO2+NO-->RN33O2+NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
NRN6OOH+OH-->2HCHO+NO2+OH,63.35654067993164,-57.31855773925781,(5.22D-12),3,1
NRN12O2+HO2-->NRN12OOH,66.52137756347656,-60.21176528930664,(KRO2HO2*0.625),3,1
NRN15O2+NO3-->C2H5CHO+CH3CHO+2NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
C2H5O2+NO3-->CH3CHO+NO2+HO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
RN15AO2+HO2-->RN15OOH,66.90498352050781,-60.56237030029297,(KRO2HO2*0.706),3,1
TBUACET+OH-->RI16O2,55.97248458862305,-50.563873291015625,(1.88D-12*EXP(-395/TEMP)),3,1
RN26O2+NO3-->RN25O2+NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
RI13O2+NO3-->CH3COCH3+CH3O2+NO2,60.194725036621094,-54.42704391479492,(KRO2NO3*0.831),3,1
NRI12O2+NO3-->CH3COCH3+HCHO+2NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
UDCARB11+OH-->RN10O2,68.9326171875,-62.41545104980469,(5.58D-11*0.55),3,1
RN22AO2+NO-->RN21O2+NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
CH3COCH3+OH-->RN8O2,52.67741775512695,-47.54719161987305,(8.8D-12*EXP(-1320/TEMP)+1.7D-14*EXP(423/TEMP)),3,1
RN28OOH+OH-->CARB26+OH,70.55006408691406,-63.89341735839844,(5.13D-11),3,1
ETBE+OH-->RN18AO2,60.535186767578125,-54.73847961425781,(6.82D-18*TEMP**2*EXP(800/TEMP)*0.24),3,1
C4H9CHO+NO3-->HNO3+RN14O2,44.94950485229492,-40.464256286621094,(KNO3AL*5.5),3,3
CH3CO2H+OH-->CH3O2,57.45446014404297,-51.92010498046875,(8.00D-13),3,1
CARB28+OH-->RN28AO2,64.0322265625,-57.936309814453125,(6.47D-12),3,1
RE15O2+NO-->ECARB13+NO2+HO2,64.91582489013672,-58.74409866333008,(KRO2NO*0.948),3,1
RN28O2+NO-->RN27AO2+NO2,63.51258850097656,-57.46122360229492,(KRO2NO*0.607),3,1
RN28AO2+NO-->RN27O2+NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
RTN25O2+NO3-->RTN24O2+NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
RI15NO3+OH-->CH3COCH3+CH3CHO+NO2,59.0300178527832,-53.36163330078125,(1.32D-12),3,1
BUT2OL+OH-->CARB11A+HO2,63.55472946166992,-57.4997673034668,(8.7D-12*0.639),3,1
HEX1ENE+O3-->CO+HCHO+RN13O2+OH,19.118873596191406,-16.687114715576172,(1.10D-17*0.36),3,6
RN13NO3+OH-->CARB11A+NO2,57.894161224365234,-52.32242965698242,(9.20D-13),3,1
MIBK+OH-->RI17O2,66.4842300415039,-60.17777633666992,(1.41D-11),3,1
TNCARB26+NO3-->HNO3+RTN26O2,47.872676849365234,-43.1449089050293,(3.80D-14),3,7
C2H5O2+NO-->CH3CHO+NO2+HO2,65.08677673339844,-58.9004020690918,(2.55D-12*EXP(380/TEMP)*0.991),3,1
DIIPRETHER+NO3-->HNO3+RN18AO2,42.3248291015625,-38.05559539794922,(6.50D-15),3,8
NRUA20O2+NO-->BENZAL+HCHO+2NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
PXYL+OH-->RA19BO2,62.73902130126953,-56.75391387939453,(1.43D-11*0.30),3,1
IBUTOL+OH-->IPRCHO+HO2,61.74800109863281,-55.8476676940918,(2.73D-12*EXP(352/TEMP)*0.352),3,1
RI14OOH+OH-->RI14O2,66.84256744384766,-60.505313873291016,(1.58D-11),3,1
RN10OOH+OH-->C2H5CHO+OH,67.40650939941406,-61.020751953125,(1.89D-11),3,1
M2PE+OH-->RN19BO2,63.40440368652344,-57.36231231689453,(5.30D-12),3,1
RN16O2+NO3-->RN15AO2+NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
NO3+NO-->2NO2,68.41495513916016,-61.94236373901367,(1.80E-11*EXP(110/TEMP)),3,1
ME3BUT1ENE+OH-->RI15O2,69.04634857177734,-62.51937484741211,(5.32D-12*EXP(533/TEMP)),3,1
TM135B+OH-->RA22AO2,70.86516571044922,-64.18132781982422,(5.67D-11),3,1
MO2EOL+NO3-->CH3OCHO+HNO3+CH3O2,37.783538818359375,-33.883731842041016,(1.53D-15),3,0
NRN18O2+NO-->2C2H5CHO+2NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
M23C4+OH-->RI19O2,63.263214111328125,-57.23321533203125,(1.24D-17*TEMP**2*EXP(494/TEMP)*0.877),3,1
NO2+OH-->HNO3,65.37157440185547,-59.16073226928711,(KMT08),3,1
MTBK+OH-->RI17O2,58.75625991821289,-53.11117172241211,(1.21D-12),3,1
RN15O2+NO3-->C2H5CHO+CH3CHO+NO2+HO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
RN32O2+NO3-->RN31O2+NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
RN9O2+NO3-->HCHO+CH3CHO+NO2+HO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
CARB22+OH-->RN22AO2,64.69242858886719,-58.5399055480957,(7.98D-12),3,1
HOCH2CH2O2+NO-->HOC2H4NO3,48.41691970825195,-43.643798828125,(KRO2NO*0.005),3,7
MACO3+NO2-->MPAN,65.06160736083984,-58.87737274169922,(KFPAN),3,1
RN34NO3+OH-->CARB32+NO2,65.25446319580078,-59.053688049316406,(9.54D-12),3,1
RN37O2+NO3-->RN36AO2+NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
CBUT2ENE+O3-->CH3CO2H+CH3CHO,26.261032104492188,-23.272653579711914,(3.22D-15*EXP(-968/TEMP)*0.31),3,0
RA13O2+HO2-->RA13OOH,67.17815399169922,-60.812042236328125,(KRO2HO2*0.770),3,1
HOCH2CH2O2+NO-->HOCH2CHO+NO2+HO2,60.35960388183594,-54.57786560058594,(KRO2NO*0.995*0.224),3,1
RN25O2+NO3-->RN24AO2+NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
RN28O2+HO2-->RN28OOH,67.63408660888672,-61.228736877441406,(KRO2HO2*0.890),3,1
RN23O2+NO-->RN22O2+NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
OXYL+OH-->RA19AO2,65.24784088134766,-59.04764175415039,(1.36D-11*0.70),3,1
RC18NO3+OH-->CYHEXONE+NO2,61.913330078125,-55.998870849609375,(3.30D-12),3,1
CARB27+OH-->RN27O2,65.64492797851562,-59.41062545776367,(1.08D-11),3,1
RA19BO2+NO-->RA19NO3,58.851219177246094,-53.198055267333984,(KRO2NO*0.138),3,1
HEX1ENE+O3-->HCOOH+CARB14,20.919675827026367,-18.346298217773438,(1.10D-17*0.64),3,9
HEX2ONE+OH-->RN17O2,65.1058578491211,-58.91780471801758,(9.10D-12),3,1
RC16O2+NO3-->CCARB14+NO2+HO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
NC9H20+OH-->RN28O2,65.39940643310547,-59.18618392944336,(2.51D-17*TEMP**2*EXP(447/TEMP)),3,1
RA25NO3+OH-->UDCARB17+CARB6+NO2,72.51324462890625,-65.68705749511719,(9.57D-11),3,1
RC16O2+NO-->CCARB14+NO2+HO2,64.86223602294922,-58.69512176513672,(KRO2NO*0.932),3,1
CARB7+OH-->CARB6+HO2,62.85611343383789,-56.860992431640625,(1.6D-12*EXP(305/TEMP)),3,1
HEX3ONE+OH-->RN17O2,64.23474884033203,-58.1214599609375,(6.90D-12),3,1
OXYL+OH-->RA19CO2,62.58107376098633,-56.609466552734375,(1.36D-11*0.30),3,1
RE18O2+HO2-->TBUACET,67.17815399169922,-60.812042236328125,(KRO2HO2*0.770),3,1
UCARB10+NO3-->HNO3+RU10O2,36.83546829223633,-33.01205062866211,(KNO3AL*0.415),3,0
HCOOH+OH-->HO2,55.644466400146484,-50.26365280151367,(4.50D-13),3,1
RN37O2+HO2-->RN37OOH,67.8294906616211,-61.40732955932617,(KRO2HO2*0.947),3,1
RN20O2+NO3-->RN19O2+NO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
C4H6+OH-->RU11O2,71.36957550048828,-64.64217376708984,(1.48D-11*EXP(448/TEMP)),3,1
BPINENE+O3-->TXCARB22+HCHO,19.693424224853516,-17.216249465942383,(1.35D-15*EXP(-1270/TEMP)*0.25),3,0
RI13O2+HO2-->RI13OOH,66.52137756347656,-60.21176528930664,(KRO2HO2*0.625),3,1
RTN26PAN+OH-->CARB16+CH3COCH3+NO2,62.23919677734375,-56.29683303833008,(3.66D-12),3,1
RN19O2+HO2-->RN19OOH,67.17815399169922,-60.812042236328125,(KRO2HO2*0.770),3,1
C3H6+OH-->RN9O2,68.70645141601562,-62.208770751953125,(KMT16),3,1
CARB6+OH-->CO+CH3CO3,66.24879455566406,-59.96260070800781,(1.9D-12*EXP(575/TEMP)),3,1
IC3H7NO3+OH-->CH3COCH3+NO2,55.912349700927734,-50.50883102416992,(4.90D-13),3,1
RTX28O2+NO-->CH3COCH3+RN19O2+NO2,56.4920539855957,-51.03938674926758,(KRO2NO*0.767*0.085),3,1
UCARB10+OH-->MACO3,62.04872512817383,-56.12267303466797,(3.84D-12*EXP(533/TEMP)*0.150),3,1
RN31AO2+NO-->RN30O2+NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
TNCARB10+OH-->RTN10O2,72.6516342163086,-65.81346130371094,(1.00D-10),3,1
NPROPOL+OH-->C2H5CHO+HO2,61.47844696044922,-55.601173400878906,(4.6D-12*EXP(70/TEMP)*0.494),3,1
RUA20O2+NO3-->BENZAL+HCHO+NO2+HO2,60.77725601196289,-54.95987319946289,(KRO2NO3),3,1
DIIPRETHER+OH-->RN18AO2,65.46383666992188,-59.24507522583008,(2.20D-12*EXP(457/TEMP)),3,1
RI16AO2+NO-->RI16NO3,55.7196044921875,-50.33241653442383,(KRO2NO*0.051),3,1
NRU12OOH+OH-->NOA+CARB3+OH,68.4704818725586,-61.99313735961914,(2.65D-11),3,1
CARB17+OH-->RN17O2,62.78996658325195,-56.80047607421875,(4.36D-12),3,1
IPROPOL+OH-->RN9O2,57.06599044799805,-51.56461715698242,(2.6D-12*EXP(200/TEMP)*0.139),3,1
RN14O2+NO-->C2H5CO3+CH3CHO+NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
RI11O2+NO-->IC3H7O2+NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
BUT1ENE+O3-->CO+HCHO+C2H5O2+OH,18.8719425201416,-16.45979118347168,(3.55D-15*EXP(-1745/TEMP)*0.36),3,10
RN19AO2+HO2-->RN19OOH,67.17815399169922,-60.812042236328125,(KRO2HO2*0.770),3,1
RN12O2+NO-->2CH3CHO+NO2+HO2,64.95214080810547,-58.77730941772461,(KRO2NO*0.959),3,1
NRI15O2+NO-->CH3COCH3+CH3CHO+2NO2,65.08389282226562,-58.89775466918945,(KRO2NO),3,1
RA28O2+NO-->UDCARB20+CARB6+NO2+HO2,64.48983764648438,-58.35465621948242,(KRO2NO*0.828),3,1
RN9O2+HO2-->RN9OOH,65.94242858886719,-59.68255615234375,(KRO2HO2*0.520),3,1
RN19O2+NO-->RN19NO3,60.202110290527344,-54.4338264465332,(KRO2NO*0.212),3,1
RN31AO2+HO2-->RN31OOH,67.71784210205078,-61.30527877807617,(KRO2HO2*0.914),3,1
RU12O2+NO3-->CARB6+HOCH2CHO+NO2+HO2,58.0626220703125,-52.47655487060547,(KRO2NO3*0.422),3,1
NC4H10+OH-->RN13O2,60.85057830810547,-55.02691650390625,(9.8D-12*EXP(-425/TEMP)),3,1
ME3BUT1ENE+NO3-->NRI15O2,44.25063705444336,-39.823055267333984,(1.20D-14),3,3
HOCH2CH2O2+NO3-->2HCHO+NO2+HO2,59.979251861572266,-54.22995376586914,(KRO2NO3*0.776),3,1
RTX22O2+NO-->CH3COCH3+RN13O2+NO2,63.96125411987305,-57.87143325805664,(KRO2NO*0.700),3,1
RU14O2+NO3-->UCARB12+NO2+HO2,49.95064163208008,-45.049373626708984,(KRO2NO3*0.032),3,11
RN33O2+NO-->CARB17+CARB14+NO2+HO2,64.32196044921875,-58.201202392578125,(KRO2NO*0.785),3,1
HO2NO2+OH-->NO2,61.856937408447266,-55.94728088378906,(3.20E-13*EXP(690/TEMP)),3,1
CH3OCH3+OH-->RE6O2,61.36281967163086,-55.495418548583984,(5.7D-12*EXP(-215/TEMP)),3,1
RTN23OOH+OH-->RTN23O2,67.6623306274414,-61.25455856323242,(2.05D-11),3,1
RN27AO2+NO-->RN27NO3,59.25706481933594,-53.569339752197266,(KRO2NO*0.157),3,1
DHPR12O2+HO2-->DHPR12OOH,66.90498352050781,-60.56237030029297,(KRO2HO2*0.706),3,1
RN31O2+NO-->RN31NO3,62.33100128173828,-56.38079071044922,(KRO2NO*0.417),3,1
RN19O2+NO-->RN18AO2+NO2,64.33396911621094,-58.212181091308594,(KRO2NO*0.788),3,1
RA19BO2+HO2-->RA19OOH,67.52247619628906,-61.12673568725586,(KRO2HO2*0.859),3,1
RN18O2+NO-->2C2H5CHO+NO2+HO2,64.76273345947266,-58.60417175292969,(KRO2NO*0.903),3,1
