,CH3NO3,CH3OH,O1D,O3,NO2,NO3,N2O5,H2O2,TEMP,NO,NA,CH4,HO2NO2,LMP2,PRESS,LMP1,HSO3,CO,CL,O,HNO3,SO3,SO2,HO2,OH,H2,HONO,H2O,TIME,CH3OOH,SA
13,0.0,0.0,0.0,58198823045.5,1.7485136434e+11,169319639.299,816876965.634,0.0,298.0,3590004.27051,6580614055.08,2.13182497685e+11,2.79001985304e-11,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1571984420.89,0.0,0.0,1.31317419407e-11,5.83525456189e-15,1.23108661933e+13,537884591.277,2.46220332744e+17,15813051.84,0.0,0.0
14,0.0,0.0,0.0,57553477732.8,1.73699159577e+11,168607702.084,808127665.38,0.0,298.0,3571255.68096,7767934186.46,2.13182497685e+11,1.78543268401e-11,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1555098338.12,0.0,0.0,8.45924969472e-12,3.76259810071e-15,1.23108661933e+13,537884591.277,2.46220332744e+17,15814851.84,0.0,0.0
15,0.0,0.0,0.0,56919441004.9,1.72567270451e+11,167336843.064,796832677.735,0.0,298.0,3550447.09062,8940409649.5,2.13182497685e+11,1.14394137293e-11,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1538393643.78,0.0,0.0,5.45554680968e-12,2.42205590822e-15,1.23108661933e+13,537884591.277,2.46220332744e+17,15816651.84,0.0,0.0
16,0.0,0.0,0.0,56296427319.0,1.71455110817e+11,165793762.557,784407545.141,0.0,298.0,3528781.20937,10095509549.4,2.13182497685e+11,7.34480806828e-12,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1521868389.42,0.0,0.0,3.52559394488e-12,1.56003044771e-15,1.23108661933e+13,537884591.277,2.46220332744e+17,15818451.84,0.0,0.0
17,0.0,0.0,0.0,55684159387.5,1.70362148006e+11,164125743.152,771570681.129,0.0,298.0,3506862.00634,11232183769.1,2.13182497685e+11,4.72792372019e-12,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1505520647.51,0.0,0.0,2.28407402027e-12,1.00655364897e-15,1.23108661933e+13,537884591.277,2.46220332744e+17,15820251.84,0.0,0.0
18,0.0,0.0,0.0,55082368497.0,1.69287884022e+11,162408314.313,758684352.074,0.0,298.0,3484994.13143,12350131844.3,2.13182497685e+11,3.05189593158e-12,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1489348511.24,0.0,0.0,1.4837740975e-12,6.50953914414e-16,1.23108661933e+13,537884591.277,2.46220332744e+17,15822051.84,0.0,0.0
19,0.0,0.0,0.0,54490794485.0,1.68231845814e+11,160680057.608,745928843.742,0.0,298.0,3463330.11344,13449429407.4,2.13182497685e+11,1.97570425568e-12,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1473350094.27,0.0,0.0,9.66604991883e-13,4.22084544448e-16,1.23108661933e+13,537884591.277,2.46220332744e+17,15823851.84,0.0,0.0
20,0.0,0.0,0.000209697441962,81516262053.5,1.43243545775e+11,590865.94088,2366985.48545,0.0,298.0,26334859569.8,13751560059.7,2.13182458868e+11,28802.0380165,0.0,1013.0,2516454.48509,0.0,1.35554961435e+11,0.0,739.956440266,1500701933.44,0.0,0.0,16598.0950772,31283.7660914,1.23108638363e+13,512490004.658,2.46220332744e+17,15825651.84,0.0,0.0
21,0.0,0.0,0.000709756760345,1.04882452008e+11,1.19716258043e+11,332117.70661,1105039.78735,0.0,298.0,49783901567.9,13770558318.7,2.13182327223e+11,33902.6730063,0.0,1013.0,2648098.64686,0.0,1.35551959976e+11,0.0,1500.87065448,1607957682.27,0.0,0.0,23456.8406035,82491.0054731,1.23108558427e+13,467259270.113,2.46220332744e+17,15827451.84,0.0,0.0
22,0.0,0.0,0.00193954966837,1.24160046256e+11,1.00084105986e+11,234303.808197,650847.187173,0.0,298.0,69182175275.2,13790253712.4,2.13182010947e+11,47385.3693508,0.0,1013.0,2964375.34652,0.0,1.355447492e+11,0.0,2395.47523479,1839033674.15,0.0,0.0,39257.661421,189618.202374,1.23108366382e+13,451358950.641,2.46220332744e+17,15829251.84,0.0,0.0
23,0.0,0.0,0.00450265685759,1.39693917351e+11,83833387106.3,179004.678663,416125.990013,0.0,298.0,84852758768.9,13813022273.9,2.13181301098e+11,72364.7026584,0.0,1013.0,3674223.59316,0.0,1.35528566764e+11,0.0,3272.77448292,2285430747.92,0.0,0.0,71619.046394,420372.082799,1.23107935357e+13,562828463.326,2.46220332744e+17,15831051.84,0.0,0.0
24,0.0,0.0,0.00909902504042,1.50812689044e+11,71340514682.6,144665.26632,285945.67369,0.0,298.0,96105646647.3,13842253931.6,2.13179750043e+11,117761.404549,0.0,1013.0,5225278.82901,0.0,1.35493213836e+11,0.0,3995.80537992,3120981154.28,0.0,0.0,137015.044481,904960.658741,1.23106993546e+13,938280247.781,2.46220332744e+17,15832851.84,0.0,0.0
25,0.0,0.0,0.0162139840954,1.57991355861e+11,61706962857.1,121659.488183,207880.885578,0.0,298.0,1.03424952236e+11,13883686846.1,2.13176519403e+11,191955.984799,0.0,1013.0,8455919.5066,0.0,1.35419607194e+11,0.0,4522.10343194,4626772328.05,0.0,0.0,258146.467434,1827459.1198,1.2310503188e+13,1705407336.71,2.46220332744e+17,15834651.84,0.0,0.0
26,0.0,0.0,0.025860338541,1.61822522478e+11,53878509171.5,105204.751339,156899.957468,0.0,298.0,1.07444895516e+11,13946483403.9,2.13170303737e+11,298600.100549,0.0,1013.0,14671585.4011,0.0,1.35278099315e+11,0.0,4844.58424258,7153834377.02,0.0,0.0,459695.554438,3374406.87759,1.23101257692e+13,2924070908.45,2.46220332744e+17,15836451.84,0.0,0.0
27,0.0,0.0,0.0374874599309,1.62700352165e+11,47125569735.1,93280.452186,121641.018345,0.0,298.0,1.0861328891e+11,14043522236.4,2.13159411461e+11,433850.373912,0.0,1013.0,25563861.0528,0.0,1.35030468799e+11,0.0,4969.00886607,11023698704.4,0.0,0.0,763204.486758,5664197.18747,1.23094643853e+13,4541660982.82,2.46220332744e+17,15838251.84,0.0,0.0
28,0.0,0.0,0.0500846354441,1.6098040244e+11,41052844871.4,85617.3184556,97215.6111335,0.0,298.0,1.07311086028e+11,14190419360.1,2.13142003677e+11,586174.213687,0.0,1013.0,42971644.7579,0.0,1.34635626024e+11,0.0,4913.75226475,16404282516.9,0.0,0.0,1183126.85629,8693729.57207,1.23084073805e+13,6389011982.79,2.46220332744e+17,15840051.84,0.0,0.0
29,0.0,0.0,0.0624811024259,1.57133052708e+11,35524196815.5,83091.1446669,81579.9781574,0.0,298.0,1.03965745983e+11,14403354544.9,2.13116414671e+11,739950.35102,0.0,1013.0,68560650.8559,0.0,1.34057253851e+11,0.0,4713.2255935,23225725138.8,0.0,0.0,1725385.53712,12329671.0708,1.23068536179e+13,8228502298.37,2.46220332744e+17,15841851.84,0.0,0.0
30,0.0,0.0,0.0736110695888,1.51780346623e+11,30553348380.0,87096.4343697,73476.8467366,0.0,298.0,99073955923.8,14696461683.6,2.13081428553e+11,880715.38122,0.0,1013.0,103546768.822,0.0,1.33270391834e+11,0.0,4413.54901044,31188820151.1,0.0,0.0,2386852.74583,16340441.3669,1.23047292789e+13,9834810077.62,2.46220332744e+17,15843651.84,0.0,0.0
31,0.0,0.0,0.0826275747927,1.45621194071e+11,26210287327.5,98892.7421212,71503.8149482,0.0,298.0,93157361010.7,15079760629.9,2.13036486168e+11,998811.723555,0.0,1013.0,148489154.044,0.0,1.32266192169e+11,0.0,4062.88886428,39849513720.7,0.0,0.0,3155134.99057,20438521.6565,1.23020004269e+13,11050347580.8,2.46220332744e+17,15845451.84,0.0,0.0
32,0.0,0.0,0.0894053317024,1.39332768997e+11,22509437035.9,119217.762478,73986.9305424,0.0,298.0,86704352568.1,15558261227.8,2.12981665812e+11,1093244.02181,0.0,1013.0,203309510.011,0.0,1.31051232897e+11,0.0,3703.19805362,48747349342.7,0.0,0.0,4020727.43249,24410545.1104,1.22986718355e+13,11827750371.5,2.46220332744e+17,15847251.84,0.0,0.0
33,0.0,0.0,0.093957474778,1.33434945652e+11,19424576259.8,148283.670301,79386.6140532,0.0,298.0,80079946417.6,16132405725.1,2.1291746734e+11,1167534.49972,0.0,1013.0,267507982.009,0.0,1.29642218975e+11,0.0,3362.23084575,57506663699.4,0.0,0.0,4976171.44259,28106558.8418,1.22947738782e+13,12203444288.2,2.46220332744e+17,15849051.84,0.0,0.0
34,0.0,0.0,0.0963457756261,1.28275386489e+11,16901094087.6,185661.094584,86474.5632248,0.0,298.0,73544753307.4,16799163267.3,2.12844740482e+11,1226423.68169,0.0,1013.0,340234840.225,0.0,1.28063814409e+11,0.0,3054.50056782,65860687302.4,0.0,0.0,6008145.54438,31394023.0509,1.22903581735e+13,12241227983.0,2.46220332744e+17,15850851.84,0.0,0.0
35,0.0,0.0,0.096743987762,1.24042032845e+11,14867161310.0,230371.029214,94388.4057394,0.0,298.0,67267365074.4,17553184178.7,2.12764622675e+11,1274668.23014,0.0,1013.0,420352647.155,0.0,1.263466271e+11,0.0,2785.23289402,73644685500.8,0.0,0.0,7099302.88992,34172072.6334,1.22854938077e+13,12014421101.7,2.46220332744e+17,15852651.84,0.0,0.0
36,0.0,0.0,0.0953466973442,1.20799420995e+11,13242055342.9,280944.902027,102538.358181,0.0,298.0,61349827933.9,18387800221.9,2.1267845753e+11,1315756.05932,0.0,1013.0,506517791.722,0.0,1.24524808289e+11,0.0,2553.81580892,80774891644.6,0.0,0.0,8227814.21189,36367590.0777,1.2280262382e+13,11592134060.6,2.46220332744e+17,15854451.84,0.0,0.0
37,0.0,0.0,0.0923037573658,1.18522316853e+11,11950679811.6,335351.16771,110476.792168,0.0,298.0,55847284786.9,19295754028.6,2.12587744414e+11,1351133.0725,0.0,1013.0,597230907.569,0.0,1.22634428357e+11,0.0,2356.27744026,87221755268.6,0.0,0.0,9362013.92225,37912824.3384,1.2274754949e+13,11031129648.0,2.46220332744e+17,15856251.84,0.0,0.0
38,0.0,0.0,0.0877084948218,1.17123621629e+11,10932485789.3,390692.628339,117757.245911,0.0,298.0,50788312603.6,20269643750.0,2.124941867e+11,1379792.13835,0.0,1013.0,690788622.49,0.0,1.20714000663e+11,0.0,2187.320909,92984568886.9,0.0,0.0,10451080.0602,38719827.563,1.22690749396e+13,10371493952.6,2.46220332744e+17,15858051.84,0.0,0.0
