0,C918NO3
1,C134CO
2,NBUTACET
3,C124O2
4,PROL1MPAN
5,BCCOOH
6,IPRHOCO2H
7,TM124NO2O
8,C3EODBCO2H
9,DMEBPOXMUC
10,DNMXYOLOOH
11,C4ME2OHNO3
12,C920CO3
13,MIPKAO
14,BUT2OLAO
15,C823CO
16,M3BU2OLOOH
17,METLBIPRO2
18,PXYCATECH
19,M3HEXBNO3
20,C124OH
21,PRCOOMCHO
22,PTLQONE
23,TM123MUCO
24,C137CO
27,MBOAOOH
28,C4M2NO33O
29,EPXDLCO2H
30,BOXCOCOMO
31,ME3BU2OLO
32,CLOHCO3H
33,BOXCOCOME
34,MALDIAL
35,C6PAN21
36,DEMPHOLOOH
37,C6PAN23
38,C6PAN22
39,HO13C5O2
40,EBZMUCOOH
41,NMETOL1O2
42,DMKOHOOH
43,C9M2CO6O2
44,IPBZBPR2OH
45,MPRK
46,NOA
47,BIACETOOH
48,HEPTOH
49,C6CO4MEDB
50,ACBUONEAO
51,PEBQONE
52,C42OH
54,C63NO3
55,TBOCOCH2O
56,NPETOLO2
57,NPTLQO
58,C514OH
59,C620O2
60,ACETC2CO2H
61,C917NO3
62,METHACETO2
63,C44O
64,C620OH
65,C711O2
66,CNO3OCL
67,NEBNZOLOOH
68,C514O2
69,NPETOLOH
70,C731OOH
71,IC3H7O
72,HO2C54O
73,C42O2
74,NC524OOH
75,C51NO324CO
76,C62NO335CO
77,C1011O
78,C925OOH
79,H14CO23C4
80,C624CO
81,T124CAT1O2
82,CO24M3C5
83,H3C2C4CO2H
84,CO2C4CHO
85,MIBKBOOH
86,NPETLQO2
87,HC4CO3
88,C6H5OOH
89,C3MDIALO
90,HEPTO2
91,PXYMUCNO3
92,H13C43CO3
93,CHOC4PAN
94,C624NO3
95,CO25C74OOH
96,C514O
97,C1010OOH
98,DIIPRETOH
99,ME2BUOLO
100,C4MCODBCO2
101,C4MCODBCO3
102,C46PAN
103,TMB2FUOOH
104,MIBKHO4O
105,CL2OHCH2O
106,H3C25CCO3H
107,ETBEAOH
108,C126NO3
109,ETBEAO2
110,HM22C4O
111,C823OOH
112,C616O2
113,C88OOH
114,C1013CO2H
115,DIIPRETO2
116,M2BKAOOH
117,MMALANHY
118,C312COCO3H
119,MEK2OO
120,C7EDCOOH
121,NMXYQO2
122,PXYL1O2
123,C827OOH
124,NDNPBZLOOH
125,CO23C5
126,CO23C6
127,TOL1O
128,CH3SOO2
129,IPROPOLPER
130,NDNPETLOOH
131,C61O
132,C3NO3COOOH
133,C1312O
134,PROL1MCO3
135,CH3CHOHCHO
136,C78O
137,MNO3COC4O
138,BZEMUCCO3H
139,MACRNB
140,COHM2CO3H
141,TL4OHNO2O2
142,PHIC3O
143,OTNCATECO
144,OTNCATECH
145,DM124O
146,PTCATEC1O
147,DMMBO2
148,MTBKNO3
149,NISOPNO3
150,HNC524CO
151,C720O
152,C139NO3
153,H3M3C5CHO
154,C5ONO34OOH
155,IPECO
156,IPROACET
157,HODMSO2
158,NMXYOL1O2
159,METLOBPROH
160,DMMBOH
161,NPHENOOH
162,SBUACONEO
163,HO1C3O2
164,C57NO3
165,C1313NO3
166,HEXBOH
167,M3HEXAO2
168,ETOHOCHO
169,C51CO2H
170,C117NO3
171,C112O
172,BCALBCO
173,IPBZMUCOH
174,C9M2CO6OH
175,H3M3C5NO3
176,C152OOH
177,CO235C6CHO
178,NPHENO
179,C3PAN2
180,C3PAN1
181,IPBZMUCO2
182,NBUTOLBO
183,HO13C3CO3H
184,PE1ENEBO2
185,C82OOH
186,HEXBO2
187,M3HEXAOH
188,C716OOH
189,HMVKBO
190,C83COOHOOH
191,CH3NO3
192,EPXMC4DIAL
193,MTBEBOH
194,HMVKANO3
195,CO2OH3MPAN
196,NC4IPDCO2
197,HOACETETO2
198,C151OH
199,C151O2
200,ISOPCO2
201,NC4OHCO3
202,C629OOH
203,BPINBO2
204,MIBKCOOHO2
205,H2M2C4CO2H
206,C134O
207,C817CO3
208,MTBEBO2
209,C917O
210,ACPRONEOH
211,DMC
212,C920CO3H
213,LIMCOH
214,IPRBQONE
215,MO2EOLB2OH
216,C7M3CO
217,DMM
218,DMS
219,C6PAN20
220,C71O2
221,PXYFUOOH
222,C735OOA
223,MO2EOLBO
224,C735OOH
225,ACPRONEO2
226,CATEC1O
227,LIMCO2
228,C8M2CO6OH
