HOIPRCO3,OCC(C)C(=O)O[O]
MIPKAOOH,OOC(C)(C)C(=O)C
MIPKAOH,CC(=O)C(C)(C)O
MIPKBOOH,CC(COO)C(=O)C
MIPKBOH,CC(CO)C(=O)C
C53OOH,OOCC(=O)C(C)CO
C53OH,OCC(=O)C(C)CO
HOIPRGLYOX,CC(CO)C(=O)C=O
C4PAN4,OCC(C)C(=O)OON(=O)=O
HOIPRCO3H,OCC(C)C(=O)OO
HOIPRCO2H,OCC(C)C(=O)O
C41CO3,CC(C(=O)O[O])C(=O)C
C41CO3H,CC(C(=O)OO)C(=O)C
C41CO2H,CC(C(=O)C)C(=O)O
C5PAN7,O=N(=O)OOC(=O)C(C)C(=O)C
IPECO2,CCC(C)(C)O[O]
IPECO,CCC(C)(C)[O]
IPECNO3,CCC(C)(C)ON(=O)=O
IPECOOH,CCC(C)(C)OO
IPECOH,CCC(C)(C)O
NC6H14,CCCCCC
HEXAO2,CCCCCCO[O]
HEXAO,CCCCCC[O]
HEXANO3,CCCCCCON(=O)=O
HO1C6O2,OCCCC(CC)O[O]
HO1C6O,OCCCC([O])CC
HO1C6NO3,OCCCC(CC)ON(=O)=O
HO3C5CHO,CCC(O)CCC=O
HEXAOOH,CCCCCCOO
HEXAOH,CCCCCCO
C5H11CHO,CCCCCC=O
HO1C6OOH,OCCCC(CC)OO
HO14C6,OCCCC(O)CC
HO1CO4C6,OCCCC(=O)CC
C5H11CO3,CCCCCC(=O)O[O]
PHXN,CCCCCC(=O)OON(=O)=O
C5H11CO3H,CCCCCC(=O)OO
HO3C5CO3,CCC(O)CCC(=O)O[O]
HO3C5O2,CCC(O)CCO[O]
HO3C5O,[O]CCC(O)CC
HO3C5NO3,CCC(O)CCON(=O)=O
HO13C5O2,OCCC(O)C(C)O[O]
HO13C5O,OCCC(O)C(C)[O]
HO13C5NO3,OCCC(O)C(C)ON(=O)=O
C6PAN1,CCC(O)CCC(=O)OON(=O)=O
