0,1.9042716909387507e-10
1,1.7391168850383322e-10
2,1.5853460265223571e-10
3,1.7166992655735904e-10
4,1.9149550877149171e-10
5,2.1168888005496803e-10
6,2.450350890087748e-10
7,2.6200652625539784e-10
8,2.4760085561157546e-10
9,2.229677448481674e-10
10,2.137578395180685e-10
11,1.9985833165775367e-10
12,1.8692383226033543e-10
13,1.7867808178104722e-10
14,1.6851744882012931e-10
15,1.6921799942840258e-10
16,1.6196730063277453e-10
17,1.636661358578371e-10
18,1.74156881216729e-10
19,1.9867615250629252e-10
20,2.2224279472084538e-10
21,2.361380962837043e-10
22,2.2084857925814087e-10
23,1.9646941809023184e-10
