0,2.318007827777779e-07
1,2.1906975851173375e-07
2,2.1330550605004787e-07
3,2.1777469977091327e-07
4,2.2215371995090998e-07
5,2.3306179051604413e-07
6,2.535166384171455e-07
7,2.5878090248682947e-07
8,2.4746396216337105e-07
9,2.3965931515393513e-07
10,2.256708953217594e-07
11,2.1457111755555551e-07
12,2.0721463952546296e-07
13,1.9921143671643528e-07
14,1.969806150740741e-07
15,1.962459360462963e-07
16,2.0311195995717604e-07
17,2.1240565498958342e-07
18,2.2220963574768517e-07
19,2.414874088310185e-07
20,2.51271994157484e-07
21,2.6220139404629626e-07
22,2.5816658880324055e-07
23,2.424779540966387e-07
