0,2.0682184620334616e-08
1,2.0488729784427285e-08
2,1.9764284065315315e-08
3,1.7681437234395115e-08
4,1.4510181236003865e-08
5,1.3123377384652501e-08
6,1.3532800963642213e-08
7,1.636948041452167e-08
8,2.1424825851297724e-08
9,2.5945947639961402e-08
10,3.033581550568425e-08
11,3.449698879558129e-08
12,3.855316512494637e-08
13,4.146618041023167e-08
14,4.2835701166344884e-08
15,4.3340579863792386e-08
16,4.244888418597168e-08
17,3.988267255469756e-08
18,3.5552277075289554e-08
19,3.0952375286357794e-08
20,2.7698142820447372e-08
21,2.3830487668918927e-08
22,2.2374352580437584e-08
23,2.1545451542779272e-08
