name,PAN,Carb. Acid,Ester,Ether,Per. Acid,Hydroperoxide,Nitrate,Aldehyde,Ketone,Alcohol,Criegee,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,Aromatic rings,Carbons,HydroCarbon,Atoms,nogroups
NEBNZOLOOH,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,0,17,0
C514O2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,9,0
NPETOLOH,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,17,0
C731OOH,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,11,0
IC3H7O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0
HO2C54O,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,7,0
C42O2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,4,0,12,0
NC524OOH,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,5,0,14,0
C51NO324CO,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,5,0,11,0
C62NO335CO,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,6,0,12,0
C1011O,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,12,0
C925OOH,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,9,0,15,0
H14CO23C4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,8,0
C624CO,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,8,0
T124CAT1O2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,9,0,12,0
CO24M3C5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,8,0
H3C2C4CO2H,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,9,0
CO2C4CHO,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,7,0
MIBKBOOH,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,9,0
NPETLQO2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,9,0,17,0
HC4CO3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,9,0
C6H5OOH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,8,0
C3MDIALO,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,7,0
HEPTO2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,9,0
PXYMUCNO3,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,8,0,16,0
H13C43CO3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,0,10,0
CHOC4PAN,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,13,0
C624NO3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,11,0
CO25C74OOH,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,0,11,0
C514O,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5,0,8,0
C1010OOH,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,14,0
DIIPRETOH,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,6,0,8,0
ME2BUOLO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,7,0
C4MCODBCO2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,9,0
C4MCODBCO3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,10,0
C46PAN,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,12,0
TMB2FUOOH,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,0,12,0
MIBKHO4O,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,9,0
CL2OHCH2O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,0
H3C25CCO3H,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,7,0,13,0
ETBEAOH,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,8,0
C126NO3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,12,0,17,0
ETBEAO2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,9,0
HM22C4O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,8,0
C823OOH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,12,0
C616O2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,6,0,11,0
