Description: Optional,Do not write time more than once. ,,
,,,
Index,Species,Constrain,Edw14
 191,PEAO,0,1.58E-23
 192,EMALANHYO,0,8.86E-30
 193,PMALANHYO,0,6.73E-31
 194,M3PEAO,0,1.75E-23
 195,HEX3ONDO,0,1.68E-26
 196,HEXBO,0,5.23E-23
 197,HEPTO,0,5.52E-23
 198,DIEKBO,0,5.27E-26
 199,CO2C54O,0,3.88E-23
 200,HEX2ONAO,0,1.03E-24
 201,MMALANHYO,0,6.08E-26
 202,CO1C6O,0,1.21E-23
 203,DMMALYO,0,4.90E-28
 204,IPMALANHYO,0,5.92E-31
 205,M22C4O,0,1.08E-24
 206,PBZBPER2OH,0,1.79E-17
 207,PBZQOH,0,1.15E-18
 208,M2BKAOH,0,3.24E-16
 209,C2OHOCO2H,0,2.11E-21
 210,OXYLOH,0,1.54E-16
 211,TM123BCO2H,0,8.76E-17
 212,HEXBOH,0,3.43E-15
 213,C51CO2H,0,2.29E-15
 214,BZFUOH,0,1.70E-15
 215,HOC2H4CO2H,0,1.52E-14
 216,BUT2CO2H,0,6.63E-15
 217,NIPBFUONE,0,2.09E-14
 218,MALANHY2OH,0,9.29E-17
 219,C23O3ECO2H,0,5.75E-15
 220,PEAOH,0,5.37E-15
 221,HOC3H6CO2H,0,5.52E-15
 222,M33C3CO2H,0,2.03E-16
 223,C7ADCOH,0,4.49E-20
 224,DM124OHNO2,0,2.18E-13
 225,OETLQOH,0,2.11E-19
 226,HO3C5CO2H,0,3.90E-15
 227,PEBQOH,0,1.25E-18
 228,TM123BP2OH,0,2.06E-16
 229,C6H5C2CO2H,0,1.48E-16
 230,C6H5C2OH,0,9.34E-17
 231,CYHXDIOLA,0,2.87E-19
 232,HO14M3C5,0,1.23E-14
 233,C68OH,0,6.74E-17
 234,HO13C5,0,4.63E-16
 235,C23O3CCO2H,0,2.77E-15
 236,MXYBPER2OH,0,2.13E-15
 237,IPRBQOH,0,8.32E-20
 238,HM33C3CO2H,0,1.88E-16
 239,PENTACID,0,4.74E-17
 240,TBUTOL,0,3.78E-16
 241,PEBOH,0,6.80E-15
 242,OXYQOH,0,1.03E-17
 243,NEOPOH,0,1.76E-16
 244,M33C4OH,0,2.32E-16
 245,CHOC2CO2H,0,7.07E-15
 246,EBFUOH,0,1.28E-16
 247,DMPHOHNO2,0,2.67E-13
 248,DMEBMUOH,0,3.06E-17
 249,C523OH,0,2.75E-20
 250,PTLQOH,0,2.18E-17
 251,PTLQCO,0,2.54E-15
 252,PEBQCO,0,1.55E-16
 253,PPRBQOH,0,9.42E-20
 254,PPRBQCO,0,1.20E-17
 255,PPRBQOOH,0,1.37E-17
 256,HEXAOH,0,2.68E-15
 257,IBUTACID,0,2.22E-14
 258,HM22C3CO2H,0,1.46E-16
 259,HO2C3CO2H,0,2.04E-15
 260,NBZFUONE,0,1.27E-12
 261,MXYLOH,0,8.51E-16
 262,BUT2OLOH,0,2.99E-16
 263,M22C4OH,0,7.71E-17
 264,C23O3MOH,0,1.02E-15
 265,MEK2OOC,0,9.01E-25
 266,HM22CO2H,0,5.08E-17
 267,NEBFUONE,0,5.85E-13
 268,HM22C3OH,0,1.62E-17
 269,HO13C4OH,0,1.05E-15
 270,IPRBQCO,0,1.07E-17
 271,M3PEAOH,0,5.66E-15
 272,C7DDCOH,0,7.82E-18
 273,BZBIPER2OH,0,2.99E-16
 274,IPBFUOH,0,4.82E-18
 275,PHCOETOH,0,4.05E-19
 276,TLBIPER2OH,0,4.39E-15
 277,HOEMPHNO2,0,6.95E-14
 278,CO2M33CO2H,0,1.70E-17
 279,OETLQCO,0,2.90E-17
 280,HOC4H8OH,0,6.36E-15
 281,IPBZBPR2OH,0,1.58E-17
 282,HEXCOH,0,4.13E-15
 283,HCOOH,0,1.45E-11
 284,MXYLCO2H,0,1.07E-15
 285,C6OTKETOH,0,2.57E-17
 286,PHCOMEOH,0,7.53E-19
 287,HO2C43CO2H,0,3.13E-15
 288,TM123BOH,0,7.51E-17
 289,OXYQCO,0,1.32E-15
 290,OXYQOOH,0,1.37E-15
 291,CO1H63OH,0,1.83E-15
 292,C56OH,0,5.91E-16
 293,HOC3H6OH,0,1.17E-15
 294,HOBUT2CO2H,0,6.22E-15
 295,BUTDAOH,0,1.04E-25
 296,TMBCO2H,0,3.23E-16
 297,EBZBPER2OH,0,2.46E-16
 298,TMBOH,0,9.50E-17
 299,DE35TOH,0,3.59E-17
 300,HO25C7,0,3.13E-15
 301,HO25C6,0,2.45E-15
 302,ETOLOH,0,1.24E-17
 303,DETLMUOH,0,1.62E-17
 304,NPBFUONE,0,2.48E-14
 305,H2M3C4CO2H,0,9.15E-15
 306,HOIPRCO2H,0,2.56E-15
 307,CO2C4DIAL,0,1.62E-15
 308,OETLQOOH,0,3.03E-17
 309,OXYLCO2H,0,2.41E-16
 310,PHC3OH,0,1.37E-18
 311,M22C43OH,0,9.81E-17
 312,TM124BOH,0,2.16E-16
 313,NC4PDCO2,0,2.89E-28
 314,OCCOHCOH,0,7.21E-18
 315,PBFUOH,0,5.72E-18
 316,TM135MUOH,0,3.19E-18
 317,PBZQCO,0,1.22E-16
 318,PBZQOOH,0,1.44E-16
 319,HOCH2COCO2H,0,3.95E-25
 320,C54OH,0,2.51E-22
 321,HO134C5,0,2.54E-16
 322,C23O3MCO2H,0,4.83E-15
 323,CO1C6OH,0,1.11E-14
 324,HO2C4CO2H,0,1.17E-14
 325,TM124BCO2H,0,2.55E-16
 326,M3PEBOH,0,7.20E-15
 327,DM35EBOH,0,6.34E-17
 328,H2,0,5.50E-07
 329,C6H5CH2OH,0,4.25E-15
 330,C23O3EOH,0,1.11E-15
 331,PTLQOOH,0,2.87E-15
 332,PEBQOOH,0,1.73E-16
 333,TM135BP2OH,0,5.87E-16
 334,CO2C4CO2H,0,2.39E-15
 335,CH2CLCH2OH,0,1.38E-16
 336,CLETO2H,0,4.12E-16
 337,CH2CLOH,0,1.20E-16
 338,ETHGLY,0,3.48E-14
 339,HEPTOH,0,4.79E-15
 340,NSTYRENOOH,0,0.00E+00
 341,IPBZMUCOH,0,7.49E-19
 342,C54O,0,7.68E-32
 343,NPPRBQO,0,2.30E-26
 344,PCATECOOA,0,8.44E-31
 345,MXCATECOOA,0,3.10E-29
 346,C6COCHOO,0,5.55E-25
 347,C6CO3MOH,0,1.03E-18
 348,C73O,0,1.88E-29
 349,C52OH,0,3.02E-15
 350,NMEBFUO,0,1.13E-22
 351,NBUTDAO,0,4.05E-32
 352,NBZQO,0,3.68E-25
 353,TM124MUCOH,0,7.00E-17
 354,NMETLQO,0,2.73E-25
 355,MPRKAO,0,1.82E-25
 356,CO25C74O,0,1.20E-25
 357,ECATECOOA,0,1.16E-29
 358,C3EDIALOH,0,3.87E-18
 359,BZFUONOOA,0,2.87E-24
 360,MTBKOH,0,1.02E-17
 361,HEX3ONBO,0,1.08E-25
 362,HOCO3C54O,0,2.43E-25
 363,MECOACETO,0,3.82E-24
 364,CHOC3COO,0,9.65E-27
 365,C23O3EO,0,1.16E-23
 366,NTMB2FUO,0,6.79E-25
 367,C61OH,0,6.46E-16
 368,C9M2CO6O,0,6.59E-28
 369,C63OH,0,4.83E-16
 370,MCOCOMOXO,0,8.74E-24
 371,C610OH,0,7.84E-16
 372,HNMVKO,0,3.64E-36
 373,C71O,0,6.37E-26
 374,TLEMUCOH,0,7.42E-17
 375,NOETLQO,0,4.49E-26
 376,CYHEXOL,0,2.04E-14
 377,NOXYFUO,0,2.01E-24
 378,A2PANO,0,1.28E-32
 379,CO24C6O,0,3.91E-28
 380,PHCOOH,0,2.49E-15
 381,CATECOOA,0,1.10E-27
 382,PBFUO,0,3.49E-27
 383,C7DCOH,0,2.49E-19
 384,C8M2CO6O,0,1.23E-27
 385,DEMPHSMS1O,0,2.26E-13
 386,C612OH,0,5.51E-18
 387,C69OH,0,7.19E-16
 388,MCATECOOA,0,1.58E-28
 389,C5124COO,0,1.12E-27
 390,CO25C6O,0,1.45E-25
 391,CO24C53O,0,9.57E-27
 392,DMEOBPROH,0,2.33E-15
 393,C72OH,0,9.11E-16
 394,CO3C4NO3O,0,5.17E-33
 395,CHOC2H4O,0,6.40E-25
 396,MEKBO,0,9.36E-25
 397,MVKOHBO,0,9.97E-37
 398,IC7DCOH,0,1.94E-19
 399,NMXYFUO,0,1.05E-22
 400,CH2OOD,0,4.30E-33
 401,MTCATECOOA,0,1.37E-30
 402,C6OTKETO,0,3.62E-25
 403,DMEPH1O,0,4.32E-13
 404,EBZMUCOH,0,1.17E-17
 405,CH2OOA,0,6.45E-22
 406,C53O,0,1.05E-25
 407,BUTACID,0,1.15E-13
 408,H1CO23CHO,0,8.51E-30
 409,DIEKAO,0,2.46E-25
 410,IPCATECOOA,0,7.46E-31
 411,TM135O,0,1.16E-13
 412,C6CO3OH5O,0,3.87E-25
 413,CO2HO3C6,0,4.01E-18
 414,C23O3MO,0,1.08E-23
 415,C5MCO2OHO,0,5.35E-26
 416,NTLFUO,0,7.31E-23
 417,CYC6DIONE,0,3.53E-18
 418,IPBFUO,0,2.94E-27
 419,EMPHCOMO,0,7.77E-27
 420,OTCATECOOA,0,2.85E-31
 421,NTM124QO,0,2.15E-25
 422,C726CO5O,0,7.90E-27
 423,OXCATECOOA,0,6.94E-30
 424,C5COCHOO,0,8.96E-26
 425,PBZMUCOH,0,3.00E-19
 426,C5NO3COAO,0,5.86E-27
 427,METLMUCOH,0,3.08E-16
 428,NIPRBQO,0,2.02E-26
 429,NTMB1FUO,0,1.84E-25
 430,NPXYFUO,0,8.53E-23
 431,C6135COO,0,6.56E-27
 432,C6HO1CO3O,0,7.65E-26
 433,CO24C63O,0,3.60E-27
 434,PROPACID,0,1.25E-13
 435,NMXYQO,0,4.14E-24
 436,NPTLQO,0,5.46E-24
 437,MC6CO2O,0,2.78E-27
 438,C7M2CO5O,0,1.53E-28
 439,CO2HOC61O,0,1.88E-26
 440,BUT2OL,0,1.62E-14
 441,OXYMUCOH,0,1.32E-16
 442,BZFUO,0,1.25E-24
 443,HEX2ONCO,0,4.03E-27
 444,TLFUONOOA,0,7.54E-24
 445,PHCOMEO,0,3.93E-28
 446,C3NO3COO,0,1.73E-39
 447,MALDIALO,0,1.73E-26
 448,MXYMUCOH,0,4.98E-16
 449,C5OH2CO4O,0,2.15E-27
 450,PHCOETO,0,3.28E-28
 451,BZEMUCOH,0,7.94E-18
 452,CYHEXOLAO,0,3.31E-28
 453,EBFUO,0,7.73E-26
 454,OETLMUCOH,0,8.95E-18
 455,DETLOBPROH,0,1.23E-15
 456,DMPHCOMO,0,1.54E-26
 457,IPECOH,0,3.92E-16
 458,T124CTCOOA,0,5.83E-31
 459,NOXYQO,0,3.13E-25
 460,T123CTCOOA,0,5.69E-31
 461,TM123MUCOH,0,6.71E-17
 462,HEX3ONCO,0,8.38E-26
 463,CH3CO2H,0,2.94E-12
 464,CO24M3CHO,0,3.47E-15
 465,CO25C73O,0,1.20E-25
 466,NPEBQO,0,3.07E-25
 467,CH2CLCH2O,0,6.81E-27
 468,CH2CLO,0,4.62E-26
 469,MPHCOMEO,0,2.85E-27
 470,BUT2OLAO,0,5.51E-27
 471,HO1CO3C4O,0,2.60E-25
 472,M33C3CO3H,0,2.65E-16
 473,CHOC3COOOH,0,2.19E-15
 474,CHOC4CO3H,0,1.55E-15
 475,CO2C3CO3H,0,4.74E-14
 476,HO2C6OOH,0,1.14E-12
 477,TLEMUCCO3H,0,3.59E-16
 478,OXYFUOOH,0,5.94E-15
 479,EPXDLCO2H,0,1.81E-15
 480,MTCTEC1OOH,0,8.94E-15
 481,NBUTOLAOH,0,8.58E-17
 482,PBZMUCOOH,0,4.83E-17
 483,TC4H9OOH,0,4.04E-12
 484,OTNCATCOOH,0,1.75E-16
 485,PNCATECOOH,0,1.03E-16
 486,METLBPROOH,0,3.42E-14
 487,PGLYOXOH,0,6.28E-16
 488,CHOC4OOH,0,8.67E-15
 489,C6H5C2CO3H,0,1.94E-16
 490,HOC2H4CO3H,0,2.00E-14
 491,ECATEC1OOH,0,1.69E-14
 492,M2BUOL2OH,0,7.37E-21
 493,IPNCATCOOH,0,9.02E-17
 494,PECOOH,0,1.75E-12
 495,TM123OLOOH,0,8.28E-16
 496,TBUTCO3H,0,1.16E-18
 497,C7CO3OHOOH,0,8.80E-18
 498,NMXYOL1OOH,0,4.74E-14
 499,C6CO134OOH,0,1.76E-19
 500,C23O3CCO3H,0,3.64E-15
 501,HO2M2C4OH,0,2.78E-19
 502,MVKOHANO3,0,3.13E-26
 503,C23O3ECO3H,0,7.60E-15
 504,C6TONOHOOH,0,1.94E-21
 505,CH3CO3H,0,8.67E-13
 506,C6CYTONOOH,0,5.05E-15
 507,C56NO3,0,4.22E-14
 508,C3DIOLOOH,0,6.82E-15
 509,IPBZMUCO3H,0,2.75E-18
 510,DETLMUOOH,0,1.91E-14
 511,EPXMDLCO3H,0,4.99E-15
 512,C6H5CO3H,0,3.25E-15
 513,OXNCATCOOH,0,3.19E-15
 514,DNOETOLOOH,0,6.46E-21
 515,IPNNCATOOH,0,3.43E-15
 516,HO12C5,0,1.83E-16
 517,MC6OTKTOOH,0,9.77E-16
 518,NNCATECOOH,0,1.91E-13
 519,CHOC2CO3H,0,8.89E-15
 520,MXNNCATOOH,0,4.60E-13
 521,NDNPHENOOH,0,3.24E-18
 522,EBENZOLOOH,0,1.02E-14
 523,CRESOOH,0,1.85E-13
 524,NDNCRESOOH,0,6.21E-17
 525,NDMMALYOOH,0,1.23E-15
 526,TM124OOH,0,1.60E-14
 527,HO3C76OOH,0,1.55E-12
 528,TLFUOOH,0,3.87E-13
 529,TLBIPEROOH,0,7.58E-13
 530,HO3C5CO3H,0,5.11E-15
 531,EBZBPEROOH,0,4.45E-14
 532,CO3C5CO3H,0,2.83E-15
 533,DMEBMUOOH,0,3.53E-14
 534,NT124L1OOH,0,1.24E-15
 535,EMPONO2OOH,0,1.22E-17
 536,TM123BPOOH,0,3.78E-14
 537,TM124OLOOH,0,3.48E-15
 538,EBZMUCCO2H,0,3.15E-17
 539,DNPHENOOH,0,2.29E-19
 540,MXYQOOH,0,4.31E-15
 541,NBUTDAOOH,0,5.67E-24
 542,DNMETOLOOH,0,6.86E-20
 543,TMB2FUOOH,0,2.42E-15
 544,C7MO3OHOOH,0,6.41E-19
 545,HM22C3CO3H,0,1.91E-16
 546,DE35TOOH,0,1.94E-14
 547,NDNOXYLOOH,0,6.15E-18
 548,HO13C5OOH,0,3.42E-14
 549,DMEPHOLOOH,0,1.16E-14
 550,HO13C4NO3,0,4.81E-14
 551,C41NO3,0,1.42E-24
 552,C3COCCO3H,0,7.02E-18
 553,MMALNHYOOH,0,1.09E-14
 554,CO234C6OOH,0,5.70E-18
 555,BUT2OLNO3,0,1.84E-13
 556,T124CT1OOH,0,2.31E-15
 557,TLEMUCOOH,0,1.13E-14
 558,MXYOLOOH,0,1.18E-13
 559,DNOXYOLOOH,0,1.41E-19
 560,OCCOHCO,0,1.49E-27
 561,TM124MUOOH,0,8.67E-15
 562,HO2C3CO3H,0,7.11E-15
 563,BZEMUCOOH,0,8.78E-16
 564,MXYFUOOH,0,2.19E-13
 565,ETOLOOH,0,6.46E-15
 566,CO3C4CO2H,0,8.17E-15
 567,PHENOOH,0,5.44E-15
 568,PBZBPEROOH,0,3.36E-15
 569,EBZMUCCO3H,0,4.16E-17
 570,C6H5C2OOH,0,9.41E-15
 571,PBZMUCCO3H,0,8.85E-18
 572,HO2C5OH,0,1.52E-14
 573,OETOLOOH,0,6.93E-16
 574,TM135MUOOH,0,3.56E-15
 575,C7DDCOOH,0,6.89E-15
 576,NIPBFUOOH,0,2.39E-15
 577,METLMUCOOH,0,4.97E-15
 578,IPBZBPROOH,0,2.96E-15
 579,BZFUCO,0,2.91E-15
 580,HM22CO3H,0,6.69E-17
 581,NDNOETLOOH,0,2.80E-19
 582,PRPAL2CO3H,0,4.94E-16
 583,OXYMUCOOH,0,2.06E-15
 584,HO13M2C4,0,1.08E-15
 585,C6145COOOH,0,2.15E-21
 586,T123NNCOOH,0,8.17E-15
 587,NEBFUOOH,0,6.24E-14
 588,BUTDBOH,0,5.78E-25
 589,EBZMUCOOH,0,1.81E-15
 590,NT123L1OOH,0,4.25E-16
 591,IPBZMUCOOH,0,1.21E-16
 592,IPECOOH,0,4.87E-12
 593,T123CT1OOH,0,2.23E-15
 594,EMALNHYOOH,0,8.46E-19
 595,PBZMUCCO2H,0,6.67E-18
 596,HOIBUTCO3H,0,5.23E-17
 597,DNEBNZLOOH,0,4.16E-20
 598,C83COOHOOH,0,9.75E-19
 599,DETLBIPNO3,0,1.94E-12
 600,EPXMDLCO2H,0,3.77E-15
 601,C312COCO3H,0,8.15E-16
 602,EPXM2DLPAN,0,1.05E-12
 603,IC7DCOOH,0,2.65E-17
 604,CO2M33CO3H,0,2.23E-17
 605,NPBNZ1OOH,0,2.20E-16
 606,EPXKTMCO3H,0,1.71E-16
 607,MNNCATCOOH,0,8.08E-13
 608,PBFUCO,0,7.95E-17
 609,PRPAL2CO2H,0,3.72E-16
 610,C41OOH,0,6.86E-25
 611,CO23C54OOH,0,6.29E-18
 612,CO3C4CO3H,0,1.07E-14
 613,OETLMUCOOH,0,1.44E-16
 614,NCATECOOH,0,3.13E-15
 615,IPRHOCO2H,0,2.56E-21
 616,HM2C43OOH,0,2.73E-18
 617,IPBZMUCO2H,0,2.08E-18
 618,PRNO3CO2H,0,1.19E-19
 619,DETLMUO2H,0,1.37E-16
 620,IPGLYOXOH,0,4.35E-16
 621,TM123MUOOH,0,8.02E-15
 622,BU1ENO3OOH,0,2.46E-19
 623,C51CO3H,0,3.00E-15
 624,C6O4KETOOH,0,1.36E-20
 625,C4ME3HO23,0,5.88E-21
 626,PROL11MNO3,0,8.70E-20
 627,NDNPBZLOOH,0,1.81E-19
