Description: Optional,Do not write time more than once. ,,
,,,
Index,Species,Constrain,Edw14
 709,IPBENZOOH,0,3.82E-15
 710,DMMALYOOH,0,1.62E-16
 711,OXYMUCCO3H,0,3.86E-16
 712,HOCHOCOOH,0,4.96E-16
 713,C5CO234OOH,0,7.54E-19
 714,DNIPBZLOOH,0,2.90E-21
 715,TM135BPOOH,0,9.67E-14
 716,CYHXONAOOH,0,5.09E-13
 717,PHC3OOH,0,7.41E-16
 718,HCOCH2CO3H,0,5.42E-15
 719,MNCATECOOH,0,2.07E-14
 720,C610OOH,0,8.43E-14
 721,HOBUT2CO3H,0,8.14E-15
 722,CO3C75OOH,0,4.93E-15
 723,OXNNCATOOH,0,1.15E-13
 724,PNNCATCOOH,0,3.90E-15
 725,DMEBMUO2H,0,2.56E-16
 726,EPXMEDCO3H,0,3.66E-17
 727,H1MC5OOH,0,4.22E-13
 728,C6H5CH2OOH,0,1.06E-13
 729,OXYMUCCO2H,0,2.93E-16
 730,C7ADCOOH,0,3.90E-17
 731,EPXMEDLPAN,0,2.40E-14
 732,OETLMUCO3H,0,1.47E-17
 733,HCOCH2CO2H,0,4.10E-15
 734,NOXYOL1OOH,0,7.19E-15
 735,DEMPHOLOOH,0,6.29E-15
 736,MXYMUCCO2H,0,1.36E-15
 737,PMALNHYOOH,0,6.86E-20
 738,IPRBQOOH,0,1.19E-17
 739,IPBFUCO,0,6.69E-17
 740,C5CO23OOH,0,8.16E-19
 741,NDNT123OOH,0,3.70E-19
 742,C61OOH,0,7.29E-14
 743,C4NO3CO2H,0,3.33E-21
 744,NBUTDBOOH,0,5.61E-24
 745,IBUTOLOHB,0,8.63E-19
 746,STYRENOOH,0,0.00E+00
 747,EPXMKTCO3H,0,2.12E-15
 748,H2M2C3CO3H,0,1.52E-22
 749,TMBOOH,0,9.19E-15
 750,NPBFUOOH,0,2.81E-15
 751,OTNNCATOOH,0,6.11E-15
 752,MALANHYOOH,0,9.79E-15
 753,MXOHNO2OOH,0,4.68E-17
 754,BUTDCOOH,0,6.70E-24
 755,PXYFUOOH,0,1.43E-13
 756,MTNNCATOOH,0,3.18E-14
 757,CYHXOLANO3,0,1.98E-16
 758,T124NNCOOH,0,8.49E-15
 759,MXYMUCOOH,0,7.71E-14
 760,HOC3H6CO3H,0,7.24E-15
 761,MXY1OOH,0,5.59E-13
 762,M2BUOL2OOH,0,5.69E-18
 763,NPHEN1OOH,0,1.06E-14
 764,MCATEC1OOH,0,2.87E-13
 765,PHIC3OOH,0,6.54E-16
 766,EPXMKTCO2H,0,1.62E-15
 767,BZBIPEROOH,0,4.82E-14
 768,METLQOOH,0,2.96E-16
 769,C2OHOCOOH,0,2.95E-21
 770,CO3C5CO2H,0,2.15E-15
 771,C72OOH,0,1.04E-13
 772,NMETOL1OOH,0,3.37E-15
 773,OXYBPEROOH,0,9.98E-14
 774,NOETOL1OOH,0,3.28E-16
 775,PERPENACID,0,6.25E-17
 776,EPXMEDCO2H,0,2.77E-17
 777,TM124NOOH,0,3.81E-17
 778,OXYLCO3H,0,3.16E-16
 779,ENCATECOOH,0,1.29E-15
 780,TM124BOOH,0,2.18E-14
 781,IPMLNHYOOH,0,6.03E-20
 782,TM135MUO3H,0,3.43E-17
 783,PERIBUACID,0,2.86E-14
 784,ENNCATCOOH,0,4.96E-14
 785,CO2C4CO3H,0,3.13E-15
 786,METLMUCO3H,0,7.71E-17
 787,C5CO14OOH,0,5.05E-14
 788,EBENZOOH,0,5.62E-14
 789,CO1H63OOH,0,8.89E-13
 790,MXYLOOH,0,8.37E-14
 791,C54NO3,0,1.09E-20
 792,TM124BPOOH,0,1.07E-13
 793,C6CO34OOH,0,3.61E-19
 794,C69OOH,0,4.65E-14
 795,TLEMUCCO2H,0,2.72E-16
 796,MALNHYOHCO,0,5.00E-15
 797,C68OOH,0,6.46E-14
 798,PERBUACID,0,1.50E-14
 799,METOLOOH,0,7.94E-15
 800,DNPBNZLOOH,0,3.30E-21
 801,PE2ENEBNO3,0,1.94E-17
 802,TM135MUO2H,0,2.59E-17
 803,NDNMXYLOOH,0,4.02E-17
 804,TM123BCO3H,0,1.15E-16
 805,M2BKBOOH,0,1.06E-13
 806,BUT2CO3H,0,8.66E-15
 807,EPXDLCO3H,0,2.40E-15
 808,TMB1FUOOH,0,1.54E-14
 809,METLMUCO2H,0,5.84E-17
 810,IPCATC1OOH,0,1.16E-15
 811,HO14C6,0,8.11E-15
 812,MTNCATCOOH,0,9.27E-16
 813,DM35EBOOH,0,3.44E-14
 814,MEBFUOOH,0,2.64E-13
 815,T123NCTOOH,0,2.44E-16
 816,NDNT124OOH,0,1.08E-18
 817,OETLBPROOH,0,4.81E-15
 818,CO1C6OOH,0,1.03E-12
 819,TM124BCO3H,0,3.32E-16
 820,M3PECOOH,0,5.50E-12
 821,PRCATC1OOH,0,1.32E-15
 822,TM123BOOH,0,7.54E-15
 823,HO3C4CO3H,0,9.05E-16
 824,HM33C3CO3H,0,2.46E-16
 825,CLETO3H,0,4.99E-16
 826,DNCRESOOH,0,1.72E-18
 827,BUTDBOOH,0,3.01E-23
 828,MET1OOH,0,3.86E-14
 829,DNMXYOLOOH,0,9.08E-19
 830,VINOH,0,9.54E-18
 831,C51OOH,0,8.41E-14
 832,HONO,0,2.94E-12
 833,HO2NO2,0,9.01E-11
 834,NDNIPBLOOH,0,1.59E-19
 835,NCRESOH,0,1.52E-14
 836,CO25C73OH,0,1.14E-16
 837,HO3C6O,0,1.43E-24
 838,C612O,0,1.70E-27
 839,C826CO3OH,0,3.48E-16
 840,CO25C6OH,0,1.33E-16
 841,NOETOLOH,0,4.87E-17
 842,IBUTOLCO,0,4.80E-27
 843,HOHOC4DIAL,0,1.42E-17
 844,MEKCO,0,1.80E-25
 845,IPEBOH,0,4.26E-15
 846,C7BDCOH,0,8.46E-18
 847,NDMEPHOLOH,0,1.49E-15
 848,CO35C5CHO,0,1.85E-15
 849,HO2CO4C5,0,8.86E-16
 850,MC7CO2O,0,1.22E-28
 851,MC7CO2OH,0,8.49E-19
 852,C615CO2OH,0,2.30E-16
 853,NTM135OLOH,0,3.87E-16
 854,C726CO3OH,0,4.97E-16
 855,C7236CO,0,2.68E-14
 856,NOXYOLOH,0,1.06E-15
 857,PECOH,0,4.14E-15
 858,NC3H7O,0,8.61E-22
 859,C715CO2OH,0,2.09E-17
 860,HEX3ONDOH,0,2.84E-17
 861,C6CO3HO14,0,8.58E-17
 862,C3MDIALOH,0,6.54E-17
 863,C4M2AL2OH,0,2.43E-18
 864,PXYFUO,0,5.75E-25
 865,C69O,0,2.37E-25
 866,NEBNZOLOH,0,7.90E-16
 867,C52O,0,2.06E-24
 868,HM22C3O,0,1.87E-26
 869,TMB2FUO,0,6.14E-27
 870,HNMVKOH,0,1.31E-28
 871,HM22C4O,0,6.10E-26
 872,CH3O,0,4.02E-20
 873,C826CO3O,0,2.66E-26
 874,CO25C74OH,0,1.14E-16
 875,HO14CO2C4,0,1.06E-15
 876,C7M15CO2OH,0,5.94E-19
 877,C53OH,0,4.64E-16
 878,C611OH,0,3.75E-18
 879,MXYL1O,0,4.77E-20
 880,NTM123OLOH,0,6.06E-17
 881,IPEAOH,0,6.64E-15
 882,HO14CO2C5,0,1.70E-15
 883,HM33C4O,0,4.88E-26
 884,C41OH,0,7.54E-27
 885,HO2C5O,0,2.92E-24
 886,C815CO2OH,0,8.04E-19
 887,NMXYOLOH,0,5.78E-15
 888,C514CO23OH,0,1.59E-16
 889,MPHCOMEOH,0,3.67E-18
 890,C42OH,0,8.39E-29
 891,DMK2OH,0,1.74E-16
 892,C611O,0,2.11E-26
 893,GLYOOB,0,8.14E-26
 894,TMB1FUO,0,1.62E-27
 895,NTM124OLOH,0,1.77E-16
 896,C7M2CO5OH,0,2.76E-15
 897,C6CO3HO25,0,3.99E-16
 898,NPBNZOLOH,0,5.85E-17
 899,HO1C3O,0,3.89E-24
 900,CYHXONAOH,0,1.76E-15
 901,NMETOLOH,0,3.79E-16
 902,TLFUO,0,1.41E-24
 903,MC52CO2OH,0,1.61E-18
 904,HO2CO4C5O,0,7.07E-25
 905,NPROPOL,0,1.49E-14
 906,MXYFUO,0,7.85E-25
 907,M2BKBOH,0,1.10E-16
 908,NBUTOL,0,1.21E-14
 909,C5DIALOH,0,4.64E-17
 910,IBUTALBO,0,3.03E-24
 911,HEX3ONAOH,0,1.49E-16
 912,HEX3ONCOH,0,3.06E-17
 913,C4CHOBO,0,3.50E-26
 914,MC6OTKETO,0,1.23E-25
 915,C6CO3HO4,0,3.90E-17
 916,C6CO34,0,1.91E-15
 917,M2BKBO,0,5.09E-25
 918,IC4H9O,0,4.19E-22
 919,NIPBNZOLOH,0,5.14E-17
 920,CO2HO4C6,0,1.97E-17
 921,HO1C4O,0,4.43E-24
 922,H2MC5O,0,2.41E-24
 923,OXYFUO,0,1.68E-26
 924,NDEMPHOLOH,0,7.97E-16
 925,C8M2CO6OH,0,8.37E-15
 926,BIACETOH,0,1.28E-16
 927,C9M2CO6OH,0,4.51E-15
 928,DMPHCOMOH,0,2.06E-17
 929,EMPHCOMOH,0,1.01E-17
 930,NEOPO,0,1.45E-24
 931,MEBFUO,0,9.12E-25
 932,IBUTOL,0,1.14E-14
 933,IC3H7O,0,3.45E-21
 934,HO14CO3C5,0,4.19E-16
 935,IPBFUOOH,0,7.38E-16
 936,CH3COCH2O,0,4.30E-25
 937,C2H5OOH,0,6.37E-12
 938,M3PEAOOH,0,5.37E-13
 939,M3PEBOOH,0,3.32E-12
 940,C6H5CH2O,0,5.42E-23
 941,MXYLNO3,0,7.45E-13
 942,MXYLO,0,8.72E-23
 943,HO1C4NO3,0,7.58E-13
 944,C5COCHOOOH,0,1.12E-13
 945,EPXM2DCO2H,0,1.21E-15
 946,BUTALAOOH,0,1.62E-14
 947,C8CO2DCO3H,0,1.39E-20
 948,H1MC5O,0,3.70E-24
 949,TM124BNO3,0,2.62E-13
 950,TM124BO,0,3.66E-23
 951,CY6DIONOH,0,2.92E-16
 952,C52OH1OOH,0,2.72E-15
 953,H14CO23C4,0,1.01E-27
 954,HO3C4NO3,0,8.15E-15
 955,C4DBMECO3H,0,3.23E-20
 956,CH3COCO3H,0,2.97E-17
 957,PR1O2HNO3,0,2.51E-15
 958,DMPHGLYOX,0,5.10E-16
 959,HO3C5NO3,0,2.18E-13
 960,PHCOME,0,4.98E-14
 961,C4CHOBOOH,0,9.25E-17
 962,HEX2ONBNO3,0,1.07E-14
 963,C4DBM2CO3H,0,4.73E-19
 964,HYETHO2H,0,1.37E-12
 965,IBUTOLCO2H,0,2.75E-16
 966,NBUTOLBOOH,0,9.04E-14
 967,DE35TO,0,7.87E-24
 968,HO13C3CO3H,0,8.57E-18
 969,EBFUOOH,0,1.84E-14
 970,CHEXNO3,0,8.94E-11
 971,C6COALCO2H,0,1.95E-14
 972,ME2BUOLO,0,3.17E-29
 973,CO245C7,0,2.94E-15
 974,PEBOOH,0,2.87E-12
 975,C7ODLBCO3H,0,1.88E-18
 976,NC4H9NO3,0,3.90E-12
 977,C61NO3,0,1.06E-12
 978,PHCOMEOOH,0,7.96E-17
 979,HEX2ONANO3,0,4.73E-14
 980,NBUTDBNO3,0,4.32E-24
 981,NBUTDBO,0,3.91E-32
 982,DMMALANHY,0,5.00E-14
 983,NPXYFUOOH,0,4.13E-13
 984,HC3CO2H,0,6.64E-26
 985,MCOCOMOOOH,0,6.09E-14
 986,PBFUOOH,0,8.74E-16
 987,HEXBNO3,0,3.74E-11
 988,HO1C4OOH,0,4.93E-13
 989,EPXM2DCO3H,0,1.59E-15
 990,MIPKBNO3,0,3.71E-13
 991,C826CO3OOH,0,7.34E-15
 992,HEX2ONBOOH,0,6.58E-16
 993,PE1ENEAO,0,1.39E-23
 994,C611OOH,0,3.59E-15
 995,TM123BNO3,0,9.02E-14
 996,TM123BO,0,1.32E-23
 997,HO2C6O,0,3.47E-24
 998,NBUTOLAOOH,0,1.71E-17
 999,C610NO3,0,1.19E-12
1000,C413COOOH,0,1.03E-14
1001,CO1C6NO3,0,6.43E-12
1002,ECO3CO3H,0,4.90E-20
1003,C6COALCO3H,0,2.70E-14
1004,PGLOOB,0,3.69E-27
1005,IC4CHOAOOH,0,6.76E-16
1006,NBZQOOH,0,1.55E-15
1007,IBUTOLBNO3,0,8.30E-16
1008,C6DICARBO,0,5.86E-27
1009,C726CO5OOH,0,1.04E-13
1010,MEKANO3,0,5.38E-13
1011,METLBIPNO3,0,3.35E-13
1012,CHOC2H4OOH,0,2.93E-14
1013,HM2C43O,0,5.65E-28
1014,HM22C3OOH,0,1.49E-15
1015,CO25C73OOH,0,1.49E-14
1016,HNMVKOOH,0,9.54E-27
1017,C6H5CH2NO3,0,1.60E-12
1018,C7CO2DCO3H,0,1.86E-19
1019,HEXANO3,0,1.98E-12
1020,HO1C6NO3,0,1.76E-12
1021,HO1C6O,0,1.87E-24
1022,C6COCHOOOH,0,4.15E-15
1023,OXYQONE,0,6.55E-14
1024,PEN2ONE1O,0,2.11E-29
1025,C2H5NO3,0,1.49E-11
1026,H2M3C4OOH,0,9.92E-14
1027,TBUTOLO,0,3.09E-31
1028,HO3C76O,0,3.53E-24
1029,SC4H9NO3,0,7.47E-11
1030,C3NO3COOOH,0,1.38E-26
1031,C7M15CO2O,0,1.10E-29
1032,ACECOCOCH3,0,2.77E-13
1033,C5CO2DCO3H,0,9.75E-18
1034,M33C4NO3,0,1.68E-13
1035,ACROOA,0,4.30E-33
1036,C72NO3,0,2.04E-12
1037,EBZBPERNO3,0,2.89E-13
1038,HO2C4NO3,0,4.62E-13
1039,OXYLNO3,0,1.25E-13
1040,OXYLO,0,1.91E-23
1041,PEBNO3,0,4.68E-11
1042,MC7CO2OOH,0,1.10E-15
1043,C5MEJCO3H,0,2.61E-18
1044,BUTDAO,0,1.20E-33
1045,NC3H7NO3,0,5.73E-12
1046,NMXYQOOH,0,2.31E-14
1047,MIPKAOOH,0,6.97E-14
1048,C3H7CHOOA,0,5.13E-24
1049,MC6CO2OH,0,1.84E-17
1050,C8DCO2CO3H,0,1.22E-20
1051,M2BKANO3,0,3.23E-12
1052,PEANO3,0,2.72E-12
1053,HO2M2C4OOH,0,2.39E-20
1054,PRNO3CO3H,0,1.53E-19
1055,HYPROPO2H,0,2.83E-13
1056,TM124QONE,0,4.50E-14
1057,NBUTDAOH,0,2.62E-23
1058,C5DICAROOH,0,8.96E-15
1059,C5NO3OAOOH,0,1.43E-19
1060,C6H5OOH,0,5.26E-13
1061,C3MDIALO,0,3.30E-25
1062,C73OOH,0,1.09E-18
1063,DIEKAOH,0,3.09E-16
1064,C2H5CHOOA,0,3.27E-27
1065,HEX3ONDOOH,0,1.11E-14
1066,PE1ENEBNO3,0,6.31E-15
1067,IPROPOLPER,0,7.55E-17
1068,C5M2OHCO3H,0,1.20E-16
1069,HEPTNO3,0,7.19E-11
1070,C4CHOAOOH,0,8.04E-16
1071,C51NO3,0,8.47E-13
1072,C71OOH,0,7.75E-15
1073,C6H5C2H4O,0,5.75E-24
1074,H2M3CO4CHO,0,1.11E-14
1075,M3PECO,0,1.05E-19
1076,NC3CO2H,0,1.33E-28
1077,CH3OOH,0,3.66E-12
1078,CO2HOC6OOH,0,2.17E-15
1079,NPTLQOOH,0,2.55E-14
1080,MEK2OOA,0,2.21E-25
1081,BIACETOOH,0,3.42E-15
1082,CHOMOHCO3H,0,8.96E-20
1083,NMXYFUOOH,0,5.53E-13
1084,MXYQONE,0,8.67E-13
1085,CO3C4NO3OH,0,6.54E-26
1086,HOC4CHOO,0,6.43E-27
1087,C9M2CO6OOH,0,1.12E-14
1088,MPHCOMEOOH,0,5.93E-16
1089,PE2ENEBO,0,1.03E-29
1090,C7CDCCO2H,0,4.64E-14
1091,HO13C5NO3,0,1.10E-13
1092,BUTALNO3,0,1.72E-13
1093,DE35TNO3,0,6.78E-13
1094,COC4NO3OOH,0,1.86E-23
1095,HO1C5NO3,0,2.41E-12
1096,HO1C5O,0,3.44E-24
1097,GAOOA,0,1.39E-33
1098,DIEKBNO3,0,3.05E-13
1099,ETOLNO3,0,2.15E-13
1100,ETOLO,0,5.41E-24
1101,BZFUOOH,0,2.23E-13
1102,PROL11MO,0,2.72E-31
1103,NOXYQOOH,0,1.58E-15
1104,ETHOHNO3,0,1.11E-12
1105,C4CHOBNO3,0,1.63E-15
1106,MECOACEOOH,0,1.67E-13
1107,C56OOH,0,3.56E-14
1108,EMPHOOH,0,1.85E-15
1109,C6DIALOOH,0,2.31E-15
1110,HO3C4OOH,0,4.63E-15
1111,C815CO2O,0,3.10E-29
1112,IC3H7OOH,0,5.12E-12
1113,NBUTOLBNO3,0,9.74E-13
1114,HEXCNO3,0,5.09E-11
1115,EMPHGLYOX,0,2.51E-16
1116,M2BUOL2NO3,0,7.95E-18
1117,OETLQONE,0,9.41E-15
1118,PGLOOA,0,2.98E-26
1119,NO3CH2CO3H,0,1.06E-19
1120,NOXYFUOOH,0,1.07E-14
1121,IPBZBPRNO3,0,1.86E-14
1122,PEBQONE,0,6.42E-14
1123,C62CO3H,0,2.81E-21
1124,PECNO3,0,2.95E-11
1125,GLYOOC,0,2.51E-24
1126,M22C4NO3,0,5.75E-14
1127,TLCOBIPEOH,0,5.79E-13
1128,C5DIALO,0,2.15E-28
1129,DM123OOH,0,9.45E-14
1130,PHCOCOME,0,1.02E-17
1131,NTM124QOOH,0,1.24E-15
1132,PTLQONE,0,1.14E-12
1133,CY6DIONO,0,4.58E-23
1134,HO2C6NO3,0,9.51E-12
1135,M33C4OOH,0,2.20E-14
1136,IPEBNO3,0,3.21E-11
1137,GLYPAN,0,4.92E-12
1138,C3EDIALO,0,2.59E-26
1139,CYHXONANO3,0,6.37E-12
1140,IPROPOLO2H,0,7.39E-14
1141,CO1H63O,0,1.11E-23
1142,M22C43NO3,0,9.86E-13
1143,NO3CH2CO2H,0,8.08E-20
1144,C61CO3H,0,2.24E-19
1145,C42CO3H,0,6.92E-18
1146,METLOBPROH,0,2.42E-13
1147,M22C43OOH,0,5.14E-14
1148,TMBO,0,1.79E-23
1149,C51NO32OOH,0,3.10E-16
1150,HEX3ONDNO3,0,9.88E-14
1151,TMBNO3,0,8.71E-14
1152,NTMB1FUOOH,0,8.55E-15
1153,M22C4OOH,0,7.32E-15
1154,DM124OOH,0,5.51E-15
1155,PEAOOH,0,4.67E-13
1156,C615CO2O,0,1.33E-27
1157,HMGLOOA,0,2.88E-35
1158,IPEAOOH,0,5.95E-13
1159,IC4H9NO3,0,3.72E-12
1160,TM123BPNO3,0,3.86E-13
1161,IPRHOCO3H,0,3.40E-21
1162,M3PEBNO3,0,6.90E-11
1163,HO2C4OOH,0,1.24E-13
1164,C5COHOCO3H,0,4.09E-22
1165,C63NO3,0,2.99E-13
1166,PPRBQONE,0,4.81E-15
1167,C6EO2HCO3H,0,3.48E-17
1168,PBZQONE,0,2.56E-13
1169,NMEBFUOOH,0,6.33E-13
1170,HEX2ONAOOH,0,1.70E-15
1171,DIEKBOOH,0,4.69E-14
1172,SC4H9OOH,0,6.00E-12
1173,M3PEANO3,0,4.29E-12
1174,METLQONE,0,5.71E-14
1175,OXYL1OOH,0,1.06E-12
1176,DM35EBO,0,1.15E-23
1177,CH3CHOOA,0,2.91E-22
1178,NC3H7OOH,0,1.91E-12
1179,C3M3OHCO3H,0,1.36E-21
1180,C6H5C2NO3,0,8.17E-14
1181,NPHENOH,0,1.68E-15
1182,C52NO31OOH,0,1.66E-16
1183,HO1C3NO3,0,4.28E-13
1184,HO13C4OOH,0,5.59E-14
1185,C4NO3CO3H,0,4.30E-21
1186,HM2C43NO3,0,2.93E-17
1187,NC4H9OOH,0,9.54E-13
1188,CO2H3MCO3H,0,1.44E-17
1189,H13C43CO3H,0,6.38E-25
1190,H13CO2CO3H,0,9.52E-29
1191,PHC3O,0,3.16E-25
1192,DM35EBNO3,0,1.27E-12
1193,PHC3NO3,0,2.48E-14
1194,IPEANO3,0,3.52E-12
1195,IBUALANO3,0,4.09E-14
1196,C74O,0,7.21E-30
1197,PROPGLY,0,5.05E-15
1198,C41CO2H,0,2.72E-15
1199,CHOC4DOLO,0,9.77E-26
1200,C5124COOOH,0,1.23E-15
1201,DMPHOOH,0,7.01E-15
1202,C7MOCOCO3H,0,2.78E-17
1203,TC4H9O,0,3.63E-18
1204,HM33C4OH,0,1.65E-16
1205,C6135COOOH,0,1.18E-15
1206,MPRKNO3,0,1.65E-12
1207,NBUTOLANO3,0,6.96E-17
1208,NOETLQOOH,0,2.50E-16
1209,NPPRBQOOH,0,1.15E-16
1210,PROL1MCO3H,0,1.44E-24
1211,HM33C3O,0,2.68E-25
1212,NPEBQOOH,0,1.49E-15
1213,ME2BUOLNO3,0,5.69E-18
1214,C7CO2M5O,0,2.51E-27
1215,C7CO2M5OH,0,1.16E-17
1216,PROPOLNO3,0,1.35E-12
1217,C42O,0,2.07E-36
1218,HO3C3CO3H,0,1.32E-17
1219,MTBKNO3,0,6.61E-15
1220,M2PROPAL2O,0,1.34E-25
1221,NMETLQOOH,0,1.58E-15
1222,HO3C5OOH,0,4.22E-14
1223,C4OHCO3H,0,2.65E-19
1224,IPRBQONE,0,4.23E-15
1225,C3DIALO,0,5.23E-26
1226,HOCH2CO2H,0,1.46E-14
1227,C2H5O,0,5.76E-21
1228,PBZBPERNO3,0,2.12E-14
1229,HCOCOHCO3H,0,9.07E-16
1230,NIPRBQOOH,0,1.01E-16
1231,TLBIPERNO3,0,5.78E-12
1232,C6125CO,0,2.62E-14
1233,HEXAOOH,0,2.54E-13
1234,NTMB2FUOOH,0,3.62E-15
1235,MXYBIPENO3,0,4.70E-12
1236,HEXBOOH,0,1.52E-12
1237,HC3CCO3H,0,2.21E-27
1238,HOCO3C5OOH,0,5.25E-14
1239,H2M3C4NO3,0,3.41E-13
1240,IC3H7NO3,0,3.34E-11
1241,M2BU2OLOOH,0,1.57E-19
1242,CO25C6OOH,0,1.70E-14
1243,HOIPRGLYOX,0,5.60E-15
1244,ACCOCOMEO,0,3.99E-29
1245,PROLNO3,0,1.14E-13
1246,IC4H9OOH,0,9.11E-13
1247,PE1ENEANO3,0,1.05E-13
1248,IPEBOOH,0,1.82E-12
1249,C7CO2OCO3H,0,5.23E-16
1250,BZBIPERNO3,0,2.81E-13
1251,C5DIALCO,0,3.58E-15
1252,HM22C3NO3,0,7.66E-15
1253,NTLFUOOH,0,3.56E-13
1254,HO2M2C4NO3,0,9.51E-20
1255,IBUTALBO2H,0,1.05E-14
1256,C6OTKETCO,0,2.01E-16
1257,ECO4,0,5.07E-16
1258,TM135BPNO3,0,8.85E-13
1259,CH2CLCOOH,0,1.28E-15
1260,CO24C63OOH,0,1.29E-14
1261,CH2CLOOH,0,3.98E-16
1262,HEX3ONANO3,0,1.44E-12
1263,HM22COCHO,0,5.59E-17
1264,IBUTOLCNO3,0,1.08E-15
1265,HOCH2CO3H,0,1.91E-14
1266,C715CO2O,0,1.57E-28
1267,ETHO2HNO3,0,6.52E-16
1268,C3EODBCO2H,0,1.08E-15
1269,HO1C3OOH,0,1.72E-13
1270,MEKAOOH,0,1.14E-13
1271,PR2O2HNO3,0,4.67E-15
1272,MMALANHY,0,3.05E-11
1273,C6O132OH,0,1.05E-15
1274,MALANHY,0,4.60E-11
1275,C5MO132OH,0,2.64E-15
1276,C8236CO,0,3.30E-16
1277,NAOOA,0,3.06E-34
1278,MIPKAO,0,3.67E-25
1279,C614CO23OH,0,5.47E-18
1280,C6CO2M2OH,0,7.90E-18
1281,CO13C4OH,0,1.07E-11
1282,IPECO,0,1.31E-19
1283,C5CO23O,0,4.95E-31
1284,C51O,0,1.56E-22
1285,PIPN,0,1.60E-11
1286,MNCATECO,0,1.79E-26
1287,HO2M2C4O,0,1.99E-30
1288,PBN,0,8.33E-12
1289,HM33C3NO3,0,1.24E-14
1290,EPXDLPAN,0,1.57E-12
1291,MPRKAOOH,0,1.59E-14
1292,HO3C6OOH,0,7.34E-13
1293,NMXYOLOOH,0,3.51E-13
1294,HO1CO34C5,0,1.92E-15
1295,MXNCATECO,0,9.77E-27
1296,PC3ODBCO2H,0,2.49E-15
1297,IC7DCPAN,0,3.57E-14
1298,C3M3OH2PAN,0,6.44E-19
1299,HC3CO3H,0,8.88E-26
1300,NDEMPHOLO,0,3.71E-25
1301,M3PEBO,0,7.65E-22
1302,C615CO2OOH,0,4.42E-14
1303,H1MC5NO3,0,3.83E-12
1304,CHOC4PAN,0,6.84E-13
1305,NDMEPLOOH,0,8.73E-14
1306,CYHXOLAOOH,0,3.82E-17
1307,HCOCOHPAN,0,3.82E-13
1308,C68NO3,0,1.43E-13
1309,ACCOMEPAN,0,1.24E-11
1310,HO2C5NO3,0,2.72E-12
1311,DNPHENO,0,7.72E-30
1312,HM33C4NO3,0,1.88E-14
1313,C4PAN3,0,3.55E-12
1314,CHOCOHCO,0,6.15E-27
1315,C4PAN4,0,1.81E-12
1316,C4PAN9,0,3.37E-25
1317,DNEBNZLO,0,3.12E-30
1318,C63O,0,6.05E-23
1319,C4MOHOPAN,0,2.16E-15
1320,NC4IPDCO2H,0,4.86E-14
1321,HYPERACET,0,1.34E-13
1322,C7DDCCO3H,0,1.17E-14
1323,MEKAO,0,1.42E-23
1324,MTNCATECO,0,6.47E-28
1325,C7OHO2CO3H,0,1.30E-17
1326,C1H4C5PAN,0,1.29E-11
1327,NC4PDCO2H,0,5.53E-14
1328,PE1ENEBO,0,7.12E-26
1329,DNT123LO,0,3.94E-31
1330,CO2OH3MPAN,0,5.71E-15
1331,HEX3ONCOOH,0,1.43E-14
1332,MNNCATECO,0,4.75E-23
1333,C312COPAN,0,5.11E-13
1334,C3PAN1,0,1.20E-11
1335,M3BUTAL2O,0,4.92E-26
1336,NMXYOLO,0,3.89E-24
1337,A2PAN,0,1.67E-18
1338,HEX3ONBOOH,0,1.76E-14
1339,PRNO3PAN,0,1.44E-16
1340,ACCOCOMOOH,0,4.09E-18
1341,C4CO2DBPAN,0,1.85E-16
1342,T124NNCTO,0,4.57E-25
1343,C6CO23HO5,0,8.83E-15
1344,HM22C4OOH,0,9.49E-15
1345,MVKOHAO,0,4.20E-37
1346,ENCATECO,0,1.05E-27
1347,DNOETOLO,0,3.03E-31
1348,C5M2OHOPAN,0,5.30E-14
1349,MC5COOHOOH,0,1.56E-15
1350,C4DBMEPAN,0,2.32E-17
1351,T123NNCTO,0,4.40E-25
1352,PROPALO,0,2.38E-27
1353,STYRENO,0,0.00E+00
1354,C3DIALOOH,0,1.50E-14
1355,HCOCH2O,0,4.10E-24
1356,MIPKBO,0,5.74E-24
1357,C7MOHCOPAN,0,1.10E-14
1358,C4NO3PAN,0,7.53E-18
1359,NOETOLOOH,0,2.92E-15
1360,NPBNZOLO,0,2.88E-26
1361,ALC4DOLOOH,0,1.35E-13
1362,EPXKTMPAN,0,9.46E-14
1363,OCCOHCOOH,0,5.92E-17
1364,IPROPOLPAN,0,3.22E-14
1365,HYPROPO,0,1.81E-21
1366,C61O,0,2.06E-25
1367,C41O,0,1.01E-35
1368,MVKOHBOOH,0,6.64E-26
1369,C4COMOHPAN,0,6.26E-19
1370,NCRESOOH,0,8.01E-13
1371,TM124BPNO3,0,9.15E-13
1372,C68O,0,2.56E-25
1373,NTM124LOOH,0,1.07E-14
1374,DETLMUPAN,0,1.04E-13
1375,IPBZMUCPAN,0,1.56E-15
1376,C1H4C5CO3H,0,2.24E-14
1377,C715CO2OOH,0,1.84E-15
1378,NEOPOOH,0,1.44E-14
1379,HO13C5O,0,6.19E-27
1380,MC5CO2OHO,0,9.71E-27
1381,HO1CO3C5,0,1.15E-15
1382,MTBKO,0,9.36E-26
1383,EPXMKTPAN,0,1.18E-12
1384,NEBNZOLOOH,0,4.36E-14
