A continuation ics file,,,
,,,
Index,Species,Constrain,base
ii,TIME,0,432000
continue,TEMP,0,298.0
continue,LAT,0,51.5
continue,LON,0,0.1
ii,JDAY,0,173.5
continue,H2O,0,0.02
ii,ALBEDO,0,0
continue,PRESS,0,4.1142012469451956e-17
ii,NOx,1,0
ii,DEPOS,1,0
ii,FEMISS,1,0
s,SPINUP,0,1e99
continue,NA,0,2.734006769858015e-10
continue,O1D,0,8.356471048059608e-21
continue,C2H6,0,6.193996559241857e-09
continue,CH4,0,1.891648856346273e-06
continue,IC4H10,0,6.303870320620956e-10
continue,IC5H12,0,6.926963614892237e-10
continue,METHTOL,0,1.3794978462898453e-11
continue,NC10H22,0,1.34707933587607e-10
continue,NC11H24,0,2.0203045014515377e-10
continue,NC12H26,0,3.125140127660435e-10
continue,NC4H10,0,1.2132538793857e-09
continue,NC5H12,0,3.395271453757489e-10
continue,NC6H14,0,9.460347571586171e-11
continue,NC7H16,0,6.520478218415884e-11
continue,NC8H18,0,2.4930999868779503e-11
continue,NC9H20,0,1.570014946684856e-10
continue,OETHTOL,0,8.168453209810208e-12
continue,PETHTOL,0,1.5721544447403997e-11
continue,TM135B,0,9.510863411952436e-12
continue,EBENZ,0,8.103644227919946e-11
continue,MXYL,0,5.613660524242843e-11
continue,C3H8,0,1.9166827709685158e-09
continue,OXYL,0,6.856153563260758e-11
continue,PBENZ,0,1.2534814259208384e-11
continue,PXYL,0,5.7653938912027444e-11
continue,TM123B,0,5.521975653222114e-12
continue,TM124B,0,1.718767204344559e-11
continue,BENZENE,0,1.4302289418910496e-10
continue,HEX2ONE,0,2.6648248437515206e-11
continue,IEPOX,0,1.338474775491021e-10
continue,MEK,0,5.086640856926728e-11
continue,MPRK,0,2.0523167470942273e-11
continue,N2O5,0,1.4235285615924506e-17
continue,TNCARB15,0,2.692128725075895e-13
continue,TOLUENE,0,5.010373597556025e-10
continue,C2H2,0,3.4303631954089086e-10
continue,CARB33,0,3.802710724839122e-11
continue,CARB21,0,5.363019350981555e-12
continue,H2,0,4.837878942573069e-07
continue,CH3OH,0,3.2847991405955473e-09
continue,CARB27,0,1.9497695323622926e-11
continue,CARB15,0,8.049621136761652e-11
continue,RCOOH25,0,3.860811104485279e-12
continue,ETHACET,0,3.3537627712112566e-11
continue,HMML,0,6.037074974505572e-14
continue,IPROPOL,0,8.402956822801796e-12
continue,CARB24,0,1.7017475822439083e-11
continue,C2H5OH,0,6.1173313631431456e-09
continue,CCARB14,0,2.3724579819854075e-13
continue,AROH14,0,3.3253866835644915e-12
continue,AROH17,0,1.0787601404772613e-11
continue,RAROH17,0,4.79208433527387e-12
continue,CARB12,0,1.0035294819864452e-10
continue,NPROPOL,0,2.458129216513865e-10
