,source,target,flux
2855,C41OOH,C41O,[18.51972325 -inf]
2856,C41O2,C41O,[24.30690564 21.99393624]
2857,C715CO2O2,C715CO2OOH,[20.49629447 20.23568212]
2858,MALDIALCO3,MALDIALPAN,[25.44645501 24.55147975]
2859,MC4CODBCO3,MC4CODBPAN,[25.50152631 24.56228524]
2860,C615CO3,C615PAN,[22.98437771 21.72170434]
2861,MC52CO2OH,MC5CO2OHO,[18.88323492 19.46671756]
2862,MC5COOHOOH,MC5CO2OHO,[19.35556981 -inf]
2863,MC5CO2OHO2,MC5CO2OHO,[24.70173039 23.09067104]
2864,C817CO3,C817PAN,[24.51890076 25.36264419]
2865,C83OOH,C83O,[14.95601469 -inf]
2866,C83O2,C83O,[18.82959152 17.49903087]
2867,C5DBECO3,C5DBEPAN,[22.46966339 22.16804158]
2868,C512CO3,C512PAN,[23.54323828 23.28542437]
2869,CO2OH3MCO3,CO2OH3MPAN,[24.07030515 22.96600327]
2870,MEKANO3,MEKAO,[21.77044495 -inf]
2871,MEKAOOH,MEKAO,[19.427628 -inf]
2872,MEKAO2,MEKAO,[24.63420452 22.99796204]
2873,MEKBO2,MEKBOOH,[22.08356257 22.77259424]
2874,MEKCO2,MEKCOOH,[20.88889538 21.63111179]
2875,METLMUCCO3,METLMUCPAN,[24.35090801 23.08499805]
2876,CO356OCOOH,CO356OCO,[17.85108966 -inf]
2877,CO356OCO2,CO356OCO,[22.73497771 21.34395311]
2878,C43OHCOCHO,CO35C5CHO,[16.51881765 14.61774008]
2879,HO1CO24C6,CO35C5CHO,[19.58593671 18.3449029 ]
2880,MIBK3COOOH,MIBK3COO,[13.65155084 -inf]
2881,MIBK3COO2,MIBK3COO,[16.4546367 16.38259319]
2882,C5O45OHCO3,C5O45OHPAN,[23.47441073 22.77624195]
2883,MIBKAO2,MIBKANO3,[21.72318633 19.51389655]
2884,MIBKAOOH,MIBKAO,[18.18975796 -inf]
2885,MIBKANO3,MIBKAO,[20.21745749 -inf]
2886,MIBKAO2,MIBKAO,[22.93381394 20.81395944]
2887,C920CO3,C920PAN,[23.25997253 23.32521558]
2888,C624CO3,C624PAN,[22.64340825 22.03023057]
2889,C718CO3,C718PAN,[23.20391022 21.76804436]
2890,MBKCOOHOOH,MIBKCOOHO,[7.42065045 -inf]
2891,MIBKCOOHO2,MIBKCOOHO,[11.18068518 10.88763347]
2892,H13CO2CO3,C4PAN10,[21.89080457 21.73954921]
2893,MIPKBOOH,MIPKBO,[18.30166333 -inf]
2894,MIPKBNO3,MIPKBO,[20.75435855 -inf]
2895,MIPKBO2,MIPKBO,[23.53671676 21.41817945]
2896,APINCO2,APINCNO3,[22.4621797 19.88761998]
2897,MNCATECOOH,MNCATECO,[18.34006942 -inf]
2898,MNCATECO2,MNCATECO,[23.65557762 16.85680722]
2899,MNNCATCOOH,MNNCATECO,[18.51440763 -inf]
2900,MNNCATECO2,MNNCATECO,[23.91228728 19.90415014]
2901,BU1ENO3O,CO3C4NO3,[22.50191157 24.25325533]
2902,BU1ENO3O2,CO3C4NO3,[16.37453335 21.84505193]
2903,MPRANO3OOH,MPRANO3O,[22.01650337 -inf]
2904,MPRANO3O2,MPRANO3O,[23.89459104 25.6275832 ]
2905,MPRBNO3CO3,MPRBNO3PAN,[22.08055175 24.97385412]
2906,MPRKAO2,MPRKAOOH,[18.75995153 19.58277805]
2907,C4MOHOCO3,C4MOHOPAN,[23.92693702 23.1532007 ]
2908,MTNCATCOOH,MTNCATECO,[18.85329401 -inf]
2909,MTNCATECO2,MTNCATECO,[24.10461251 17.1925526 ]
2910,MTNNCATOOH,MTNNCATCO,[19.02229614 -inf]
2911,MTNNCATCO2,MTNNCATCO,[24.36132198 20.14013003]
2912,HC3CCO3,C4PAN8,[23.03022135 22.5171945 ]
2913,MVKOHAOOH,MVKOHAO,[17.67845357 -inf]
2914,MVKOHAO2,MVKOHAO,[23.01282942 20.94873264]
2915,MVKOHBO2,MVKOHBOOH,[19.77496929 20.65865451]
2916,MVKO2,MVKOOH,[19.80097375 22.4074413 ]
2917,HO13C3CO3,C4PAN2,[20.68252639 20.4587952 ]
