name,carbons,aromatic_carbons,vinyls,aldehydes,ketones,criegee_radicals,oxy_radicals,peroxy_radicals,nitrates,peroxy_nitrates,acids,alcohols,peroxides,timestamp
CH4,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0151E+13
CH3O2,1,0,0,0,0,0,0,1,0,0,0,0,0,2.0151E+13
CH3O,1,0,0,0,0,0,1,0,0,0,0,0,0,2.0151E+13
CH3NO3,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0151E+13
CH3O2NO2,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0151E+13
CH3OOH,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0151E+13
C2H6,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0151E+13
C2H5O2,2,0,0,0,0,0,0,1,0,0,0,0,0,2.0151E+13
C2H5O,2,0,0,0,0,0,1,0,0,0,0,0,0,2.0151E+13
C2H5NO3,2,0,0,0,0,0,0,0,1,0,0,0,0,2.0151E+13
C2H5OOH,2,0,0,0,0,0,0,0,0,0,0,0,1,2.0151E+13
C3H8,3,0,0,0,0,0,0,0,0,0,0,0,0,2.0151E+13
NC3H7O2,3,0,0,0,0,0,0,1,0,0,0,0,0,2.0151E+13
NC3H7O,3,0,0,0,0,0,1,0,0,0,0,0,0,2.0151E+13
NC3H7NO3,3,0,0,0,0,0,0,0,1,0,0,0,0,2.0151E+13
NC3H7OOH,3,0,0,0,0,0,0,0,0,0,0,0,1,2.0151E+13
IC3H7O2,3,0,0,0,0,0,0,1,0,0,0,0,0,2.0151E+13
IC3H7O,3,0,0,0,0,0,1,0,0,0,0,0,0,2.0151E+13
IC3H7NO3,3,0,0,0,0,0,0,0,1,0,0,0,0,2.0151E+13
IC3H7OOH,3,0,0,0,0,0,0,0,0,0,0,0,1,2.0151E+13
NC4H10,4,0,0,0,0,0,0,0,0,0,0,0,0,2.0151E+13
NC4H9O2,4,0,0,0,0,0,0,1,0,0,0,0,0,2.0151E+13
NC4H9O,4,0,0,0,0,0,1,0,0,0,0,0,0,2.0151E+13
NC4H9NO3,4,0,0,0,0,0,0,0,1,0,0,0,0,2.0151E+13
HO1C4O2,4,0,0,0,0,0,0,1,0,0,0,1,0,2.0151E+13
HO1C4O,4,0,0,0,0,0,1,0,0,0,0,1,0,2.0151E+13
HOC3H6CHO,4,0,0,1,0,0,0,0,0,0,0,1,0,2.0151E+13
HO1C4NO3,4,0,0,0,0,0,0,0,1,0,0,1,0,2.0151E+13
NC4H9OOH,4,0,0,0,0,0,0,0,0,0,0,0,1,2.0151E+13
HO1C4OOH,4,0,0,0,0,0,0,0,0,0,0,1,1,2.0151E+13
HOC4H8OH,4,0,0,0,0,0,0,0,0,0,0,2,0,2.0151E+13
HO1C3O2,3,0,0,0,0,0,0,1,0,0,0,1,0,2.0151E+13
HOC3H6CO3,4,0,0,0,0,0,0,1,0,0,0,1,0,2.0151E+13
HO1C3NO3,3,0,0,0,0,0,0,0,1,0,0,1,0,2.0151E+13
