,name,smiles,inchi
24,TM123MUCO,OC(C(=O)C)C([O])C1OC1(C)C(=O)C,"InChI=1S/C9H13O5/c1-4(10)6(12)7(13)8-9(3,14-8)5(2)11/h6-8,12H,1-3H3"
25,C137CO,O=CCC(=C)C1CC(C)(C)C1CCC(=O)O,"InChI=1S/C13H20O3/c1-9(6-7-14)10-8-13(2,3)11(10)4-5-12(15)16/h7,10-11H,1,4-6,8H2,2-3H3,(H,15,16)"
26,NO2,,
27,NO3,,
28,MBOAOOH,OCC(OO)C(C)(C)O,"InChI=1S/C5H12O4/c1-5(2,7)4(3-6)9-8/h4,6-8H,3H2,1-2H3"
29,C4M2NO33O,O=N(=O)OC(C)C(C)(C)[O],"InChI=1S/C5H10NO4/c1-4(5(2,3)7)10-6(8)9/h4H,1-3H3"
30,EPXDLCO2H,O=CC1OC1C(=O)O,"InChI=1S/C4H4O4/c5-1-2-3(8-2)4(6)7/h1-3H,(H,6,7)"
31,BOXCOCOMO,CCCC([O])OC(=O)C(=O)C,"InChI=1S/C7H11O4/c1-3-4-6(9)11-7(10)5(2)8/h6H,3-4H2,1-2H3"
32,ME3BU2OLO,[O]CC(O)C(C)C,"InChI=1S/C5H11O2/c1-4(2)5(7)3-6/h4-5,7H,3H2,1-2H3"
33,CLOHCO3H,OOC(=O)C(O)Cl,"InChI=1S/C2H3ClO4/c3-1(4)2(5)7-6/h1,4,6H"
34,BOXCOCOME,CCCCOC(=O)C(=O)C,"InChI=1S/C7H12O3/c1-3-4-5-10-7(9)6(2)8/h3-5H2,1-2H3"
35,MALDIAL,O=CC=CC=O,InChI=1S/C4H4O2/c5-3-1-2-4-6/h1-4H
36,C6PAN21,CCC(C)(O)CC(=O)OON(=O)=O,"InChI=1S/C6H11NO6/c1-3-6(2,9)4-5(8)12-13-7(10)11/h9H,3-4H2,1-2H3"
37,DEMPHOLOOH,CCC12OOC(CC)(C=C(C)C2(O)OO)C1O,"InChI=1S/C11H18O6/c1-4-9-6-7(3)11(13,15-14)10(5-2,8(9)12)17-16-9/h6,8,12-14H,4-5H2,1-3H3"
38,C6PAN23,CCCCC(O)C(=O)OON(=O)=O,"InChI=1S/C6H11NO6/c1-2-3-4-5(8)6(9)12-13-7(10)11/h5,8H,2-4H2,1H3"
39,C6PAN22,CCCC(O)CC(=O)OON(=O)=O,"InChI=1S/C6H11NO6/c1-2-3-5(8)4-6(9)12-13-7(10)11/h5,8H,2-4H2,1H3"
40,HO13C5O2,OCCC(O)C(C)O[O],"InChI=1S/C5H11O4/c1-4(9-8)5(7)2-3-6/h4-7H,2-3H2,1H3"
41,EBZMUCOOH,CCC(=O)C(OO)C(O)C1OC1C=O,"InChI=1S/C8H12O6/c1-2-4(10)7(14-12)6(11)8-5(3-9)13-8/h3,5-8,11-12H,2H2,1H3"
42,NMETOL1O2,[O]Oc1c(CC)cc(C)cc1N(=O)=O,"InChI=1S/C9H10NO4/c1-3-7-4-6(2)5-8(10(11)12)9(7)14-13/h4-5H,3H2,1-2H3"
43,DMKOHOOH,OOC(C(=O)C)C(O)C(=O)C,"InChI=1S/C6H10O5/c1-3(7)5(9)6(11-10)4(2)8/h5-6,9-10H,1-2H3"
44,C9M2CO6O2,CCC(=O)C=C(C)C(O[O])C(=O)CC,"InChI=1S/C10H15O4/c1-4-8(11)6-7(3)10(14-13)9(12)5-2/h6,10H,4-5H2,1-3H3"
45,IPBZBPR2OH,OC1C=CC2(OOC1C2O)C(C)C,"InChI=1S/C9H14O4/c1-5(2)9-4-3-6(10)7(8(9)11)12-13-9/h3-8,10-11H,1-2H3"
46,MPRK,CCCC(=O)C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
47,NOA,CC(=O)CON(=O)=O,"InChI=1S/C3H5NO4/c1-3(5)2-8-4(6)7/h2H2,1H3"
48,BIACETOOH,CC(=O)C(=O)COO,"InChI=1S/C4H6O4/c1-3(5)4(6)2-8-7/h7H,2H2,1H3"
49,HEPTOH,CCCCC(O)CC,"InChI=1S/C7H16O/c1-3-5-6-7(8)4-2/h7-8H,3-6H2,1-2H3"
50,C6CO4MEDB,O=CC(=O)C(=C(C)C(=O)C=O)CC,"InChI=1S/C9H10O4/c1-3-7(9(13)5-11)6(2)8(12)4-10/h4-5H,3H2,1-2H3"
51,ACBUONEAO,CC(=O)CC([O])OC(=O)C,"InChI=1S/C6H9O4/c1-4(7)3-6(9)10-5(2)8/h6H,3H2,1-2H3"
52,PEBQONE,CCC1=CC(=O)C=CC1=O,"InChI=1S/C8H8O2/c1-2-6-5-7(9)3-4-8(6)10/h3-5H,2H2,1H3"
53,C42OH,O=CC(O)C(O)CON(=O)=O,"InChI=1S/C4H7NO6/c6-1-3(7)4(8)2-11-5(9)10/h1,3-4,7-8H,2H2"
54,O1D,,
55,C63NO3,CCC(=O)CC(CO)ON(=O)=O,"InChI=1S/C6H11NO5/c1-2-5(9)3-6(4-8)12-7(10)11/h6,8H,2-4H2,1H3"
56,TBOCOCH2O,[O]CC(=O)OC(C)(C)C,"InChI=1S/C6H11O3/c1-6(2,3)9-5(8)4-7/h4H2,1-3H3"
57,NPETOLO2,CCC12OOC(C(=CC2(O)O[O])C)C1ON(=O)=O,"InChI=1S/C9H12NO8/c1-3-8-7(15-10(12)13)6(16-18-8)5(2)4-9(8,11)17-14/h4,6-7,11H,3H2,1-2H3"
58,NPTLQO,O=N(=O)OC1C([O])C(=O)C=C(C)C1=O,"InChI=1S/C7H6NO6/c1-3-2-4(9)6(11)7(5(3)10)14-8(12)13/h2,6-7H,1H3"
59,C514OH,O=CCC(O)CC=O,"InChI=1S/C5H8O3/c6-3-1-5(8)2-4-7/h3-5,8H,1-2H2"
60,C620O2,O=CCC(=O)C(O[O])CC=O,"InChI=1S/C6H7O5/c7-3-1-5(9)6(11-10)2-4-8/h3-4,6H,1-2H2"
61,ACETC2CO2H,OC(=O)CCOC(=O)C,"InChI=1S/C5H8O4/c1-4(6)9-3-2-5(7)8/h2-3H2,1H3,(H,7,8)"
62,C917NO3,O=C1CCC(=O)C(C1)C(C)(C)ON(=O)=O,"InChI=1S/C9H13NO5/c1-9(2,15-10(13)14)7-5-6(11)3-4-8(7)12/h7H,3-5H2,1-2H3"
63,METHACETO2,CC(=O)OCO[O],"InChI=1S/C3H5O4/c1-3(4)6-2-7-5/h2H2,1H3"
64,C44O,O=CCC([O])C(=O)O,"InChI=1S/C4H5O4/c5-2-1-3(6)4(7)8/h2-3H,1H2,(H,7,8)"
65,C620OH,O=CCC(=O)C(O)CC=O,"InChI=1S/C6H8O4/c7-3-1-5(9)6(10)2-4-8/h3-5,9H,1-2H2"
66,C711O2,CC(O)(CC(=O)CO[O])CC,"InChI=1S/C7H13O4/c1-3-7(2,9)4-6(8)5-11-10/h9H,3-5H2,1-2H3"
67,CNO3OCL,ClC(=O)CON(=O)=O,InChI=1S/C2H2ClNO4/c3-2(5)1-8-4(6)7/h1H2
68,NEBNZOLOOH,CCC12OOC(C2ON(=O)=O)C(O)(OO)C=C1,"InChI=1S/C8H11NO8/c1-2-7-3-4-8(10,16-13)6(15-17-7)5(7)14-9(11)12/h3-6,10,13H,2H2,1H3"
69,C514O2,O=CCC(O[O])CC=O,"InChI=1S/C5H7O4/c6-3-1-5(9-8)2-4-7/h3-5H,1-2H2"
70,NPETOLOH,CCC12OOC(C(=CC2(O)O)C)C1ON(=O)=O,"InChI=1S/C9H13NO7/c1-3-8-7(15-10(13)14)6(16-17-8)5(2)4-9(8,11)12/h4,6-7,11-12H,3H2,1-2H3"
71,C731OOH,OOCCC(CC=O)C(=O)C,"InChI=1S/C7H12O4/c1-6(9)7(2-4-8)3-5-11-10/h4,7,10H,2-3,5H2,1H3"
72,IC3H7O,CC(C)[O],"InChI=1S/C3H7O/c1-3(2)4/h3H,1-2H3"
73,HO2C54O,CC(O)CC(C)[O],"InChI=1S/C5H11O2/c1-4(6)3-5(2)7/h4-6H,3H2,1-2H3"
74,C42O2,[O]OC(CON(=O)=O)C(O)C=O,"InChI=1S/C4H6NO7/c6-1-3(7)4(12-10)2-11-5(8)9/h1,3-4,7H,2H2"
75,NC524OOH,OCC(ON(=O)=O)C(CO)(CO)OO,"InChI=1S/C5H11NO8/c7-1-4(13-6(10)11)5(2-8,3-9)14-12/h4,7-9,12H,1-3H2"
76,C51NO324CO,CC(=O)CC(=O)CON(=O)=O,"InChI=1S/C5H7NO5/c1-4(7)2-5(8)3-11-6(9)10/h2-3H2,1H3"
77,C62NO335CO,CC(=O)CC(=O)C(C)ON(=O)=O,"InChI=1S/C6H9NO5/c1-4(8)3-6(9)5(2)12-7(10)11/h5H,3H2,1-2H3"
78,C1011O,CC(=O)CCC1C([O])CC1(C)C,"InChI=1S/C10H17O2/c1-7(11)4-5-8-9(12)6-10(8,2)3/h8-9H,4-6H2,1-3H3"
79,C925OOH,OCC(CC(=O)C(=O)C)C(C)(CO)OO,"InChI=1S/C9H16O6/c1-6(12)8(13)3-7(4-10)9(2,5-11)15-14/h7,10-11,14H,3-5H2,1-2H3"
80,H14CO23C4,OCC(=O)C(=O)CO,"InChI=1S/C4H6O4/c5-1-3(7)4(8)2-6/h5-6H,1-2H2"
81,C624CO,CC(=C)C(=O)CCO,"InChI=1S/C6H10O2/c1-5(2)6(8)3-4-7/h7H,1,3-4H2,2H3"
82,T124CAT1O2,[O]Oc1c(C)c(C)cc(C)c1O,"InChI=1S/C9H11O3/c1-5-4-6(2)8(10)9(12-11)7(5)3/h4,10H,1-3H3"
83,CO24M3C5,CC(=O)C(C)C(=O)C,"InChI=1S/C6H10O2/c1-4(5(2)7)6(3)8/h4H,1-3H3"
84,H3C2C4CO2H,OC(=O)CC(O)C(=O)C,"InChI=1S/C5H8O4/c1-3(6)4(7)2-5(8)9/h4,7H,2H2,1H3,(H,8,9)"
85,CO2C4CHO,O=CCCC(=O)C,"InChI=1S/C5H8O2/c1-5(7)3-2-4-6/h4H,2-3H2,1H3"
86,MIBKBOOH,OOC(C(C)C)C(=O)C,"InChI=1S/C6H12O3/c1-4(2)6(9-8)5(3)7/h4,6,8H,1-3H3"
87,NPETLQO2,CCC1=CC(=O)C(C)(O[O])C(ON(=O)=O)C1=O,"InChI=1S/C9H10NO7/c1-3-5-4-6(11)9(2,17-15)8(7(5)12)16-10(13)14/h4,8H,3H2,1-2H3"
88,HC4CO3,CC(=C)C(C(=O)O[O])O,"InChI=1S/C5H7O4/c1-3(2)4(6)5(7)9-8/h4,6H,1H2,2H3"
89,C6H5OOH,OOc1ccccc1,"InChI=1S/C6H6O2/c7-8-6-4-2-1-3-5-6/h1-5,7H"
90,C3MDIALO,O=CC(C)([O])C=O,"InChI=1S/C4H5O3/c1-4(7,2-5)3-6/h2-3H,1H3"
91,HEPTO2,CCCCC(CC)O[O],"InChI=1S/C7H15O2/c1-3-5-6-7(4-2)9-8/h7H,3-6H2,1-2H3"
92,PXYMUCNO3,O=CC1OC1(C)C(O)C(ON(=O)=O)C(=O)C,"InChI=1S/C8H11NO7/c1-4(11)6(16-9(13)14)7(12)8(2)5(3-10)15-8/h3,5-7,12H,1-2H3"
93,H13C43CO3,OCCC(C)(O)C(=O)O[O],"InChI=1S/C5H9O5/c1-5(8,2-3-6)4(7)10-9/h6,8H,2-3H2,1H3"
94,CHOC4PAN,O=CCCCCC(=O)OON(=O)=O,"InChI=1S/C6H9NO6/c8-5-3-1-2-4-6(9)12-13-7(10)11/h5H,1-4H2"
95,C624NO3,[O-][N+](=O)OC(CCO)C(=C)C,"InChI=1S/C6H11NO4/c1-5(2)6(3-4-8)11-7(9)10/h6,8H,1,3-4H2,2H3"
96,CO25C74OOH,OOC(CC(=O)C)C(=O)CC,"InChI=1S/C7H12O4/c1-3-6(9)7(11-10)4-5(2)8/h7,10H,3-4H2,1-2H3"
97,C514O,O=CCC([O])CC=O,"InChI=1S/C5H7O3/c6-3-1-5(8)2-4-7/h3-5H,1-2H2"
98,C1010OOH,O=CCCC(=C)C(=O)CC(C)(C)OO,"InChI=1S/C10H16O4/c1-8(5-4-6-11)9(12)7-10(2,3)14-13/h6,13H,1,4-5,7H2,2-3H3"
99,DIIPRETOH,CC(C)OC(C)(C)O,"InChI=1S/C6H14O2/c1-5(2)8-6(3,4)7/h5,7H,1-4H3"
100,ME2BUOLO,CC(O)C(C)(C)[O],"InChI=1S/C5H11O2/c1-4(6)5(2,3)7/h4,6H,1-3H3"
101,C4MCODBCO2,CC(=O)C=C(C)C(=O)[O],"InChI=1S/C6H7O3/c1-4(6(8)9)3-5(2)7/h3H,1-2H3"
102,C4MCODBCO3,CC(=CC(=O)C)C(=O)O[O],"InChI=1S/C6H7O4/c1-4(3-5(2)7)6(8)10-9/h3H,1-2H3"
103,C46PAN,[O-][N+](=O)OOC(=O)C(=C)CCO,"InChI=1S/C5H7NO6/c1-4(2-3-7)5(8)11-12-6(9)10/h7H,1-3H2"
104,TMB2FUOOH,OOC1(C)C(=O)OC(C)C1(C)O,"InChI=1S/C7H12O5/c1-4-6(2,9)7(3,12-10)5(8)11-4/h4,9-10H,1-3H3"
105,MIBKHO4O,[O]CC(=O)CC(C)(C)O,"InChI=1S/C6H11O3/c1-6(2,9)3-5(8)4-7/h9H,3-4H2,1-2H3"
106,CL2OHCH2O,[O]CC(O)(Cl)Cl,"InChI=1S/C2H3Cl2O2/c3-2(4,6)1-5/h6H,1H2"
107,H3C25CCO3H,OOC(=O)CC(=O)CC(O)C(=O)C,"InChI=1S/C7H10O6/c1-4(8)6(10)2-5(9)3-7(11)13-12/h6,10,12H,2-3H2,1H3"
108,ETBEAOH,CCOC(C)(C)CO,"InChI=1S/C6H14O2/c1-4-8-6(2,3)5-7/h7H,4-5H2,1-3H3"
109,C126NO3,O=CCC1C(CC1(C)C)C(=C)CCO[N+](=O)[O-],"InChI=1S/C12H19NO4/c1-9(5-7-17-13(15)16)10-8-12(2,3)11(10)4-6-14/h6,10-11H,1,4-5,7-8H2,2-3H3"
110,ETBEAO2,CCOC(C)(C)CO[O],"InChI=1S/C6H13O3/c1-4-8-6(2,3)5-9-7/h4-5H2,1-3H3"
111,HM22C4O,[O]CCC(C)(C)CO,"InChI=1S/C6H13O2/c1-6(2,5-8)3-4-7/h8H,3-5H2,1-2H3"
112,C823OOH,OOCC(CCC(=O)O)C(=C)C,"InChI=1S/C8H14O4/c1-6(2)7(5-12-11)3-4-8(9)10/h7,11H,1,3-5H2,2H3,(H,9,10)"
113,C616O2,O=CCCC(=O)C(O[O])C=O,"InChI=1S/C6H7O5/c7-3-1-2-5(9)6(4-8)11-10/h3-4,6H,1-2H2"
114,C88OOH,OOC1C(=O)CCC(=O)C1(C)C,"InChI=1S/C8H12O4/c1-8(2)6(10)4-3-5(9)7(8)12-11/h7,11H,3-4H2,1-2H3"
115,C1013CO2H,COC(=O)CCC1C(CC1(C)C)C(=O)O,"InChI=1S/C11H18O4/c1-11(2)6-7(10(13)14)8(11)4-5-9(12)15-3/h7-8H,4-6H2,1-3H3,(H,13,14)"
116,DIIPRETO2,[O]OC(C)(C)OC(C)C,"InChI=1S/C6H13O3/c1-5(2)8-6(3,4)9-7/h5H,1-4H3"
117,M2BKAOOH,OOC(C)C(C)C(=O)C,"InChI=1S/C6H12O3/c1-4(5(2)7)6(3)9-8/h4,6,8H,1-3H3"
118,MMALANHY,O=C1C=C(C)C(=O)O1,"InChI=1S/C5H4O3/c1-3-2-4(6)8-5(3)7/h2H,1H3"
119,C312COCO3H,OOC(=O)CC(=O)C=O,"InChI=1S/C4H4O5/c5-2-3(6)1-4(7)9-8/h2,8H,1H2"
120,MEK2OO,[O-][O+]=C(C)C(=O)C,InChI=1S/C4H6O3/c1-3(5)4(2)7-6/h1-2H3
121,C7EDCOOH,OOC(C(=O)C)C(O)C(=O)CC,"InChI=1S/C7H12O5/c1-3-5(9)6(10)7(12-11)4(2)8/h6-7,10-11H,3H2,1-2H3"
122,NMXYQO2,[O]OC1(C)C(ON(=O)=O)C(=O)C=C(C)C1=O,"InChI=1S/C8H8NO7/c1-4-3-5(10)7(15-9(12)13)8(2,16-14)6(4)11/h3,7H,1-2H3"
123,PXYL1O2,[O]Oc1ccc(C)cc1,"InChI=1S/C7H7O2/c1-6-2-4-7(9-8)5-3-6/h2-5H,1H3"
124,C827OOH,OOC(C)(C)C(=O)CCC(=O)C,"InChI=1S/C8H14O4/c1-6(9)4-5-7(10)8(2,3)12-11/h11H,4-5H2,1-3H3"
125,NDNPBZLOOH,CCCC12OOC(C=C(N(=O)=O)C2(O)OO)(N(=O)=O)C1ON(=O)=O,"InChI=1S/C9H11N3O12/c1-2-3-7-6(21-12(18)19)8(11(16)17,24-23-7)4-5(10(14)15)9(7,13)22-20/h4,6,13,20H,2-3H2,1H3"
126,CO23C5,CCC(=O)C(=O)C,"InChI=1S/C5H8O2/c1-3-5(7)4(2)6/h3H2,1-2H3"
127,CO23C6,CCCC(=O)C(=O)C,"InChI=1S/C6H10O2/c1-3-4-6(8)5(2)7/h3-4H2,1-2H3"
128,TOL1O,Cc1ccccc1[O],"InChI=1S/C7H7O/c1-6-4-2-3-5-7(6)8/h2-5H,1H3"
129,CH3SOO2,CS(=O)O[O],InChI=1S/CH3O3S/c1-5(3)4-2/h1H3
130,IPROPOLPER,OOC(=O)C(C)O,"InChI=1S/C3H6O4/c1-2(4)3(5)7-6/h2,4,6H,1H3"
131,NDNPETLOOH,CCC12OOC(N(=O)=O)(C(=C(N(=O)=O)C2(O)OO)C)C1ON(=O)=O,"InChI=1S/C9H11N3O12/c1-3-7-6(21-12(18)19)8(11(16)17,24-23-7)4(2)5(10(14)15)9(7,13)22-20/h6,13,20H,3H2,1-2H3"
132,C61O,CC(=O)CC([O])C(C)O,"InChI=1S/C6H11O3/c1-4(7)3-6(9)5(2)8/h5-6,8H,3H2,1-2H3"
133,C3NO3COOOH,OOCC(=O)CON(=O)=O,"InChI=1S/C3H5NO6/c5-3(2-10-8)1-9-4(6)7/h8H,1-2H2"
134,C1312O,O=CCCC(=C)C(=O)CC(C)(C)C([O])CCO,"InChI=1S/C13H21O4/c1-10(5-4-7-14)11(16)9-13(2,3)12(17)6-8-15/h7,12,15H,1,4-6,8-9H2,2-3H3"
135,PROL1MCO3,CC(O)(CC)C(=O)O[O],"InChI=1S/C5H9O4/c1-3-5(2,7)4(6)9-8/h7H,3H2,1-2H3"
136,CH3CHOHCHO,CC(O)C=O,"InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3"
137,C78O,CC(=O)C([O])CC(C)(C)O,"InChI=1S/C7H13O3/c1-5(8)6(9)4-7(2,3)10/h6,10H,4H2,1-3H3"
138,MNO3COC4O,CCC([O])CC(=O)CON(=O)=O,"InChI=1S/C6H10NO5/c1-2-5(8)3-6(9)4-12-7(10)11/h5H,2-4H2,1H3"
139,BZEMUCCO3H,OOC(=O)C1OC1C=CC=O,"InChI=1S/C6H6O5/c7-3-1-2-4-5(10-4)6(8)11-9/h1-5,9H"
140,MACRNB,O=CC(C)(O)CON(=O)=O,"InChI=1S/C4H7NO5/c1-4(7,2-6)3-10-5(8)9/h2,7H,3H2,1H3"
141,COHM2CO3H,CC(O)(C=O)C(=O)OO,"InChI=1S/C4H6O5/c1-4(7,2-5)3(6)9-8/h2,7-8H,1H3"
142,TL4OHNO2O2,[O]OC1(O)C(=CC2(C)OOC1C2O)N(=O)=O,"InChI=1S/C7H8NO8/c1-6-2-3(8(11)12)7(10,15-13)5(4(6)9)14-16-6/h2,4-5,9-10H,1H3"
143,PHIC3O,CC(C)([O])c1ccccc1,"InChI=1S/C9H11O/c1-9(2,10)8-6-4-3-5-7-8/h3-7H,1-2H3"
144,OTNCATECO,CCC1=C(O)C([O])(O)C2(OOC1(C)C2O)N(=O)=O,"InChI=1S/C9H12NO8/c1-3-4-5(11)9(13,14)8(10(15)16)6(12)7(4,2)17-18-8/h6,11-13H,3H2,1-2H3"
145,OTNCATECH,CCc1c(C)cc(N(=O)=O)c(O)c1O,"InChI=1S/C9H11NO4/c1-3-6-5(2)4-7(10(13)14)9(12)8(6)11/h4,11-12H,3H2,1-2H3"
146,DM124O,[O]c1ccc(C)c(C)c1,"InChI=1S/C8H9O/c1-6-3-4-8(9)5-7(6)2/h3-5H,1-2H3"
147,PTCATEC1O,CCc1ccc(C)c(O)c1[O],"InChI=1S/C9H11O2/c1-3-7-5-4-6(2)8(10)9(7)11/h4-5,10H,3H2,1-2H3"
148,DMMBO2,COC(OC)O[O],"InChI=1S/C3H7O4/c1-5-3(6-2)7-4/h3H,1-2H3"
149,MTBKNO3,O=N(=O)OCC(C)(C)C(=O)C,"InChI=1S/C6H11NO4/c1-5(8)6(2,3)4-11-7(9)10/h4H2,1-3H3"
150,NISOPNO3,CC(=CCON(=O)=O)CON(=O)=O,"InChI=1S/C5H8N2O6/c1-5(4-13-7(10)11)2-3-12-6(8)9/h2H,3-4H2,1H3"
151,HNC524CO,OCC(ON(=O)=O)C(O)(CO)C=O,"InChI=1S/C5H9NO7/c7-1-4(13-6(11)12)5(10,2-8)3-9/h2,4,7,9-10H,1,3H2"
152,C720O,CC1=CCC([O])CC1O,"InChI=1S/C7H11O2/c1-5-2-3-6(8)4-7(5)9/h2,6-7,9H,3-4H2,1H3"
153,C139NO3,OCCC(=C)C1(OO[N+](=O)[O-])CC(C)(C)C1CCC(=O)O,"InChI=1S/C13H21NO7/c1-9(6-7-15)13(20-21-14(18)19)8-12(2,3)10(13)4-5-11(16)17/h10,15H,1,4-8H2,2-3H3,(H,16,17)"
154,H3M3C5CHO,CC(O)(CCC=O)CC,"InChI=1S/C7H14O2/c1-3-7(2,9)5-4-6-8/h6,9H,3-5H2,1-2H3"
155,C5ONO34OOH,OOC(C)C(ON(=O)=O)C(=O)C,"InChI=1S/C5H9NO6/c1-3(7)5(4(2)12-10)11-6(8)9/h4-5,10H,1-2H3"
156,IPECO,CCC(C)(C)[O],"InChI=1S/C5H11O/c1-4-5(2,3)6/h4H2,1-3H3"
157,IPROACET,CC(C)OC(=O)C,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3"
158,HODMSO2,[O]OS(C)(C)O,"InChI=1S/C2H7O3S/c1-6(2,4)5-3/h4H,1-2H3"
159,NMXYOL1O2,[O]Oc1c(C)cc(C)cc1N(=O)=O,"InChI=1S/C8H8NO4/c1-5-3-6(2)8(13-12)7(4-5)9(10)11/h3-4H,1-2H3"
160,METLOBPROH,CCC12OOC(C)(C=CC1=O)C2O,"InChI=1S/C9H12O4/c1-3-9-6(10)4-5-8(2,7(9)11)12-13-9/h4-5,7,11H,3H2,1-2H3"
161,DMMBOH,COC(O)OC,"InChI=1S/C3H8O3/c1-5-3(4)6-2/h3-4H,1-2H3"
162,NPHENOOH,OOC1(O)C=CC2OOC1C2ON(=O)=O,"InChI=1S/C6H7NO8/c8-6(15-11)2-1-3-4(12-7(9)10)5(6)14-13-3/h1-5,8,11H"
163,SBUACONEO,CC(=O)OC(C)([O])C(=O)C,"InChI=1S/C6H9O4/c1-4(7)6(3,9)10-5(2)8/h1-3H3"
164,HO1C3O2,OCCCO[O],"InChI=1S/C3H7O3/c4-2-1-3-6-5/h4H,1-3H2"
165,C57NO3,OCC(O)C(C)(C=O)ON(=O)=O,"InChI=1S/C5H9NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h3-4,7,9H,2H2,1H3"
