0,5.534464796605918e-11
1,5.4710078818836826e-11
2,5.42695102707752e-11
3,5.4111303798014286e-11
4,5.398002206390222e-11
5,5.3856083760703786e-11
6,5.3744196223580314e-11
7,5.367402208483894e-11
8,5.368453741985252e-11
9,5.3834761311480616e-11
10,5.4202040998467525e-11
11,5.488148852498846e-11
12,5.602546063397475e-11
13,5.7586617693754865e-11
14,5.922641173750467e-11
15,6.050546687228019e-11
16,6.111955603044487e-11
17,6.104663380050894e-11
18,6.039097270001853e-11
19,5.935772551519754e-11
20,5.82092861106197e-11
21,5.714413677953832e-11
22,5.62645409140065e-11
23,5.5582269883914076e-11
