0,7.116530808572814e-11
1,7.124952737394008e-11
2,7.130719063956184e-11
3,7.136077705650775e-11
4,7.147555285325106e-11
5,7.163668669690098e-11
6,7.181049030929439e-11
7,7.198808403034581e-11
8,7.208335756114747e-11
9,7.20391786549734e-11
10,7.188950466912619e-11
11,7.167796789166592e-11
12,7.144642318339832e-11
13,7.12064219938313e-11
14,7.100162725697768e-11
15,7.083031340872453e-11
16,7.068876974748642e-11
17,7.059813996689754e-11
18,7.05817005947377e-11
19,7.064230352665236e-11
20,7.076649924992608e-11
21,7.092693199015695e-11
22,7.105907449955939e-11
23,7.114659082765314e-11
