0,2.478669365906929e-10
1,2.4833604952029224e-10
2,2.487286356698922e-10
3,2.489632443625466e-10
4,2.4930815845895504e-10
5,2.497039580294249e-10
6,2.500270389762791e-10
7,2.502666014814146e-10
8,2.503154595460652e-10
9,2.5015974493313356e-10
10,2.499080386283204e-10
11,2.4976715099128857e-10
12,2.4990529746010007e-10
13,2.501832584489228e-10
14,2.502099325261964e-10
15,2.498897834424083e-10
16,2.4937677350667825e-10
17,2.488303096169669e-10
18,2.483315994539742e-10
19,2.479530678714785e-10
20,2.4772751716827156e-10
21,2.4765884774145323e-10
22,2.4774866439946165e-10
23,2.4794429890680384e-10
