HEXBO2+NO --> HEXBNO3  6 r:6 p:0 
NO3+PRNO3CO3 --> CH3CHO+NO2  1 r:3 p:2 
PRNO3CO3 --> CH3CHO+NO2  1 r:3 p:2 
HO2+CH3CHOHCO3 --> CH3CHO+HO2+OH  1 r:3 p:2 
CH3CHOHCO3+NO --> CH3CHO+HO2+NO2  1 r:3 p:2 
CH3CHOHCO3+NO3 --> CH3CHO+HO2+NO2  1 r:3 p:2 
CH3CHOHCO3 --> CH3CHO+HO2  1 r:3 p:2 
HCOCO3+HO2 --> CO+HO2+OH  1 r:2 p:1 
HCOCO3+NO --> CO+HO2+NO2  1 r:2 p:1 
HCOCO3+NO2 --> CO+HO2+NO3  1 r:2 p:1 
HCOCO3+NO3 --> CO+HO2+NO2  1 r:2 p:1 
HCOCO3 --> CO+HO2  1 r:2 p:1 
BZEMUCCO2H+OH --> C5DIALO2  1 r:6 p:5 
BZEMUCCO2H --> C5DIALO2+HO2  1 r:6 p:5 
BZEMUCCO3H --> C5DIALO2+OH  1 r:6 p:5 
BZEMUCPAN+OH --> MALDIAL+CO+NO2  1 r:6 p:5 
EPXDLCO3+HO2 --> C3DIALO2+OH  1 r:4 p:3 
EPXDLCO3+NO --> NO2+C3DIALO2  1 r:4 p:3 
EPXDLCO3+NO3 --> NO2+C3DIALO2  1 r:4 p:3 
EPXDLCO3 --> C3DIALO2  1 r:4 p:3 
GLYOO+CO --> GLYOX  1 r:3 p:2 
C6H5CO3+HO2 --> C6H5O2+OH  1 r:7 p:6 
C6H5CO3+NO --> NO2+C6H5O2  1 r:7 p:6 
C6H5CO3+NO3 --> NO2+C6H5O2  1 r:7 p:6 
C6H5CO3 --> C6H5O2  1 r:7 p:6 
MCATEC1O+O3 --> MCATEC1O2  7 r:7 p:0 
C4MDIAL --> CO+HO2+C3MCODBCO3  -1 r:5 p:6 
C4MDIAL --> CO+MC3CODBCO3+HO2  -1 r:5 p:6 
TLEMUCCO2H+OH --> C615CO2O2  1 r:7 p:6 
TLEMUCCO2H --> HO2+C615CO2O2  1 r:7 p:6 
TLEMUCCO3H --> C615CO2O2+OH  1 r:7 p:6 
TLEMUCPAN+OH --> C5DICARB+CO+NO2  1 r:7 p:6 
MGLOO+CO --> MGLYOX  1 r:4 p:3 
NC4CO3+HO2 --> CO+HO2+NOA+OH  1 r:5 p:4 
NC4CO3+NO --> CO+HO2+NOA+NO2  1 r:5 p:4 
NC4CO3+NO3 --> CO+HO2+NOA+NO2  1 r:5 p:4 
NC4CO3 --> CO+HO2+NOA  1 r:5 p:4 
GLYOOC --> CO+HO2+OH  1 r:2 p:1 
MACO2H+OH --> CH3C2H2O2  1 r:4 p:3 
MACO3H --> CH3C2H2O2+OH  1 r:4 p:3 
O3+MPAN --> HCHO+CH3CO3+NO3  1 r:4 p:3 
MGLYOO+CO --> MGLYOX  1 r:4 p:3 
MACROHOOH --> IBUTALOH+CO+HO2+OH  -1 r:4 p:5 
HC4ACHO --> ACETOL+CO+HO2  1 r:5 p:4 
C5HPALD2 --> ACETOL+CO+HO2+OH  1 r:5 p:4 
HC4CO3+HO2 --> HO2+MACR+OH  1 r:5 p:4 
HC4CO3+NO --> HO2+MACR+NO2  1 r:5 p:4 
HC4CO3+NO3 --> HO2+MACR+NO2  1 r:5 p:4 
HC4CO3 --> HO2+MACR  1 r:5 p:4 
CO2C3CO3+HO2 --> CH3COCH2O2+OH  1 r:4 p:3 
CO2C3CO3+NO --> CH3COCH2O2+NO2  1 r:4 p:3 
CO2C3CO3+NO3 --> CH3COCH2O2+NO2  1 r:4 p:3 
CO2C3CO3 --> CH3COCH2O2  1 r:4 p:3 
CO2C3OO+CO --> CO2C3CHO  1 r:5 p:4 
M3BU3ECO3H --> C45O2+OH  1 r:5 p:4 
ACR --> HCHO+CO+HO2  1 r:3 p:2 
C96CO3+HO2 --> C96O2+OH  1 r:10 p:9 
C96CO3+NO --> C96O2+NO2  1 r:10 p:9 
C96CO3+NO3 --> C96O2+NO2  1 r:10 p:9 
C96CO3 --> C96O2  1 r:10 p:9 
PINONIC+OH --> C96O2  1 r:10 p:9 
PINONIC --> C96O2+HO2  1 r:10 p:9 
NC91CO3+HO2 --> NOPINONE+NO2+OH  1 r:10 p:9 
NC91CO3+NO --> NOPINONE+NO2  1 r:10 p:9 
NC91CO3+NO3 --> NOPINONE+NO2  1 r:10 p:9 
NC91CO3 --> NOPINONE+NO2  1 r:10 p:9 
HO2+C918CO3 --> NOPINONE+HO2+OH  1 r:10 p:9 
C918CO3+NO --> NOPINONE+HO2+NO2  1 r:10 p:9 
C918CO3+NO3 --> NOPINONE+HO2+NO2  1 r:10 p:9 
C918CO3 --> NOPINONE+HO2  1 r:10 p:9 
LIMONONIC+OH --> C923O2  1 r:10 p:9 
HO2+C923CO3 --> C923O2+OH  1 r:10 p:9 
C923CO3+NO --> C923O2+NO2  1 r:10 p:9 
C923CO3+NO3 --> C923O2+NO2  1 r:10 p:9 
C923CO3 --> C923O2  1 r:10 p:9 
HOCH2CO2H+OH --> HCHO+HO2  1 r:2 p:1 
HOCH2CO3H --> HCHO+HO2+OH  1 r:2 p:1 
PERPROACID --> C2H5O2+OH  1 r:3 p:2 
PROPACID+OH --> C2H5O2  1 r:3 p:2 
BUTACID+OH --> NC3H7O2  1 r:4 p:3 
PERBUACID --> NC3H7O2+OH  1 r:4 p:3 
BUT2OLAO --> CH3CHO+HO2  2 r:4 p:2 
IBUTOLCO2H+OH --> HOIPRCHO+OH  4 r:4 p:0 
IBUTOLCNO3+OH --> HOIPRCHO+NO2  4 r:4 p:0 
IBUTOLCO --> HO2+HOIPRCHO  4 r:4 p:0 
HOIPRCHO --> CO+HO2+HYPROPO2  -4 r:0 p:4 
HOIPRCHO+NO3 --> HNO3+HOIPRCO3  -4 r:0 p:4 
HOIPRCHO+OH --> HOIPRCO3  -4 r:0 p:4 
IBUTOLOHC+OH --> HOIPRCHO  4 r:4 p:0 
IBUTACID+OH --> IC3H7O2  1 r:4 p:3 
PERIBUACID --> IC3H7O2+OH  1 r:4 p:3 
PENTACID+OH --> NC4H9O2  1 r:5 p:4 
PERPENACID --> NC4H9O2+OH  1 r:5 p:4 
BUT2CO2H+OH --> SC4H9O2  1 r:5 p:4 
BUT2CO3H --> OH+SC4H9O2  1 r:5 p:4 
TBUTCO3H --> TC4H9O2+OH  1 r:5 p:4 
C2H5CHOOA --> C2H5O2+HO2  1 r:3 p:2 
C2H5CHOOA --> C2H6  1 r:3 p:2 
C5H11CO3H --> PEAO2+OH  1 r:6 p:5 
C6CO34 --> C2H5CO3  3 r:6 p:3 
NO3CH2CO2H+OH --> HCHO+NO2  1 r:2 p:1 
NO3CH2CO3H --> HCHO+NO2+OH  1 r:2 p:1 
PRNO3CO2H+OH --> CH3CHO+NO2  1 r:3 p:2 
PRNO3CO3H --> CH3CHO+NO2+OH  1 r:3 p:2 
IPROPOLPER --> CH3CHO+HO2+OH  1 r:3 p:2 
HCOCO2H --> CO+HO2  1 r:2 p:1 
HCOCO2H+OH --> CO+HO2  1 r:2 p:1 
HCOCO3H --> CO+HO2+OH  1 r:2 p:1 
BZFUONOOA --> BZFUONOO  4 r:4 p:0 
BZFUONOOA --> HCOCH2O2+CO+OH  1 r:4 p:3 
MALDALCO2H --> CO+HO2+HCOCO2H  1 r:4 p:3 
MALDIALCO2 --> CO+HO2+GLYOX  1 r:4 p:3 
MALDIALPAN+OH --> CO+GLYOX+NO2  1 r:4 p:3 
EPXDLCO2H+OH --> C3DIALO2  1 r:4 p:3 
EPXDLCO2H --> HO2+C3DIALO2  1 r:4 p:3 
EPXDLCO3H --> C3DIALO2+OH  1 r:4 p:3 
C33CO+OH --> CO+HO2  2 r:3 p:1 
C33CO --> CO+HO2  2 r:3 p:1 
HCOCOHCO3+HO2 --> HO2+GLYOX+OH  1 r:3 p:2 
HCOCOHCO3+NO --> HO2+GLYOX+NO2  1 r:3 p:2 
HCOCOHCO3+NO3 --> HO2+GLYOX+NO2  1 r:3 p:2 
HCOCOHCO3 --> HO2+GLYOX  1 r:3 p:2 
MALDIALO --> HO2+GLYOX  2 r:4 p:2 
C6H5CO3H --> C6H5O2+OH  1 r:7 p:6 
PHCOOH+OH --> C6H5O2  1 r:7 p:6 
MCATEC1O2+HO2 --> MCATEC1OOH  -7 r:0 p:7 
MCATEC1O2+NO --> MCATEC1O+NO2  -7 r:0 p:7 
MCATEC1O2+NO3 --> MCATEC1O+NO2  -7 r:0 p:7 
MCATEC1O2 --> MCATEC1O  -7 r:0 p:7 
MC3ODBCO2H --> CO+CH3COCO2H+HO2  1 r:5 p:4 
C5CO14CO2 --> CO+HO2+MGLYOX  1 r:5 p:4 
C5COO2NO2+OH --> CO+MGLYOX+NO2  1 r:5 p:4 
CH3COCO2H --> HO2+CH3CO3  1 r:3 p:2 
CH3COCO2H+OH --> CH3CO3  1 r:3 p:2 
GAOO+CO --> HOCH2CHO  1 r:3 p:2 
