HEXBO2+NO --> HEXBNO3  6 r:6 p:0 
HC4ACO3H --> ACETOL+CO+HO2+OH  1 r:5 p:4 
MACRNOO+CO --> MACRNO3  1 r:5 p:4 
HC4CCO2H+OH --> HOCH2CHO+CH3CO3  1 r:5 p:4 
HC4CCO3H --> HOCH2CHO+CH3CO3+OH  1 r:5 p:4 
CO+NC4OO --> MVKNO3  1 r:5 p:4 
C58NO3CO3+HO2 --> HO2+MACRNO3+OH  1 r:5 p:4 
C58NO3CO3+NO --> HO2+MACRNO3+NO2  1 r:5 p:4 
C58NO3CO3 --> HO2+MACRNO3  1 r:5 p:4 
C524CO --> HCHO+HOCH2CO3  2 r:5 p:3 
C89CO2 --> C89O2  1 r:9 p:8 
C89CO2H+OH --> C89CO2  -9 r:0 p:9 
C89CO2H --> C89CO2+HO2  -9 r:0 p:9 
C920CO3H --> C920O2+OH  1 r:10 p:9 
HOPINONIC+OH --> C920O2  1 r:10 p:9 
HOPINONIC --> C920O2+HO2  1 r:10 p:9 
C920PAN+OH --> C109OH+CO+NO2  -1 r:10 p:11 
C85CO3H --> C85O2+OH  1 r:9 p:8 
C918NO3+OH --> CH3COCH3+HCOCH2CHO+NO2  3 r:9 p:6 
HO2+C512CO3 --> C512O2+OH  1 r:6 p:5 
C512CO3+NO --> C512O2+NO2  1 r:6 p:5 
C512CO3+NO3 --> C512O2+NO2  1 r:6 p:5 
C512CO3 --> C512O2  1 r:6 p:5 
C817CO3+HO2 --> C817O2+OH  1 r:9 p:8 
C817CO3+NO --> C817O2+NO2  1 r:9 p:8 
C817CO3+NO3 --> C817O2+NO2  1 r:9 p:8 
C817CO3 --> C817O2  1 r:9 p:8 
C729CO2H+OH --> C729O2  1 r:8 p:7 
C729CO2H --> C729O2+HO2  1 r:8 p:7 
C729CO3H --> C729O2+OH  1 r:8 p:7 
C822CO2 --> C822O2  1 r:9 p:8 
C822CO3H+OH --> C822CO3  -9 r:0 p:9 
C822CO3H --> C822CO2+OH  -9 r:0 p:9 
C816CO3H --> C816O2+OH  1 r:9 p:8 
LMLKAO2+NO --> LMLKAO+NO2  9 r:9 p:0 
LMLKAO2+NO3 --> LMLKAO+NO2  9 r:9 p:0 
LMKBOO+CO --> LMLKET  1 r:10 p:9 
HOC2H4CO2H+OH --> HOCH2CH2O2  1 r:3 p:2 
HOC2H4CO3H --> HOCH2CH2O2+OH  1 r:3 p:2 
HOC3H6CO2H+OH --> HO1C3O2  1 r:4 p:3 
HOC3H6CO3H --> HO1C3O2+OH  1 r:4 p:3 
HO2C3CO2H+OH --> IPROPOLO2  1 r:4 p:3 
HO2C3CO3H --> IPROPOLO2+OH  1 r:4 p:3 
HOIPRCO2H+OH --> HYPROPO2  1 r:4 p:3 
HOIPRCO3H --> HYPROPO2+OH  1 r:4 p:3 
PRPAL2CO2H+OH --> PROPALO2  1 r:4 p:3 
PRPAL2CO2H --> PROPALO2+HO2  1 r:4 p:3 
PRPAL2CO3H --> PROPALO2+OH  1 r:4 p:3 
IPRHOCO2H+OH --> CH3COCH3+HO2  1 r:4 p:3 
IPRHOCO3H --> CH3COCH3+HO2+OH  1 r:4 p:3 
CO2C4CO3+HO2 --> MEKAO2+OH  1 r:5 p:4 
CO2C4CO3+NO --> MEKAO2+NO2  1 r:5 p:4 
CO2C4CO3+NO3 --> MEKAO2+NO2  1 r:5 p:4 
CO2C4CO3 --> MEKAO2  1 r:5 p:4 
CO3C4CO2H --> HO2+MEKCO2  1 r:5 p:4 
CO3C4CO2H+OH --> MEKCO2  1 r:5 p:4 
CO3C4CO3H --> MEKCO2+OH  1 r:5 p:4 
HO3C4CO3H --> HO3C4O2+OH  1 r:5 p:4 
HO2C4CO2H+OH --> HO2C4O2  1 r:5 p:4 
HO2C4CO3H --> HO2C4O2+OH  1 r:5 p:4 
HO2+HOBUT2CO3 --> NBUTOLBO2+OH  1 r:5 p:4 
HOBUT2CO3+NO --> NBUTOLBO2+NO2  1 r:5 p:4 
HOBUT2CO3+NO3 --> NBUTOLBO2+NO2  1 r:5 p:4 
HOBUT2CO3 --> NBUTOLBO2  1 r:5 p:4 
HOIBUTCO3H --> OH+SC4H9O2  1 r:5 p:4 
C5PAN3+OH --> CO+HOIPRCHO+NO2  4 r:5 p:1 
C56NO3+OH --> C42CHO+NO2  -1 r:4 p:5 
C56O --> HCHO+HO2+HOIPRCHO  4 r:5 p:1 
C42CHO --> CO+HO2+HOIPRCHO  4 r:5 p:1 
HO2C43CO2H+OH --> BUT2OLO2  1 r:5 p:4 
HO2C43CO3H --> BUT2OLO2+OH  1 r:5 p:4 
C41CO2H --> C2H5O2+CH3CO3  1 r:5 p:4 
C41CO2H+OH --> MEKBO2  1 r:5 p:4 
C41CO3H --> MEKBO2+OH  1 r:5 p:4 
H2M2C3CO3H --> OH+TBUTOLO2  1 r:5 p:4 
PROL1MCO3H --> HO2+MEK+OH  1 r:5 p:4 
CO3C5CO3+HO2 --> DIEKBO2+OH  1 r:6 p:5 
CO3C5CO3+NO --> DIEKBO2+NO2  1 r:6 p:5 
CO3C5CO3+NO3 --> DIEKBO2+NO2  1 r:6 p:5 
CO3C5CO3 --> DIEKBO2  1 r:6 p:5 
HO3C3CO3+HO2 --> C2H5CHO+HO2+OH  1 r:4 p:3 
HO3C3CO3+NO --> C2H5CHO+HO2+NO2  1 r:4 p:3 
HO3C3CO3+NO3 --> C2H5CHO+HO2+NO2  1 r:4 p:3 
HO3C3CO3 --> C2H5CHO+HO2  1 r:4 p:3 
HO3C5CO2H+OH --> HO3C5O2  1 r:6 p:5 
HO3C5CO3H --> HO3C5O2+OH  1 r:6 p:5 
C3COCCO3H --> PEN2ONE1O2+OH  1 r:6 p:5 
CO14O3CHO+NO3 --> HCOCH2O2+HNO3+CO  1 r:4 p:3 
CO14O3CHO+OH --> HCOCH2O2+CO  1 r:4 p:3 
CO14O3CHO --> HCOCH2O2+CO+HO2  1 r:4 p:3 
CO14O3CO2H+OH --> HCOCH2O2  2 r:4 p:2 
MCOCOMOOOH --> HCHO+CH3CO3+OH  1 r:4 p:3 
MCOCOMOXO --> HCHO+CH3CO3  1 r:4 p:3 
C54CO+NO3 --> HNO3+CO+CH3CO3  2 r:5 p:3 
C54CO+OH --> CO+CH3CO3  2 r:5 p:3 
C54CO --> CO+HO2+CH3CO3  2 r:5 p:3 
MECOACETO --> HCHO+CH3CO3  1 r:4 p:3 
C24O3CCO2H+OH --> MECOACETO2  1 r:5 p:4 
M3FOO+CO --> C532CO  1 r:6 p:5 
HO2+INCNCO3 --> MACRNB+NO2+OH  1 r:5 p:4 
INCNCO3+NO --> MACRNB+NO2  1 r:5 p:4 
INCNCO3+NO3 --> MACRNB+NO2  1 r:5 p:4 
INCNCO3 --> MACRNB+NO2  1 r:5 p:4 
CONM2CO2H+OH --> MGLYOX+NO2  1 r:4 p:3 
COHM2CO2H+OH --> HO2+GLYOX  2 r:4 p:2 
COHM2CO2H --> CO+HO2+HCOCO2H  1 r:4 p:3 
COHM2CO3H --> HO2+GLYOX+OH  2 r:4 p:2 
COHM2CO3H --> CO+HCOCO3H+HO2  1 r:4 p:3 
COHM2PAN+OH --> GLYOX+NO3  2 r:4 p:2 
CO2N3CO3H --> MGLYOX+NO2+OH  1 r:4 p:3 
HOCH2COCO2H+OH --> HOCH2CO3  1 r:3 p:2 
HOCH2COCO2H --> HO2+HOCH2CO3  1 r:3 p:2 
H13CO2CO3+HO2 --> HOCH2COCHO+HO2+OH  1 r:4 p:3 
H13CO2CO3+NO --> HOCH2COCHO+HO2+NO2  1 r:4 p:3 
H13CO2CO3+NO3 --> HOCH2COCHO+HO2+NO2  1 r:4 p:3 
H13CO2CO3 --> HOCH2COCHO+HO2  1 r:4 p:3 
H1CO23CHO+OH --> CO+HOCH2CO3  1 r:4 p:3 
H1CO23CHO --> CO+HO2+HOCH2CO3  1 r:4 p:3 
HO2+IEACO3 --> HMVKBO2+OH  1 r:5 p:4 
IEACO3+NO --> HMVKBO2+NO2  1 r:5 p:4 
IEACO3+NO3 --> HMVKBO2+NO2  1 r:5 p:4 
IEACO3 --> HMVKBO2  1 r:5 p:4 
HO2+CH3COCO3 --> CH3CO3+OH  1 r:3 p:2 
CH3COCO3+NO --> NO2+CH3CO3  1 r:3 p:2 
CH3COCO3+NO3 --> NO2+CH3CO3  1 r:3 p:2 
CH3COCO3 --> CH3CO3  1 r:3 p:2 
C534OOH --> CO2H3CHO+OH  1 r:5 p:4 
IECCO3+HO2 --> MACRO2+OH  1 r:5 p:4 
IECCO3+NO --> MACRO2+NO2  1 r:5 p:4 
IECCO3+NO3 --> MACRO2+NO2  1 r:5 p:4 
IECCO3 --> MACRO2  1 r:5 p:4 
C535OOH --> C3MDIALOOH+HO2+OH  1 r:5 p:4 
HO2+HPC52CO3 --> DHPMPAL+HO2+OH  1 r:5 p:4 
HPC52CO3+NO --> DHPMPAL+HO2+NO2  1 r:5 p:4 
HPC52CO3+NO3 --> DHPMPAL+HO2+NO2  1 r:5 p:4 
HPC52CO3 --> DHPMPAL+HO2  1 r:5 p:4 
INDHCO3+HO2 --> MVKNO3+HO2+OH  1 r:5 p:4 
INDHCO3+NO --> MVKNO3+HO2+NO2  1 r:5 p:4 
INDHCO3+NO3 --> MVKNO3+HO2+NO2  1 r:5 p:4 
INDHCO3 --> MVKNO3+HO2  1 r:5 p:4 
C57NO3CO3+HO2 --> HO12CO3C4+NO2+OH  1 r:5 p:4 
C57NO3CO3+NO --> NO2+HO12CO3C4  1 r:5 p:4 
C57NO3CO3+NO3 --> NO2+HO12CO3C4  1 r:5 p:4 
C57NO3CO3+NO3 --> HO2+MACRNO3+NO2  1 r:5 p:4 
C57NO3CO3 --> NO2+HO12CO3C4  1 r:5 p:4 
HO2+INAHPCO3 --> HMVKANO3+OH  1 r:5 p:4 
INAHPCO3+NO --> HMVKANO3+NO2+OH  1 r:5 p:4 
INAHPCO3+NO3 --> HMVKANO3+NO2+OH  1 r:5 p:4 
INAHPCO3 --> HMVKANO3+OH  1 r:5 p:4 
INANCO3+HO2 --> HMVKANO3+NO2+OH  1 r:5 p:4 
INANCO3+NO --> HMVKANO3+NO2  1 r:5 p:4 
INANCO3+NO3 --> HMVKANO3+NO2  1 r:5 p:4 
INANCO3 --> HMVKANO3+NO2  1 r:5 p:4 
HO2+INAHCO3 --> HMVKANO3+HO2+OH  1 r:5 p:4 
INAHCO3+NO --> HMVKANO3+HO2+NO2  1 r:5 p:4 
INAHCO3+NO3 --> HMVKANO3+HO2+NO2  1 r:5 p:4 
INAHCO3 --> HMVKANO3+HO2  1 r:5 p:4 
C58NO3CO3H --> HO2+MACRNO3+OH  1 r:5 p:4 
NMGLYOX --> HCHO+CO+HO2+NO2  1 r:3 p:2 
HMACO3+HO2 --> HCHO+HOCH2CO3+OH  1 r:4 p:3 
HMACO3+NO --> HCHO+HOCH2CO3+NO2  1 r:4 p:3 
HMACO3+NO3 --> HCHO+HOCH2CO3+NO2  1 r:4 p:3 
HMACO3 --> HCHO+HOCH2CO3  1 r:4 p:3 
C811CO3+HO2 --> C811O2+OH  1 r:9 p:8 
C811CO3+NO --> C811O2+NO2  1 r:9 p:8 
C811CO3+NO3 --> C811O2+NO2  1 r:9 p:8 
C811CO3 --> C811O2  1 r:9 p:8 
C98O2 --> C98OH  9 r:9 p:0 
HO2+C88CO3 --> C88O2+OH  1 r:9 p:8 
C88CO3+NO --> C88O2+NO2  1 r:9 p:8 
C88CO3+NO3 --> C88O2+NO2  1 r:9 p:8 
C88CO3 --> C88O2  1 r:9 p:8 
C512CO2H+OH --> C512O2  1 r:6 p:5 
C512CO2H --> C512O2+HO2  1 r:6 p:5 
C512CO3H --> C512O2+OH  1 r:6 p:5 
C817CO3H --> C817O2+OH  1 r:9 p:8 
KLIMONONIC+OH --> C817O2  1 r:9 p:8 
KLIMONONIC --> C817O2+HO2  1 r:9 p:8 
HO2+C626CO3 --> C626O2+OH  1 r:7 p:6 
C626CO3+NO --> C626O2+NO2  1 r:7 p:6 
C626CO3+NO3 --> C626O2+NO2  1 r:7 p:6 
C626CO3 --> C626O2  1 r:7 p:6 
HO2+C823CO3 --> C823O2+OH  1 r:9 p:8 
C823CO3+NO --> C823O2+NO2  1 r:9 p:8 
C823CO3+NO3 --> C823O2+NO2  1 r:9 p:8 
C823CO3 --> C823O2  1 r:9 p:8 
C622CO3+HO2 --> C622O2+OH  1 r:7 p:6 
C622CO3+NO --> C622O2+NO2  1 r:7 p:6 
C622CO3+NO3 --> C622O2+NO2  1 r:7 p:6 
C622CO3 --> C622O2  1 r:7 p:6 
LMLKAOOH --> LMLKAO+OH  9 r:9 p:0 
LMLKAO --> C626CHO+CH3CO3  -9 r:0 p:9 
CO2C4CO2H+OH --> MEKAO2  1 r:5 p:4 
CO2C4CO3H --> MEKAO2+OH  1 r:5 p:4 
HOBUT2CO2H+OH --> NBUTOLBO2  1 r:5 p:4 
HOBUT2CO3H --> NBUTOLBO2+OH  1 r:5 p:4 
C42CO3+HO2 --> HO2+HOIPRCHO+OH  5 r:5 p:0 
C42CO3+NO --> HO2+HOIPRCHO+NO2  5 r:5 p:0 
C42CO3+NO3 --> HO2+HOIPRCHO+NO2  5 r:5 p:0 
C42CO3 --> HO2+HOIPRCHO  5 r:5 p:0 
H13C43CO3+HO2 --> MEKAOH+HO2+OH  1 r:5 p:4 
H13C43CO3+NO --> MEKAOH+HO2+NO2  1 r:5 p:4 
H13C43CO3+NO3 --> MEKAOH+HO2+NO2  1 r:5 p:4 
H13C43CO3 --> MEKAOH+HO2  1 r:5 p:4 
CO35C5CHO --> CO+HO2+MEKCO2  1 r:6 p:5 
CO3C5CO2H --> HO2+DIEKBO2  1 r:6 p:5 
CO3C5CO2H+OH --> DIEKBO2  1 r:6 p:5 
CO3C5CO3H --> DIEKBO2+OH  1 r:6 p:5 
HO3C3CO3H --> C2H5CHO+HO2+OH  1 r:4 p:3 
MALANHYO --> HCOCOHCO3  1 r:4 p:3 
MALNHYOHCO+OH --> CO+HO2  3 r:4 p:1 
NDNPHENO --> HNO3+CO+NC4DCO2H+NO2  1 r:6 p:5 
C6CO4DB+OH --> CO+HO2+C33CO  2 r:6 p:4 
C5CO2OHCO3+HO2 --> CO+HO2+HOCOC4DIAL+OH  1 r:6 p:5 
C5CO2OHCO3+NO --> CO+HO2+HOCOC4DIAL+NO2  1 r:6 p:5 
C5CO2OHCO3+NO3 --> CO+HO2+HOCOC4DIAL+NO2  1 r:6 p:5 
C5CO2OHCO3 --> CO+HO2+HOCOC4DIAL  1 r:6 p:5 
C7CO4DB+OH --> CO+C33CO+CH3CO3  1 r:7 p:6 
C6CO2OHCO3+HO2 --> CO+C5134CO2OH+HO2+OH  1 r:7 p:6 
C6CO2OHCO3+NO --> CO+HO2+NO2+C5134CO2OH  1 r:7 p:6 
C6CO2OHCO3+NO3 --> CO+HO2+NO2+C5134CO2OH  1 r:7 p:6 
C6CO2OHCO3 --> CO+HO2+C5134CO2OH  1 r:7 p:6 
NDNCRESO --> HNO3+CO+NC4MDCO2H+NO2  1 r:7 p:6 
ACCOMECO3+HO2 --> MECOACETO2+OH  1 r:5 p:4 
ACCOMECO3+NO --> MECOACETO2+NO2  1 r:5 p:4 
ACCOMECO3+NO3 --> MECOACETO2+NO2  1 r:5 p:4 
ACCOMECO3 --> MECOACETO2  1 r:5 p:4 
INCNCO2H+OH --> MACRNB+NO2  1 r:5 p:4 
INCNCO3H --> MACRNB+NO2+OH  1 r:5 p:4 
INCNPAN+OH --> MACRNB+NO2+NO3  1 r:5 p:4 
CH3COPAN+OH --> HCHO+CO+NO2  1 r:3 p:2 
COHM2CO3+HO2 --> HO2+GLYOX+OH  2 r:4 p:2 
COHM2CO3+NO --> HO2+GLYOX+NO2  2 r:4 p:2 
COHM2CO3+NO3 --> HO2+GLYOX+NO2  2 r:4 p:2 
COHM2CO3 --> HO2+GLYOX  2 r:4 p:2 
H13CO2CO3H --> HOCH2COCHO+HO2+OH  1 r:4 p:3 
IEACO3H --> HMVKBO2+OH  1 r:5 p:4 
HO2+C47CO3 --> CO2N3CHO+HO2+OH  1 r:5 p:4 
C47CO3+NO --> HO2+NO2+CO2N3CHO  1 r:5 p:4 
C47CO3+NO3 --> HO2+NO2+CO2N3CHO  1 r:5 p:4 
C47CO3 --> HO2+CO2N3CHO  1 r:5 p:4 
HO2+INB1HPCO3 --> MACRNO3+OH  1 r:5 p:4 
INB1HPCO3+NO --> MACRNO3+NO2+OH  1 r:5 p:4 
INB1HPCO3+NO3 --> MACRNO3+NO2+OH  1 r:5 p:4 
INB1HPCO3 --> MACRNO3+OH  1 r:5 p:4 
INB1NACO3+HO2 --> MACRNO3+NO2+OH  1 r:5 p:4 
INB1NACO3+NO --> MACRNO3+NO2  1 r:5 p:4 
INB1NACO3+NO3 --> MACRNO3+NO2  1 r:5 p:4 
INB1NACO3 --> MACRNO3+NO2  1 r:5 p:4 
HO2+INB1NBCO3 --> MVKNO3+NO2+OH  1 r:5 p:4 
INB1NBCO3+NO --> MVKNO3+NO2  1 r:5 p:4 
INB1NBCO3+NO3 --> MVKNO3+NO2  1 r:5 p:4 
INB1NBCO3 --> MVKNO3+NO2  1 r:5 p:4 
IECCO3H --> MACRO2+OH  1 r:5 p:4 
HPC52CO3H --> DHPMPAL+HO2+OH  1 r:5 p:4 
INDHCO3H --> MVKNO3+HO2+OH  1 r:5 p:4 
INDHPAN+OH --> MVKNO3+NO3  1 r:5 p:4 
HO2+MMALNACO3 --> CONM2CHO+HO2+OH  1 r:5 p:4 
MMALNACO3+NO --> HO2+NO2+CONM2CHO  1 r:5 p:4 
MMALNACO3+NO3 --> HO2+NO2+CONM2CHO  1 r:5 p:4 
MMALNACO3 --> HO2+CONM2CHO  1 r:5 p:4 
MMALNBCO3+HO2 --> CO2H3CHO+NO2+OH  1 r:5 p:4 
MMALNBCO3+NO --> CO2H3CHO+NO2  1 r:5 p:4 
MMALNBCO3+NO3 --> CO2H3CHO+NO2  1 r:5 p:4 
MMALNBCO3 --> CO2H3CHO+NO2  1 r:5 p:4 
C57NO3CO3H --> HO12CO3C4+NO2+OH  1 r:5 p:4 
INDHPCO3+HO2 --> MVKNO3+OH  1 r:5 p:4 
INDHPCO3+NO --> MVKNO3+NO2+OH  1 r:5 p:4 
INDHPCO3+NO3 --> MVKNO3+NO2+OH  1 r:5 p:4 
INDHPCO3 --> MVKNO3+OH  1 r:5 p:4 
INAHPCO2H --> HMVKANO3+HO2+OH  1 r:5 p:4 
INAHPCO2H+OH --> HMVKANO3+OH  1 r:5 p:4 
INAHPCO3H --> HMVKANO3+OH  1 r:5 p:4 
INANCO2H+OH --> HMVKANO3+NO2  1 r:5 p:4 
INANCO3H --> HMVKANO3+NO2+OH  1 r:5 p:4 
INANCOCO3+HO2 --> CO23C4NO3+NO2+OH  1 r:5 p:4 
INANCOCO3+NO --> NO2+CO23C4NO3  1 r:5 p:4 
INANCOCO3+NO3 --> NO2+CO23C4NO3  1 r:5 p:4 
INANCOCO3 --> NO2+CO23C4NO3  1 r:5 p:4 
INAHCO2H+OH --> HMVKANO3+HO2  1 r:5 p:4 
INAHCO3H --> HMVKANO3+HO2+OH  1 r:5 p:4 
MMALNACO2H+OH --> HO2+CONM2CHO  1 r:5 p:4 
MMALNAPAN+OH --> CONM2CHO+HO2+NO3  1 r:5 p:4 
A2PANO --> HOCH2CHO+HO2  1 r:3 p:2 
HMACO2H+OH --> HCHO+HOCH2CO3  1 r:4 p:3 
HMACO3H --> HCHO+HOCH2CO3+OH  1 r:4 p:3 
HMGLYOO+CO --> HOCH2COCHO  1 r:4 p:3 
CO235C6CO3+HO2 --> CO235C6O2+OH  1 r:7 p:6 
CO235C6CO3+NO --> CO235C6O2+NO2  1 r:7 p:6 
CO235C6CO3+NO3 --> CO235C6O2+NO2  1 r:7 p:6 
CO235C6CO3 --> CO235C6O2  1 r:7 p:6 
HO2+CHOC3COCO3 --> CHOC3COO2+OH  1 r:5 p:4 
CHOC3COCO3+NO --> CHOC3COO2+NO2  1 r:5 p:4 
CHOC3COCO3+NO3 --> CHOC3COO2+NO2  1 r:5 p:4 
CHOC3COCO3 --> CHOC3COO2  1 r:5 p:4 
C811CO3H --> C811O2+OH  1 r:9 p:8 
PINIC+OH --> C811O2  1 r:9 p:8 
C98OH+OH --> C98O  -9 r:0 p:9 
C98OH --> C98O+HO2  -9 r:0 p:9 
HO2+H3C25C6CO3 --> H3C25C6O2+OH  1 r:7 p:6 
H3C25C6CO3+NO --> H3C25C6O2+NO2  1 r:7 p:6 
H3C25C6CO3+NO3 --> H3C25C6O2+NO2  1 r:7 p:6 
H3C25C6CO3 --> H3C25C6O2  1 r:7 p:6 
HCOCH2CO3+HO2 --> HCOCH2O2+OH  1 r:3 p:2 
HCOCH2CO3+NO --> HCOCH2O2+NO2  1 r:3 p:2 
HCOCH2CO3+NO3 --> HCOCH2O2+NO2  1 r:3 p:2 
HCOCH2CO3 --> HCOCH2O2  1 r:3 p:2 
C919NO3+OH --> CH3COCH3+HCOCH2CHO+NO2  3 r:9 p:6 
C88CO2H+OH --> C88O2  1 r:9 p:8 
C88CO3H --> C88O2+OH  1 r:9 p:8 
C727CO3+HO2 --> C727O2+OH  1 r:8 p:7 
C727CO3+NO --> C727O2+NO2  1 r:8 p:7 
C727CO3+NO3 --> C727O2+NO2  1 r:8 p:7 
C727CO3 --> C727O2  1 r:8 p:7 
C626CO2H+OH --> C626O2  1 r:7 p:6 
C626CO2H --> HO2+C626O2  1 r:7 p:6 
C626CO3H --> C626O2+OH  1 r:7 p:6 
C626O --> C622CO3  -1 r:6 p:7 
C823CO3H --> C823O2+OH  1 r:9 p:8 
LIMONIC+OH --> C823O2  1 r:9 p:8 
C622CO2H+OH --> C622O2  1 r:7 p:6 
C622CO3H --> C622O2+OH  1 r:7 p:6 
CO23C4CO3+HO2 --> BIACETO2+OH  1 r:5 p:4 
CO23C4CO3+NO --> BIACETO2+NO2  1 r:5 p:4 
CO23C4CO3+NO3 --> BIACETO2+NO2  1 r:5 p:4 
CO23C4CO3 --> BIACETO2  1 r:5 p:4 
C42CO3H --> HO2+HOIPRCHO+OH  5 r:5 p:0 
C5PAN13+OH --> CO+HOIPRCHO+NO2  4 r:5 p:1 
H13C43CO3H --> MEKAOH+HO2+OH  1 r:5 p:4 
C5CO34CO3+HO2 --> C5CO23O2+OH  1 r:6 p:5 
C5CO34CO3+NO --> C5CO23O2+NO2  1 r:6 p:5 
C5CO34CO3+NO3 --> C5CO23O2+NO2  1 r:6 p:5 
C5CO34CO3 --> C5CO23O2  1 r:6 p:5 
C4CO2DBCO3+HO2 --> CO+HO2+C33CO+OH  1 r:5 p:4 
C4CO2DBCO3+NO --> CO+HO2+C33CO+NO2  1 r:5 p:4 
C4CO2DBCO3+NO3 --> CO+HO2+C33CO+NO2  1 r:5 p:4 
C4CO2DBCO3 --> CO+HO2+C33CO  1 r:5 p:4 
C5COOHCO3H --> CO+HO2+HOCOC4DIAL+OH  1 r:6 p:5 
C5CO2OHPAN+OH --> CO+HOCOC4DIAL+NO2  1 r:6 p:5 
C5CO2DBCO3+HO2 --> CH3CO3+C33CO+OH  1 r:6 p:5 
C5CO2DBCO3+NO --> C33CO+NO2+CH3CO3  1 r:6 p:5 
C5CO2DBCO3+NO3 --> C33CO+NO2+CH3CO3  1 r:6 p:5 
C5CO2DBCO3 --> C33CO+CH3CO3  1 r:6 p:5 
C6COOHCO3H --> CO+C5134CO2OH+HO2+OH  1 r:7 p:6 
C6CO2OHPAN+OH --> CO+NO2+C5134CO2OH  1 r:7 p:6 
MMALANHYO --> CO2H3CO3  1 r:5 p:4 
C23O3CCO3+HO2 --> MCOCOMOXO2+OH  1 r:5 p:4 
C23O3CCO3+NO --> MCOCOMOXO2+NO2  1 r:5 p:4 
C23O3CCO3+NO3 --> MCOCOMOXO2+NO2  1 r:5 p:4 
C23O3CCO3 --> MCOCOMOXO2  1 r:5 p:4 
ACCOMECO3H --> MECOACETO2+OH  1 r:5 p:4 
ACCOMEPAN+OH --> CO+NO2+METACETHO  1 r:5 p:4 
C31CO3+HO2 --> CO+CHOOCHO+HO2+OH  1 r:4 p:3 
C31CO3+NO --> CO+CHOOCHO+HO2+NO2  1 r:4 p:3 
C31CO3+NO3 --> CO+CHOOCHO+HO2+NO2  1 r:4 p:3 
C31CO3 --> CO+CHOOCHO+HO2  1 r:4 p:3 
INB1HPCO2H+OH --> MACRNO3+OH  1 r:5 p:4 
INB1HPCO3H --> MACRNO3+OH  1 r:5 p:4 
INB1NACO2H+OH --> MACRNO3+NO2  1 r:5 p:4 
INB1NACO3H --> MACRNO3+NO2+OH  1 r:5 p:4 
INB1NBCO2H+OH --> MVKNO3+NO2  1 r:5 p:4 
INB1NBCO3H --> MVKNO3+NO2+OH  1 r:5 p:4 
MMALNBCO2H+OH --> CO2H3CHO+NO2  1 r:5 p:4 
MMALNBPAN+OH --> CO2H3CHO+NO2+NO3  1 r:5 p:4 
INDHPCO3H --> MVKNO3+OH  1 r:5 p:4 
INDHPPAN+OH --> MVKNO3+NO3  1 r:5 p:4 
INANCOCO2H+OH --> NO2+CO23C4NO3  1 r:5 p:4 
INANCOPAN+OH --> CO23C4NO3+NO3  1 r:5 p:4 
HMVKNO3 --> HOCH2CHO+CO+HO2+NO2  1 r:4 p:3 
C235C6CO3H --> CO235C6O2+OH  1 r:7 p:6 
CHOC3COOOH --> CHOC3COO2+OH  1 r:5 p:4 
H3C25CCO2H+OH --> H3C25C6O2  1 r:7 p:6 
H3C25CCO2H --> H3C25C6O2+HO2  1 r:7 p:6 
H3C25CCO3H --> H3C25C6O2+OH  1 r:7 p:6 
HCOCH2CO2H --> HCOCH2O2+HO2  1 r:3 p:2 
HCOCH2CO2H+OH --> HCOCH2O2  1 r:3 p:2 
HCOCH2CO3H --> HCOCH2O2+OH  1 r:3 p:2 
C87CO3+HO2 --> C87O2+OH  1 r:9 p:8 
C87CO3+NO --> C87O2+NO2  1 r:9 p:8 
C87CO3+NO3 --> C87O2+NO2  1 r:9 p:8 
C87CO3 --> C87O2  1 r:9 p:8 
CO123C5CHO+NO3 --> HNO3+CHOC2CO3+CO  1 r:6 p:5 
CO123C5CHO+OH --> CHOC2CO3+CO  1 r:6 p:5 
CO123C5CHO --> CHOC2CO3+HO2+CO  1 r:6 p:5 
C718CO3+HO2 --> C718O2+OH  1 r:8 p:7 
C718CO3+NO --> C718O2+NO2  1 r:8 p:7 
C718CO3+NO3 --> C718O2+NO2  1 r:8 p:7 
C718CO3 --> C718O2  1 r:8 p:7 
HO2+C513O2 --> C513OOH  5 r:5 p:0 
CO13C3CO2H+OH --> HCOCH2CO3  1 r:4 p:3 
CO13C3CO2H --> HCOCH2CO3+HO2  1 r:4 p:3 
CO25C6CO3+HO2 --> C627O2+OH  1 r:7 p:6 
CO25C6CO3+NO --> NO2+C627O2  1 r:7 p:6 
CO25C6CO3+NO3 --> NO2+C627O2  1 r:7 p:6 
CO25C6CO3 --> C627O2  1 r:7 p:6 
C727CO3H --> C727O2+OH  1 r:8 p:7 
C511CO3+HO2 --> C511O2+OH  1 r:6 p:5 
C511CO3+NO --> C511O2+NO2  1 r:6 p:5 
C511CO3+NO3 --> C511O2+NO2  1 r:6 p:5 
C511CO3 --> C511O2  1 r:6 p:5 
HO2+C517CO3 --> C517O2+OH  1 r:6 p:5 
C517CO3+NO --> C517O2+NO2  1 r:6 p:5 
C517CO3+NO3 --> C517O2+NO2  1 r:6 p:5 
C517CO3 --> C517O2  1 r:6 p:5 
C731CO2 --> C731O2  1 r:8 p:7 
HO2+HO13C3CO3 --> HOC2H4CHO+HO2+OH  1 r:4 p:3 
HO13C3CO3+NO --> HOC2H4CHO+HO2+NO2  1 r:4 p:3 
