,0,1,pr  0,dg  0,cl  0,bt  0,ev  0,pr  1,dg  1,cl  1,bt  1
C51OH,0.27580889662665015,0.29355992166586115,0.0001051235119053352,0.0005649717514124294,0.0021902244925974135,0.0,6.455872690039483e-06,0.0001017263746480505,0.000564652738565782,0.0018872133946971248,0.0
C5CO24O,0.0,0.0,9.063528721197899e-05,0.0008474576271186442,0.0022979788136222134,2.155162092135574e-06,8.866308456822099e-09,9.442953180699285e-05,0.000846979107848673,0.0018899706944690744,2.1527285994459356e-06
CH2CL2,0.6734374651478566,0.6734130789395879,6.722810500006539e-05,0.0002824858757062147,0.0011430459338015498,0.0,2.6429166669927403e-16,6.684693405271742e-05,0.000282326369282891,0.0011840928498229753,0.0
HO2CO3C4O,0.0,0.0,0.00015228263115976543,0.0008474576271186442,0.0029286453306862597,3.991040911362174e-06,2.7456107576008653e-09,0.00015370577404167146,0.000846979107848673,0.002537827960179687,3.827073065681663e-06
INB1HPCO2H,0.0,0.13114933094593,0.00012530848887594976,0.0005649717514124294,0.0032507224187773302,0.0,5.257185854771759e-08,0.00012454498777597633,0.000564652738565782,0.002627149308781621,0.0
TRICLETH,0.6374827701293242,0.6374588993729845,6.722810500006539e-05,0.0002824858757062147,0.0014565822216241623,0.0,2.6429166669927403e-16,6.684693405271742e-05,0.000282326369282891,0.0012515085353987058,0.0
APINCOH,0.14927102817930474,0.10809669717623205,0.00010304500763087296,0.0005649717514124294,0.0033520161276236016,0.0,5.498782482517258e-09,0.00010089863855508166,0.000564652738565782,0.003091862146873773,0.0
C101O,0.0,0.0014907749396669454,0.0001772401830094171,0.0008474576271186442,0.0007051662504869953,4.789249093634609e-07,6.600026551208408e-14,0.00017638341609064125,0.000846979107848673,0.000655941853104136,4.783841332102078e-07
C111O,0.0,0.02079659668960832,0.000268604602204659,0.0005649717514124294,0.0,0.0,3.9203690599188114e-08,0.00026942486730224574,0.000564652738565782,0.0,0.0
C121O,0.0,0.03809134559682151,0.00020321805538280483,0.0005649717514124294,0.0,0.0,2.9134613799958272e-09,0.00020141721559056728,0.000564652738565782,0.0,0.0
C24O3CCO2H,0.45260940907041436,0.4755477895631134,0.00011682304529353999,0.0005649717514124294,0.001385155720229366,1.0376706369541653e-06,3.1609837420193465e-08,0.0001196622130471421,0.000564652738565782,0.0011773936320235566,1.0364989552887837e-06
C510OH,0.21332105020654202,0.04806621575200058,9.186747030982634e-05,0.0005649717514124294,0.00248423969661641,0.0,1.1623860527603576e-11,9.050766431121237e-05,0.000564652738565782,0.0019696949289261974,0.0
C511CHO,0.0,0.0,0.00017919198124865821,0.0005649717514124294,0.0034650943354913658,0.00013753126980554052,1.9387331129784456e-05,0.0001943889332226943,0.000564652738565782,0.0030294109125472276,0.00013330971178791127
C520OOA,0.0,0.0,0.00015295693808099582,0.0005649717514124294,0.0020322190982824642,3.6637755566304755e-05,5.32580041440309e-06,0.00016070011387284036,0.000564652738565782,0.002373047824309232,3.6596386190580905e-05
C57OH,0.07160474708469021,0.1256237322362801,8.09100552558157e-05,0.0005649717514124294,0.0026448077366876994,0.0,2.0925449802682335e-07,8.715830781141204e-05,0.000564652738565782,0.0020464309127702614,0.0
C58OH,0.14612420179872498,0.14515089986872792,0.00010291288771250394,0.0002824858757062147,0.0,0.0,4.86495366408446e-07,0.0001119054736230154,0.000282326369282891,0.0,0.0
C628OOA,0.0,0.0,0.00012493354666246945,0.0005649717514124294,0.00391747219948348,0.00012547832625322674,1.945779060533841e-06,0.00012891971940970023,0.000564652738565782,0.0036272955042572267,0.00013665840072038272
C629OOA,0.0,0.0,7.496201794728852e-05,0.0005649717514124294,0.003989558300699608,3.192832729089739e-06,5.381719626194312e-15,7.484295313055725e-05,0.000564652738565782,0.004010821813683711,3.1892275547347194e-06
C6CO134,0.12099018812008197,0.27085704984288683,0.00012919388276256958,0.0005649717514124294,0.0030109753919010398,8.381185913860565e-06,3.4567053580878105e-09,0.00011452746276367472,0.000564652738565782,0.002578199187652322,8.69064508665211e-06
C6CYTONO,0.0,0.0,0.00035338859677726183,0.0005649717514124294,0.0015584078712544715,9.578498187269218e-06,7.753715440499128e-10,0.00034987170968817343,0.000564652738565782,0.001562932702148907,9.88660541967763e-06
