,source,target,flux
2899,HOIPRCO3,C4PAN4,[8.95632115 8.94097822]
2900,MIPKBOOH,MIPKBO,[ -inf 15.05785135]
2901,MIPKBNO3,MIPKBO,[ -inf 14.88542085]
2902,MIPKBO2,MIPKBO,[11.17250869 13.64089133]
2903,C718CO3,C718PAN,[8.95632115 8.94097822]
2904,C41OOH,C41O,[ -inf 14.79055252]
2905,C41O2,C41O,[11.00468858 13.47143611]
2906,C5DIALO2,C5DIALOOH,[9.21771153 9.17162488]
2907,MNCATECOOH,MNCATECO,[ -inf 14.79055252]
2908,MNCATECO2,MNCATECO,[11.18355898 13.65188688]
2909,MNNCATCOOH,MNNCATECO,[ -inf 14.79055252]
2910,MNNCATECO2,MNNCATECO,[11.18355898 13.65188688]
2911,BU1ENO3O,CO3C4NO3,[24.67082936 24.68146474]
2912,BU1ENO3O2,CO3C4NO3,[ 9.97618327 12.44775613]
2913,MPRANO3OOH,MPRANO3O,[ -inf 14.79055252]
2914,MPRANO3O2,MPRANO3O,[ 9.30699546 11.42179358]
2915,C920CO3,C920PAN,[8.95632115 8.94097822]
2916,MPRBNO3CO3,MPRBNO3PAN,[8.95632115 8.94097822]
2917,MPRKAO2,MPRKAOOH,[9.21771153 9.17162488]
2918,MTNCATCOOH,MTNCATECO,[ -inf 14.79055252]
2919,MTNCATECO2,MTNCATECO,[11.18355898 13.65188688]
2920,MTNNCATOOH,MTNNCATCO,[ -inf 14.79055252]
2921,MTNNCATCO2,MTNNCATCO,[11.18355898 13.65188688]
2922,MVKOHAOOH,MVKOHAO,[ -inf 15.05785135]
2923,MVKOHAO2,MVKOHAO,[11.3585383 13.82797447]
2924,MVKOHBO2,MVKOHBOOH,[9.16478687 9.11870022]
2925,MVKO2,MVKOOH,[9.16478687 9.11870022]
2926,C624CO3,C624PAN,[8.95632115 8.94097822]
2927,MXNCATCOOH,MXNCATECO,[ -inf 14.79055252]
2928,MXNCATECO2,MXNCATECO,[11.18355898 13.65188688]
2929,MXNNCATOOH,MXNNCATCO,[ -inf 14.79055252]
2930,MXNNCATCO2,MXNNCATCO,[11.18355898 13.65188688]
2931,C5O45OHCO3,C5O45OHPAN,[8.95632115 8.94097822]
2932,HC3CCO3,C4PAN8,[8.95632115 8.94097822]
2933,MXYLCO3,MXYLPAN,[8.95632115 8.94097822]
2934,C615CO3,C615PAN,[8.95632115 8.94097822]
2935,MXOHNO2OOH,MXYOHNO2O,[ -inf 14.79055252]
2936,MXYOHNO2O2,MXYOHNO2O,[10.26852716 12.71266766]
2937,BUT2OLO2,BUT2OLOOH,[9.16478687 9.11870022]
2938,C512CO3,C512PAN,[8.95632115 8.94097822]
