,source,target,flux
0,C51O2,C51OH,[19.38153922 20.59053152]
1,C51NO324CO,C5CO24O,[ -inf 14.08411172]
2,CO3C4NO3OH,HO2CO3C4O,[ -inf 15.65154328]
3,INB1HPCO3,INB1HPCO2H,[15.09718847 17.76327319]
4,APINCO2,APINCOH,[17.58204629 18.20357225]
5,C101OOH,C101O,[ -inf 20.59245853]
6,C101O2,C101O,[22.80804407 25.00611406]
7,C111OOH,C111O,[ -inf 20.86916016]
8,C111O2,C111O,[23.16316149 25.27928765]
9,C121OOH,C121O,[ -inf 21.12137485]
10,C121O2,C121O,[23.48229431 25.52429377]
11,TLFUONOO,C24O3CCO2H,[21.12783948 21.69074574]
12,C510O2,C510OH,[18.85435118 16.69939024]
13,C57O2,C57OH,[15.16416039 18.046142 ]
14,C58O2,C58OH,[17.4543337 18.32364696]
15,C6CO34HO1,C6CO134,[15.12337111 20.53351282]
16,C6CYTONOOH,C6CYTONO,[ -inf 19.63999536]
17,C6CYTONO2,C6CYTONO,[21.1804341 23.52471576]
18,C719O2,C719OH,[18.7520607 19.48632403]
19,C721OOH,C721O,[ -inf 20.95055378]
20,C721O2,C721O,[21.51010276 23.19512406]
21,C812O2,C812OH,[18.935294 18.25451498]
22,C85OOH,C85O,[ -inf 23.00451741]
23,C85O2,C85O,[22.42400451 24.86151418]
24,C91OOH,C91O,[ -inf 20.54348277]
25,C91O2,C91O,[22.67432729 24.96415037]
26,C920OOH,C920O,[ -inf 19.22390979]
27,C920O2,C920O,[23.78194928 22.96627262]
28,C921OOH,C921O,[ -inf 19.51898354]
29,C921O2,C921O,[23.78333979 22.96650815]
30,CH3O2,CH3O2NO2,[26.48775206 27.86110722]
31,BZFUONOO,CO14O3CO2H,[20.88584014 21.25819476]
32,CO2C3OO,CO2C3CO2H,[21.48738954 21.68094456]
33,CO3C75OOH,CO3C75O,[ -inf 19.48031321]
34,CO3C75O2,CO3C75O,[21.66358185 24.1381354 ]
35,CO3C85OOH,CO3C85O,[ -inf 19.5221119]
36,CO3C85O2,CO3C85O,[21.51820654 23.95548002]
37,CRESO2,CRESOH,[19.86845239 20.19161115]
38,DMMALYO2,DMMALYOH,[15.72098319 17.49620066]
39,EBENZOLO2,EBENZOLOH,[19.17695514 19.49261985]
40,NC4EDCO2,EMALANHY,[20.04708036 24.28979728]
41,EMALANHYO2,EMALNHY2OH,[14.64552566 18.07544349]
42,EOCOCH2OOH,EOCOCH2O,[ -inf 18.71466738]
43,EOCOCH2O2,EOCOCH2O,[21.67943951 22.78908003]
