,APINENE,BENZAL,BENZENE,BUT1ENE,BUT2CHO,C2H2,C2H4,C2H5OH,C2H6,C3H6,C3H7CHO,C3H8,C3ME3CHO,C4H6,C4H9CHO,C5H11CHO,C5H8,CH2CL2,CH3CHO,CH3COCH3,CH3O2,CH3OH,CH4,CO,CYHEXONE,EBENZ,ETHACET,HCHO,HEX2ONE,HNO3,HO2,HONO,IC4H10,IC5H12,IPRCHO,LIMONENE,MACR,MEK,MEPROPENE,METHTOL,MPRK,MVK,NC10H22,NC11H24,NC12H26,NC4H10,NC5H12,NC6H14,NC7H16,NC8H18,NC9H20,NO,NO2,NOY,NPROPOL,O3,OETHTOL,OH,OXYL,PAN,PBENZ,PETHTOL,PXYL+MXYL,STYRENE,TM123B,TM124B,TM135B,TOLUENE,TRICLETH
count,2728.0,2298.0,2809.0,2809.0,2597.0,2809.0,2809.0,2809.0,2809.0,2809.0,2654.0,2809.0,2672.0,714.0,2661.0,2561.0,2809.0,2728.0,2809.0,2809.0,2089.0,2809.0,2809.0,2846.0,2415.0,2802.0,2672.0,1928.0,2672.0,2599.0,2090.0,2207.0,2809.0,2809.0,2728.0,2688.0,2696.0,2728.0,2809.0,2501.0,2676.0,2829.0,2728.0,2728.0,2728.0,2809.0,2809.0,2809.0,2809.0,2849.0,2728.0,2878.0,2878.0,2524.0,2800.0,2880.0,2300.0,2075.0,2778.0,2092.0,2495.0,2517.0,2802.0,2728.0,2097.0,2485.0,2428.0,2802.0,2728.0
mean,1.0336234970674487e-10,1.3793468233246302e-11,1.4615240133335326e-10,3.1561018475257757e-11,2.2227989988448213e-11,3.77399686936064e-10,6.37043048286413e-10,5.136059397209222e-09,4.269230371735874e-09,1.98723288164877e-10,1.4216808590806333e-11,1.6989907949939809e-09,2.8249752994011977e-11,3.174171446864026e-11,2.437540774145059e-11,2.0183920343615776e-11,1.1342506614124238e-10,3.823824046920821e-11,4.293256022152172e-09,2.409004257814232e-09,22896924.651072282,3.3050903114101193e-09,1.8347115645030247e-06,2.2786146441387848e-07,1.7932484472049692e-11,8.072421404847591e-11,4.7150535179640725e-11,9.189414164374125e-09,3.73262874251497e-11,7.124867442852687e-10,6713897.015846252,4.3644148855973174e-10,6.91680306646349e-10,7.432533112040723e-10,4.9919222873900294e-11,5.1807373511904757e-11,2.584810098578743e-11,6.71325879765396e-11,5.3066656854564096e-11,1.7582095161935226e-11,2.9249020926756355e-11,1.8602242935250557e-10,1.242404288856305e-10,1.9532640395894426e-10,2.905762829912023e-10,1.3864475786189668e-09,3.3691035277922774e-10,9.006243790565196e-11,6.57445576503631e-11,2.315846405447654e-11,1.4426005865102642e-10,3.267598090107471e-09,1.3190618258940924e-08,1.9481835730590493e-08,2.5348698782240475e-10,2.7453649841806092e-08,8.522134782608697e-12,580944.3729775903,6.95857522350285e-11,1.3504631134480562e-10,1.1557086172344691e-11,1.579337703615415e-11,1.1276824385721338e-10,2.7930630498533725e-11,6.5703004291845494e-12,2.756854325955735e-11,1.2691585667215814e-11,4.752185360050849e-10,1.1727228739002933e-11
std,8.459523607404882e-11,1.2536019773184408e-11,8.7933891318118e-11,1.6961808081715104e-11,2.2976559290981316e-11,2.443104678868951e-10,3.9245776310922753e-10,4.43580593230141e-09,5.186806177073052e-09,1.1907357920956289e-10,1.3898940193793686e-11,1.470223154718686e-09,2.7793964558996757e-11,1.8562227007246385e-11,2.1719043484478703e-11,2.033267901948185e-11,1.024695540434456e-10,4.1015133216312176e-11,3.1563401053760345e-09,1.0272289878741533e-09,28629195.0378946,2.4277673910563576e-09,1.416201763339767e-07,5.7486148252674346e-08,1.8416063603010933e-11,6.83765689048752e-11,4.548119618413974e-11,5.289147632620752e-09,3.335271259251103e-11,7.831255191799788e-10,8929539.728771271,2.4091339737336794e-10,6.216821950032372e-10,6.321023851797174e-10,4.221693263296148e-11,5.2689179226984757e-11,2.372165327971178e-11,5.488232408462933e-11,3.1303821756103716e-11,2.477874844475686e-11,2.805919438918426e-11,1.404028577461436e-10,1.1536019927556051e-10,2.095094609855904e-10,2.6980726652748613e-10,1.1671556430485549e-09,2.8331419466624886e-10,8.151940701786792e-11,5.6033201782203015e-11,1.8417875960352472e-11,1.3394953188983495e-10,6.6862359129671416e-09,9.105898693356062e-09,1.397280933532184e-08,1.9648611799954214e-10,1.5994750427249604e-08,1.20004224555589e-11,837214.1855581737,6.488697699032186e-11,2.737052170083631e-10,1.3141183077219296e-11,2.8236315074537445e-11,1.0158086638083033e-10,2.995897802538439e-11,9.569496049060352e-12,3.925918173336051e-11,1.65877560023818e-11,4.0621484380388744e-10,1.2578259861371068e-11
min,2.19e-12,9.9e-13,4.740337657230616e-11,9.027937475940549e-12,1.9000000000000002e-13,1.2583984124584506e-10,9.066203087350227e-11,1.1501726668601831e-09,1.0785402646804743e-09,2.234756440391655e-11,0.0,3.337715881252929e-10,7.600000000000001e-13,1.0625485674021843e-11,2.7000000000000002e-12,1.3e-13,3.9452822793745645e-12,4.05e-12,1.2892208274350707e-09,9.565596938283731e-10,-91957000.00000001,7.890940023875984e-10,1.5550239234449763e-06,1.3265786000000004e-07,3.4000000000000007e-13,1.0719116790398908e-11,2.1700000000000002e-12,0.0,4.3400000000000005e-12,7.36783e-13,-18103225.0,1.4433474324048817e-10,1.1681795019630625e-10,1.0178416667456659e-10,9.67e-12,1.02e-12,9.8e-13,1.4810000000000002e-11,1.2295391224927922e-11,1.3600000000000003e-12,1.6100000000000002e-12,4.210000000000001e-12,8.980000000000001e-12,2.067e-11,2.1010000000000004e-11,2.2134205297727019e-10,6.058783843243084e-11,1.482287354674182e-11,1.3362929274280385e-11,5.08695613760701e-12,1.0430000000000001e-11,-2.8987487804878158e-11,2.0815407142857145e-09,3.4926579220138205e-09,6.335760463313843e-11,9.4646e-10,1.2e-12,-1319912.5,1.0372631035702113e-11,1.15e-12,1.3600000000000003e-12,1.3000000000000001e-12,1.93141965414369e-11,2.9600000000000003e-12,1.1600000000000001e-12,1.1600000000000001e-12,1.1100000000000001e-12,1.0098726774652525e-10,1.2400000000000002e-12
25%,3.289e-11,5.6e-12,8.656268765377647e-11,2.1107012764307502e-11,4.8500000000000005e-12,2.1707372614908273e-10,3.7473639427714274e-10,2.3344245238495565e-09,2.024522508003572e-09,1.2799059613152205e-10,3.92e-12,8.223649370074986e-10,7.44e-12,2.035539469837613e-11,8.04e-12,4.5900000000000004e-12,2.975130899200491e-11,1.77225e-11,2.4845249058516927e-09,1.6529785077487467e-09,6583370.000000001,1.7071745243962465e-09,1.7578947368421054e-06,1.8767808125000005e-07,3.840000000000001e-12,3.985104117826605e-11,1.3100000000000002e-11,5.185183333333333e-09,1.2350000000000001e-11,2.4216221875e-10,1685787.6250000002,2.672497665933971e-10,3.2124936303984217e-10,3.640280784596264e-10,1.962e-11,1.347e-11,8.959999999999999e-12,2.7740000000000003e-11,3.319001312250482e-11,3.07e-12,8.459999999999999e-12,8.607659306604862e-11,5.87425e-11,9.053e-11,1.37385e-10,6.358013333843734e-10,1.6394356281716584e-10,4.206491141642948e-11,3.417404863586459e-11,1.228181182953377e-11,6.82075e-11,4.2279205487804886e-10,7.005433339140535e-09,1.0638024212323132e-08,1.2997626244592369e-10,1.6831624999999998e-08,1.8e-12,37407.775,3.1858795323942206e-11,3.0045833333333334e-11,4.52e-12,1.88e-12,5.867300871236255e-11,1.2945e-11,1.6600000000000002e-12,3.65e-12,3.73e-12,2.538579024086965e-10,5.437500000000001e-12
50%,8.331e-11,9.55e-12,1.185084414307654e-10,2.664564532094143e-11,1.44e-11,2.9572362692773595e-10,5.077073728916128e-10,3.531456077137377e-09,3.0247330327910507e-09,1.6455933788338552e-10,9.650000000000002e-12,1.2807982026253706e-09,1.9120000000000004e-11,2.5941364309861898e-11,1.71e-11,1.373e-11,8.666685662888388e-11,2.5270000000000004e-11,3.257203613685295e-09,2.105515246755371e-09,19137050.000000004,2.4355689881386446e-09,1.807177033492823e-06,2.1216545000000004e-07,1.1920000000000001e-11,6.180977815404531e-11,3.2210000000000004e-11,7.664466666666668e-09,2.6370000000000002e-11,5.233504375000001e-10,4007477.5,3.5632314470192197e-10,4.887908968740183e-10,5.460421176894395e-10,3.587e-11,3.4305000000000005e-11,1.8427698149172495e-11,4.887e-11,4.3750471843301805e-11,8.090000000000001e-12,1.9970000000000003e-11,1.2944101802085736e-10,9.319e-11,1.291e-10,2.1795e-10,1.020550271109964e-09,2.3641136956968117e-10,6.009273059489926e-11,4.9070428810472236e-11,1.7083038789748528e-11,1.0820000000000001e-10,1.3967400975609758e-09,1.0198685907012197e-08,1.4260608464955574e-08,1.8261897806022255e-10,2.464e-08,3.2900000000000003e-12,392059.5,4.8158644094331235e-11,5.780000000000001e-11,6.99e-12,4.02e-12,8.062549496528731e-11,1.8460000000000003e-11,2.74e-12,1.568e-11,6.75e-12,3.5299219276537726e-10,7.75e-12
75%,1.5018000000000002e-10,1.7270000000000002e-11,1.8446096535745223e-10,3.6985620895020426e-11,3.204e-11,4.656074126096268e-10,7.887596685994697e-10,6.3472491615617505e-09,4.458769809293581e-09,2.3363362785912757e-10,2.0420000000000002e-11,2.018714906492735e-09,4.0620000000000004e-11,3.577752819095641e-11,3.435e-11,3.01e-11,1.616918966956789e-10,4.02e-11,5.161152252877485e-09,2.8832280856469944e-09,34610500.0,4.309667243809191e-09,1.8703349282296653e-06,2.5303387250000005e-07,2.649e-11,9.820435147501278e-11,6.739000000000001e-11,1.1765083333333334e-08,5.2170000000000006e-11,8.42712982638889e-10,8530437.5,5.331176831695905e-10,8.346335125867669e-10,8.95700666736186e-10,6.647e-11,7.384000000000001e-11,3.562473116199615e-11,8.865000000000001e-11,6.487138928489577e-11,2.1010000000000004e-11,4.169e-11,2.5327199167555025e-10,1.4104750000000002e-10,2.0532000000000002e-10,3.298825e-10,1.7083447041869847e-09,3.979789387228301e-10,1.0215764201132874e-10,7.535815853036807e-11,2.648022888630689e-11,1.6377250000000002e-10,2.997651326219513e-09,1.6124379371189026e-08,2.3559170471372158e-08,3.242418590048849e-10,3.3973125e-08,8.370000000000001e-12,933544.25,8.594465715296035e-11,1.3412916666666668e-10,1.3140000000000001e-11,1.528e-11,1.289209647217218e-10,2.936e-11,6.380000000000001e-12,3.112e-11,1.34e-11,5.475548186990498e-10,1.2330000000000001e-11
max,4.1547e-10,7.365e-11,6.811659111803124e-10,1.442381203784336e-10,1.0603000000000001e-10,1.9410795512171602e-09,2.8558539725153213e-09,3.3606341366148086e-08,4.9507408294676634e-08,1.1478521716557135e-09,6.343000000000001e-11,1.2247004477537102e-08,1.2685e-10,1.297068215493095e-10,9.974e-11,8.871e-11,5.691554763687897e-10,2.3553e-10,2.8623263734940894e-08,7.462791492360736e-09,522066500.0,2.5372407153693547e-08,2.7995215311004788e-06,5.953624700000001e-07,7.979e-11,6.254173605323795e-10,2.085e-10,3.043006666666667e-08,1.5565000000000003e-10,7.595403333333335e-09,73872800.0,1.8306377213486137e-09,5.289086402966971e-09,5.059271814118162e-09,2.3189000000000004e-10,2.8889e-10,1.1877000000000002e-10,3.0370000000000005e-10,2.579769201794693e-10,1.6815e-10,1.3249e-10,9.50850754567786e-10,9.4132e-10,1.20311e-09,2.20159e-09,8.531324900996393e-09,2.004150655598252e-09,5.859041233002678e-10,4.915805457620522e-10,1.3760917359082232e-10,1.0930100000000001e-09,7.198100609756099e-08,1.0226785472370647e-07,8.791728907535373e-08,1.850414747079602e-09,9.964599999999999e-08,1.1078e-10,9517260.000000002,6.067989155885735e-10,3.3852500000000005e-09,1.2235e-10,1.3458000000000002e-10,9.531370394906244e-10,1.7204e-10,7.060000000000001e-11,3.2603e-10,1.2652e-10,3.747646770960502e-09,7.223e-11
